50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a2352b49-2187-426b-8cc1-174dcc1c5e33,1,,,3900544,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Toulouse,130,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 2981, 'name': 'Alban Lafont'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 3030, 'name': 'Wergiton do Rosário Calmon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 4349, 'name': 'Issa Diop'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 30447, 'name': 'Jean-Armel Kana-Biyik'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 44065, 'name': 'William Matheus da Silva'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 2961, 'name': 'Yann Bodiger'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 31174, 'name': 'Jean-Daniel Akpa Akpro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 11540, 'name': 'Óscar Guido Trejo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 3032, 'name': 'Zinédine Machach'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 13}, {'player': {'id': 40431, 'name': 'Aleksandar Pešić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Toulouse,130,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,74e67bb8-7382-4c66-842e-d29d2930bfcd,2,,,3900544,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Toulouse,130,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 3008, 'name': 'Benjamin Lecomte'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 6335, 'name': 'Lamine Gassama'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 13286, 'name': 'Lamine Koné'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 7211, 'name': 'Zargo Touré'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 7199, 'name': 'Vincent Le Goff'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 22587, 'name': 'Didier Ndong Ibrahim'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 3140, 'name': 'François Bellugou'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 7338, 'name': 'Romain Philippoteaux'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 7567, 'name': 'Maxime Barthelmé'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 28}, {'player': {'id': 7766, 'name': 'Walid Mesloub'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 3552, 'name': 'Benjamin Jeannot'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Lorient,165,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6be8e185-c394-4072-8df7-81e9aa247c80,3,,,3900544,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Toulouse,130,['5803a067-23e7-4555-9aae-0f05ed244c0d'],0,,,,,,,,,,,,,,,,,Lorient,165,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5803a067-23e7-4555-9aae-0f05ed244c0d,4,,,3900544,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Toulouse,130,['6be8e185-c394-4072-8df7-81e9aa247c80'],0,,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3341716c-f50e-42dd-b946-3b2c64d64fe1,1994,,,3900544,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,107,Lorient,165,['740d75e5-ccf4-4477-b17d-ea107fc203f5'],0,,,,,,,,,,,,,,,,,Lorient,165,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,740d75e5-ccf4-4477-b17d-ea107fc203f5,1995,,,3900544,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,107,Lorient,165,['3341716c-f50e-42dd-b946-3b2c64d64fe1'],0,,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.270299,,,,,,,,,,,,,4160cccc-3bcc-4f32-9d53-63f991ea0ba6,5,,"[61.0, 40.1]",3900544,0,,,,1.6396528,,Right Foot,,,"[60.8, 43.0]",,Ground Pass,,2.9068885,,,,Wissam Ben Yedder,6723.0,,,,,Kick Off,1,From Kick Off,Aleksandar Pešić,40431.0,Center Forward,2,Toulouse,130,['d4cb907c-3b94-4345-8627-bbd26dee06e4'],0,,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.525,Pass,
,,,,,,,,,,,,,,,,,,1.273939,,,,,,,,,,,,,9436a361-ab1d-4749-a826-435c08e88770,8,,"[60.8, 43.3]",3900544,0,,,,-3.1041102,,Right Foot,,,"[52.8, 43.0]",,Ground Pass,,8.005623,,,,Yann Bodiger,2961.0,,,,,,1,From Kick Off,Wissam Ben Yedder,6723.0,Right Midfield,2,Toulouse,130,['450050c4-41a0-4ee7-a246-1fd13857db1d'],0,,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.994,Pass,
,,,,,,,,,,,,,,,,,,2.454902,,,,,,,,,,,,,5c1876da-8bf3-4d52-b602-dd4cfb7e602c,11,,"[45.9, 44.2]",3900544,0,,,,-1.9235561,,Left Foot,,,"[38.5, 24.1]",,Ground Pass,,21.418917,,,,Jean-Armel Kana-Biyik,30447.0,,,,,,1,From Kick Off,Yann Bodiger,2961.0,Center Defensive Midfield,2,Toulouse,130,['9dc2ac6e-09d6-4ab2-a938-c9cdb03f9944'],2,,,,,,,,,,,,,,,,,Toulouse,130,00:00:02.791,Pass,
,,,,,,,,,,,,,,,,,,1.169784,,,,,,,,,,,,,87eb8ede-8ca8-404f-82df-d62dacedea3c,14,,"[36.1, 23.9]",3900544,0,,,,-1.4478245,,Left Foot,,,"[38.3, 6.1]",,Ground Pass,,17.93544,,,,William Matheus da Silva,44065.0,,,,,,1,From Kick Off,Jean-Armel Kana-Biyik,30447.0,Left Center Back,2,Toulouse,130,['6dc1c529-fbc7-450c-9de8-ac385b9ae972'],5,,,,,,,,,,,,,,,,,Toulouse,130,00:00:05.436,Pass,
