ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6deaa14b-2266-4797-9562-3f2c0b8d7531,1,,,3829466,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4547, 'name': 'Ludovic Butelle'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3431, 'name': 'Vincent Manceau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 3203, 'name': 'Yoann Andreu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 7207, 'name': 'Férébory Doré'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 3078, 'name': 'Abdoul Razzagui Camara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 401481, 'name': 'Slimane Sissoko'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Angers,145,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,fe30f3cc-708f-4e91-8e9b-e2cff850433d,2,,,3829466,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 34953, 'name': 'Denis Petrić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 401479, 'name': 'Calvin Anele Ngcongca'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 31}, {'player': {'id': 42422, 'name': 'Dušan Veškovac'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 32}, {'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 18162, 'name': 'Chris Mavinga'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 7488, 'name': 'Thomas Ayasse'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 7415, 'name': 'Jessy Pi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 7301, 'name': 'Lossémy Karaboué'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 24}, {'player': {'id': 7376, 'name': 'Yoann Court'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 3010, 'name': 'Corentin Jean'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 27}, {'player': {'id': 401471, 'name': 'Henri Bienvenu Ntsama'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 12}]}",Troyes,133,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,31e2f2f3-192c-4242-a3dc-7d1cc627f832,3,,,3829466,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,['c4e18c20-d6a4-4d4b-b555-cad4a8f6c72b'],0,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c4e18c20-d6a4-4d4b-b555-cad4a8f6c72b,4,,,3829466,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,['31e2f2f3-192c-4242-a3dc-7d1cc627f832'],0,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,True,f5826279-df03-4254-b474-5aadf7af3033,1741,,,3829466,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,106,Angers,145,['2ccdd5f5-217c-46bc-91dd-7da1615fb32c'],0,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,True,2ccdd5f5-217c-46bc-91dd-7da1615fb32c,1742,,,3829466,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,106,Angers,145,['f5826279-df03-4254-b474-5aadf7af3033'],0,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.967422,,,,,,,,,,,,,,,3bb96cd1-29d2-4583-9f51-2da3d37246a7,5,,"[61.0, 40.1]",3829466,0,,,,,2.6838446,,Right Foot,,,,"[47.4, 46.8]",Ground Pass,,15.160805,,,,,Romain Saïss,5219.0,,,,,,Kick Off,1,From Kick Off,Thomas Mangani,3185.0,Left Center Midfield,2,Angers,145,['3913a147-ff85-4b9e-ad0e-03353c07d494'],1,,,,,,,,,,,,,,,,Angers,145,00:00:01.184,Pass,
,,,,,,,,,,,,,,3.132786,,,,,,,,,,,,,,,1dfb2483-f3cd-45e7-b569-0dee58b076ab,9,,"[49.7, 45.4]",3829466,0,,,,,-0.57723206,,Right Foot,,,,"[90.7, 18.7]",High Pass,,48.927395,,,Incomplete,,Férébory Doré,7207.0,,,,,,,1,From Kick Off,Romain Saïss,5219.0,Center Defensive Midfield,2,Angers,145,"['6bcc4d53-559d-4870-a039-7199e4507799', 'a06d5170-d917-4c70-91e6-a40290bc29b1']",2,,,,,,,,,,,,,,,,Angers,145,00:00:02.192,Pass,
,,,,,,,,,,,,,,2.462273,,,,,,,,,,,,,,,6bcc4d53-559d-4870-a039-7199e4507799,11,,"[29.4, 61.4]",3829466,0,,,,,0.1671018,,Head,,,,"[46.0, 64.2]",High Pass,,16.834488,,,Incomplete,,Lossémy Karaboué,7301.0,,,,,,Recovery,1,From Kick Off,Calvin Anele Ngcongca,401479.0,Right Back,2,Angers,145,"['1dfb2483-f3cd-45e7-b569-0dee58b076ab', '4ccc7cc2-521a-4802-9b7b-12f3c42dbfa6', '6f72c1a4-9931-46e0-90ce-4de36f01c2ef']",5,,,,,,,,,,,,,,,,Troyes,133,00:00:05.325,Pass,
,,,,,,,,,,,,,,1.268369,,,,,,,,,,,,,,,4ccc7cc2-521a-4802-9b7b-12f3c42dbfa6,13,,"[74.1, 15.9]",3829466,0,,,,,-1.0303768,,Head,,,,"[79.8, 6.4]",Low Pass,,11.078809,,,Incomplete,,Abdoul Razzagui Camara,3078.0,,,,,,Recovery,1,From Kick Off,Romain Saïss,5219.0,Center Defensive Midfield,2,Angers,145,"['6bcc4d53-559d-4870-a039-7199e4507799', '9594774c-0fd4-4ebb-bee5-32bccc2139c6', 'f6075937-13c8-4b27-8764-b1e907204ad1']",7,,,,,,,,,,,,,,,,Angers,145,00:00:07.787,Pass,
