50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b28f5d3f-cd6b-4e75-b6a1-4aa637f81d03,1,,,3829485,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 2994, 'name': 'Abdoulaye Diallo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 3022, 'name': 'Fallou Diagne'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 3250, 'name': 'Edson André Sitoe'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 40699, 'name': 'Sylvain Armand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 3195, 'name': 'Mehdi Zeffane'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 2985, 'name': 'Ludovic Baal'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 24}, {'player': {'id': 2990, 'name': 'Benjamin André'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 29714, 'name': 'Yacouba Sylla'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 5667, 'name': 'Kamil Grosicki'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4900, 'name': 'Paul-Georges Ntep de Madiba'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3018, 'name': 'Giovanni-Guy Yann Sio'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Rennes,134,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,be2cdafc-3c0c-485a-a638-c11d69d086d7,2,,,3829485,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 34953, 'name': 'Denis Petrić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 7301, 'name': 'Lossémy Karaboué'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 42422, 'name': 'Dušan Veškovac'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 32}, {'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 18162, 'name': 'Chris Mavinga'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 7488, 'name': 'Thomas Ayasse'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 7415, 'name': 'Jessy Pi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 2993, 'name': 'Stéphane Darbion'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 3002, 'name': 'Benjamin Nivet'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 401470, 'name': 'Fabien Camus'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 29133, 'name': 'Brayan Andrés Perea Vargas'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Troyes,133,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c3334543-6d8d-4871-81d6-8713fa95041a,3,,,3829485,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,['56d73c4d-dc6a-4824-92db-e39c08c7f74d'],0,,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,56d73c4d-dc6a-4824-92db-e39c08c7f74d,4,,,3829485,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,['c3334543-6d8d-4871-81d6-8713fa95041a'],0,,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d2a62bc8-a3d6-4cfa-99f1-fd0109a78b3e,1764,,,3829485,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,107,Rennes,134,['62914b5c-56f4-4193-9ff3-bb9786542198'],0,,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,62914b5c-56f4-4193-9ff3-bb9786542198,1765,,,3829485,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,107,Rennes,134,['d2a62bc8-a3d6-4cfa-99f1-fd0109a78b3e'],0,,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.380898,,,,,,,,,,,c5723db9-a6d2-4b11-9628-aa3e8f443435,5,,"[61.0, 40.1]",3829485,0,,,,,1.1071488,,Right Foot,,,,"[61.9, 41.9]",,Ground Pass,,2.0124612,,,,Benjamin Nivet,3002.0,,,,,Kick Off,1,From Kick Off,Brayan Andrés Perea Vargas,29133.0,Center Forward,2,Troyes,133,['a6185ae1-c118-48a7-b8e4-a492390a641c'],0,,,,,,,,,,,,,,,,,Troyes,133,00:00:00.713,Pass,
,,,,,,,,,,,,,,,,,0.871072,,,,,,,,,,,e8c9c4fa-1222-4ae5-b872-72897161b878,8,,"[61.9, 41.9]",3829485,0,,,,,-3.1071236,,Right Foot,,,,"[50.3, 41.5]",,Ground Pass,,11.6068945,,,,Jessy Pi,7415.0,,,,,,1,From Kick Off,Benjamin Nivet,3002.0,Center Attacking Midfield,2,Troyes,133,['16932c79-a929-47e5-a68b-1040793c3015'],1,,,,,,,,,,,,,,,,,Troyes,133,00:00:01.134,Pass,
,,,,,,,,,,,,,,,,,1.854833,,,,,,,,,,,d2b4ad13-5f88-423f-947c-67da92dea754,11,,"[46.6, 51.0]",3829485,0,,,,,1.786154,,Right Foot,,,,"[41.0, 76.6]",,Ground Pass,,26.205343,,,,Lossémy Karaboué,7301.0,,,,,,1,From Kick Off,Jessy Pi,7415.0,Left Defensive Midfield,2,Troyes,133,['a3d2b77d-f83b-4016-bc4c-cca564bc042a'],4,,,,,,,,,,,,,,,,,Troyes,133,00:00:04.928,Pass,
,,,,,,,,,,,,,,,,,4.618614,,,,,,,,,,,99b3d209-2495-4b92-a99c-790b3d6e2ec3,14,,"[40.0, 77.8]",3829485,0,,,,,-0.062624276,,Right Foot,,,,"[100.6, 74.0]",,High Pass,,60.719025,,Incomplete,,Stéphane Darbion,2993.0,,,,,,1,From Kick Off,Lossémy Karaboué,7301.0,Right Back,2,Troyes,133,"['94c32b1f-f731-47c2-9a8e-2fe6c7b26e17', 'c64efa5d-259c-43be-8d3a-3cd649cd7dd8']",7,,,,,,,,,,,,,,,,,Troyes,133,00:00:07.591,Pass,
,,,,,,,,,,,,,,,,,2.126517,,,,,,,,,,,111df059-dc19-418c-b5fb-f22a893b211c,18,,"[24.0, 30.2]",3829485,0,,,,,1.2859417,,Left Foot,,,,"[29.3, 48.3]",,Ground Pass,,18.86001,,,,Edson André Sitoe,3250.0,,,,,,1,Regular Play,Sylvain Armand,40699.0,Left Center Back,3,Rennes,134,['2198b4c7-ecc2-47d0-90eb-e472b8c4be03'],18,,,,,,,,,,,,,,,,,Rennes,134,00:00:18.260,Pass,
,,,,,,,,,,,,,,,,,1.204402,,,,,,,,,,,18f923bb-74fd-4185-9d91-8892208d811b,21,,"[34.3, 55.1]",3829485,0,,,,,1.2381766,,Right Foot,,,,"[41.9, 77.1]",,Ground Pass,,23.275738,,,,Fallou Diagne,3022.0,,,,,,1,Regular Play,Edson André Sitoe,3250.0,Center Back,3,Rennes,134,['2575be7a-512f-4b21-84f5-b9a66ec13a15'],22,,,,,,,,,,,,,,,,,Rennes,134,00:00:22.132,Pass,
,,,,,,,,,,,,,,,,,1.017891,,,,,,,,,,,c3401b4e-bb5b-467e-8511-ab89ef9d2065,32,,"[71.0, 9.6]",3829485,0,,,,,-2.2244322,,Right Foot,,,,"[63.8, 0.2]",,Ground Pass,,11.840608,,Out,,Chris Mavinga,18162.0,,,,,Recovery,1,Regular Play,Brayan Andrés Perea Vargas,29133.0,Center Forward,4,Troyes,133,['afae9d8e-f175-4cd2-b448-1817ca1fca0e'],27,,,,,,,,,,,,,,,,,Troyes,133,00:00:27.435,Pass,
,,,,,,,,,,,,,,,,,1.801648,,,,,,,,,,,b6c0b3b3-6f93-4481-a14a-a2b7f4275fa0,34,,"[50.2, 80.0]",3829485,0,,True,,,-1.9108934,,,,,,"[45.6, 67.0]",,Low Pass,,13.789851,,Incomplete,,Benjamin André,2990.0,,,,,Throw-in,1,From Throw In,Mehdi Zeffane,3195.0,Right Wing Back,5,Rennes,134,"['36f2cc6e-5a65-4f71-ba9d-f9b1b243dc1b', '4147d2c6-484e-410c-9c57-65d652a57d6f']",32,,,,,,,,,,,,,,,,,Rennes,134,00:00:32.908,Pass,
,,,,,,,,,,,,,,,,,2.390456,,,,,,,,,,,36f2cc6e-5a65-4f71-ba9d-f9b1b243dc1b,36,,"[74.5, 13.1]",3829485,0,,True,,,-3.0518346,,Right Foot,,,,"[64.5, 12.2]",,Ground Pass,,10.040419,,,,Benjamin Nivet,3002.0,,,,,Recovery,1,Regular Play,Brayan Andrés Perea Vargas,29133.0,Center Forward,6,Troyes,133,"['b6c0b3b3-6f93-4481-a14a-a2b7f4275fa0', 'e0ac2c2f-c037-4ff7-b547-65398fbf49e8']",34,,,,,,,,,,,,,,,,,Troyes,133,00:00:34.710,Pass,
,,,,,,,,,,,,,,,,,1.252211,,,,,,,,,,,08eb997a-7859-4bce-9b4f-baaaf186cec1,39,,"[64.3, 14.6]",3829485,0,,,,,0.8106029,,Right Foot,,,,"[75.9, 26.8]",,Ground Pass,,16.834488,,,,Fabien Camus,401470.0,,,,,,1,Regular Play,Benjamin Nivet,3002.0,Center Attacking Midfield,6,Troyes,133,"['6ff8695d-fb3b-43a4-a17c-7c5a097c6b71', 'ba797d5f-de20-440f-8d8b-f86fd545b8e1']",37,,,,,,,,,,,,,,,,,Troyes,133,00:00:37.830,Pass,True
,,,,,,,,,,,,,,,,,1.263243,,,,,,,,,,,fb2287fd-83c0-4f53-9b20-9336aebf89a6,42,,"[75.9, 26.8]",3829485,0,,,,,-1.4096445,,Right Foot,,,,"[79.2, 6.5]",,Ground Pass,,20.566477,,,,Chris Mavinga,18162.0,,,,,,1,Regular Play,Fabien Camus,401470.0,Left Wing,6,Troyes,133,['9c6ff8cc-d59a-4188-8f86-9691dbb3be91'],39,,,,,,,,,,,,,,,,,Troyes,133,00:00:39.122,Pass,
,,,,,,,,,,,,,,,,,0.737515,,,,,,,,,,,bcd6a6d7-c6fb-423a-90b4-32ed2ffb33f9,46,,"[109.2, 4.5]",3829485,0,,,,,1.8778421,,Left Foot,,,,"[107.9, 8.6]",,Ground Pass,,4.3011627,,Incomplete,,Benjamin Nivet,3002.0,,,,,,1,Regular Play,Chris Mavinga,18162.0,Left Back,6,Troyes,133,"['4b1b079a-9778-4c13-b141-c5047614e79e', '6075d926-107e-474d-bd7e-727553b25f09']",45,,,,,,,,,,,,,,,,,Troyes,133,00:00:45.432,Pass,
,,,,,,,,,,,,,,,,,1.892156,,,,,,,,,,,0486e7ca-cad8-4477-8624-b2cae67dbf89,53,,"[5.3, 76.9]",3829485,0,,,,,-0.117267706,,Right Foot,,,,"[41.8, 72.6]",,High Pass,,36.752415,,Incomplete,,Kamil Grosicki,5667.0,,,,,Recovery,1,Regular Play,Fallou Diagne,3022.0,Right Center Back,7,Rennes,134,"['01cc5010-99bd-49fb-82c1-2a4a988a31e9', 'f786d66c-2f8d-49a3-a137-93f365d0cd19']",48,,,,,,,,,,,,,,,,,Rennes,134,00:00:48.953,Pass,
,,,,,,,,,,,,,,,,,1.736239,,,,,,,,,,,f786d66c-2f8d-49a3-a137-93f365d0cd19,55,,"[78.3, 7.5]",3829485,0,,,,,-0.21866895,,Head,,,,"[93.6, 4.1]",,High Pass,,15.673225,,Incomplete,,Chris Mavinga,18162.0,,,,,Recovery,1,Regular Play,Thomas Ayasse,7488.0,Right Defensive Midfield,7,Rennes,134,"['0486e7ca-cad8-4477-8624-b2cae67dbf89', '4294f2a6-7d02-4269-8236-638ae4545737', 'b6d76fa1-90b5-4574-bc28-f39e54dbdd2f']",50,,,,,,,,,,,,,,,,,Troyes,133,00:00:50.845,Pass,
,,,,,,,,,,,,,,,,,1.390212,,,,,,,,,,,b6d76fa1-90b5-4574-bc28-f39e54dbdd2f,57,,"[26.5, 76.0]",3829485,0,,,,,0.010308913,,Head,,,,"[36.2, 76.1]",,High Pass,,9.700516,,,,Kamil Grosicki,5667.0,,,,,Recovery,1,Regular Play,Yacouba Sylla,29714.0,Left Defensive Midfield,7,Rennes,134,"['eb7c8c30-a343-4b2c-b3c7-585f98ac275d', 'f786d66c-2f8d-49a3-a137-93f365d0cd19']",52,,,,,,,,,,,,,,,,,Rennes,134,00:00:52.581,Pass,
,,,,,,,,,,,,,,,,,1.826818,,,,,,,,,,,7fcb356b-9220-429c-a098-92d8117cbecd,62,,"[83.9, 5.8]",3829485,0,,,,True,2.684987,,,,,,"[72.5, 11.4]",,Low Pass,,12.701181,,,,Thomas Ayasse,7488.0,,,,,Recovery,1,Regular Play,Chris Mavinga,18162.0,Left Back,8,Troyes,133,"['64c93f16-00dd-48e4-b51d-ec3e836ceb00', 'c66abb54-a5ee-4ccd-909a-fbf472bc71f4']",54,,,,,,,,,,,,,,,,,Troyes,133,00:00:54.680,Pass,True
,,,,,,,,,,,,,,,,,0.958856,,,,,,,,,,,df2e3e92-d74e-4cf6-96b8-b10e7665da61,65,,"[72.7, 11.9]",3829485,0,,,,,1.6475682,,Right Foot,,,,"[71.6, 26.2]",,Ground Pass,,14.342245,,,,Jessy Pi,7415.0,,,,,,1,Regular Play,Thomas Ayasse,7488.0,Right Defensive Midfield,8,Troyes,133,"['237c6826-e5d2-488a-9dde-3a6a4a5c307d', '4ae6866c-29cd-4d36-8f52-71507f349286']",56,,,,,,,,,,,,,,,,,Troyes,133,00:00:56.507,Pass,True
