50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7f16760b-6b18-4172-97cf-646ca2b038d3,1,,,3829451,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4259, 'name': 'Stéphane Ruffier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 3413, 'name': 'Kévin Théophile-Catherine'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 4263, 'name': 'Loïc Perrin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 4802, 'name': 'Florentin Pogba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 3047, 'name': 'Benoît Assou-Ekotto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 32}, {'player': {'id': 7200, 'name': 'Fabien Lemoine'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 7442, 'name': 'Jérémy Clément'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 4260, 'name': 'Romain Hamouma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 4254, 'name': 'Valentin Eysseric'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 8469, 'name': 'Jean-Christophe Bahebeck'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3179, 'name': 'Nolan Roux'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Saint-Étienne,135,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,97e7fdea-320a-4c2a-ad78-d0c2c73017e3,2,,,3829451,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,,0,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 24469, 'name': 'Jesper Hansen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 2989, 'name': 'Alexander Djiku'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 26481, 'name': 'Sébastien Squillaci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 23850, 'name': 'Mathieu Peybernes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 4508, 'name': 'Julian Palmieri'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 3433, 'name': 'Lassana Coulibaly'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 3405, 'name': 'François Kamano'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 25}, {'player': {'id': 4350, 'name': 'Yannick Cahuzac'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 7791, 'name': 'Seko Fofana'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 7349, 'name': 'Gaël Danic'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 15689, 'name': 'Floyd Ayité'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Bastia,2736,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,80b69449-b4b8-41dd-8881-d3eca3330b57,3,,,3829451,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,['19acb512-bc36-46b7-bf41-e5d32d55ccc6'],0,,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,19acb512-bc36-46b7-bf41-e5d32d55ccc6,4,,,3829451,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,['80b69449-b4b8-41dd-8881-d3eca3330b57'],0,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6ae09723-236d-465b-a939-c39b2bcf0ab7,1778,,,3829451,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,93,Bastia,2736,['982b317a-71ea-4c3a-a8c7-5274a87250ce'],0,,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,982b317a-71ea-4c3a-a8c7-5274a87250ce,1779,,,3829451,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,93,Bastia,2736,['6ae09723-236d-465b-a939-c39b2bcf0ab7'],0,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.57511,,,,,,,,,,,,40779c77-ba30-4f1c-aefe-5e042161e66d,5,,"[60.0, 40.0]",3829451,0,,True,,,-1.886011,,Right Foot,,,,"[58.5, 35.4]",,Ground Pass,,4.838388,,,,Nolan Roux,3179.0,,,,,,Kick Off,1,From Kick Off,Valentin Eysseric,4254.0,Center Attacking Midfield,2,Saint-Étienne,135,['b733dcc0-f1a0-4083-b008-eb65c0eb6f4d'],0,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.193,Pass,
,,,,,,,,,,,,,,,,,1.013004,,,,,,,,,,,,a74d14e9-ae52-4d90-b474-b32d8aa89909,7,,"[57.8, 38.2]",3829451,0,,,,,2.8547623,,Right Foot,,,,"[43.9, 42.3]",,Ground Pass,,14.492066,,,,Fabien Lemoine,7200.0,,,,,,,1,From Kick Off,Nolan Roux,3179.0,Center Forward,2,Saint-Étienne,135,['a8be8648-e9f1-49d2-b292-fad770418596'],0,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.928,Pass,
,,,,,,,,,,,,,,,,,0.833292,,,,,,,,,,,,5a6b0561-ed82-4d90-aeb4-c57b0f86d720,10,,"[48.0, 44.0]",3829451,0,,,,,-1.5707964,,Right Foot,,,,"[48.0, 32.4]",,Ground Pass,,11.6,,,,Jérémy Clément,7442.0,,,,,,,1,From Kick Off,Fabien Lemoine,7200.0,Right Defensive Midfield,2,Saint-Étienne,135,['eab2028f-21b4-4391-9b64-6db61ba8c8d7'],2,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:02.150,Pass,
,,,,,,,,,,,,,,,,,1.952122,,,,,,,,,,,,edf535ea-fbe5-45ed-a9f4-630aa89e81be,13,,"[48.4, 30.3]",3829451,0,,,,,-1.4283086,,Left Foot,,,,"[51.8, 6.6]",,Ground Pass,,23.94264,,,,Benoît Assou-Ekotto,3047.0,,,,,,,1,From Kick Off,Jérémy Clément,7442.0,Left Defensive Midfield,2,Saint-Étienne,135,['db2fccd8-bf76-4d31-8c53-55624633e0a8'],4,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:04.615,Pass,
