50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,52e1a84b-745b-4342-8784-648ac995f353,1,,,3900628,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 40484, 'name': 'Vincent Enyeama'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6716, 'name': 'Sébastien Corchia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 29057, 'name': 'Renato Civelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3677, 'name': 'Bakary Adama Soumaoro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 3446, 'name': 'Djibril Sidibé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 11332, 'name': 'Ibrahim Amadou'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 40522, 'name': 'Rio Antonio Zoba Mavuba'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 40697, 'name': 'Mounir Obbadi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3625, 'name': 'Sofiane Boufal'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 40486, 'name': 'Éric Bauthéac'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 15996, 'name': 'Éderzito António Macedo Lopes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 39}]}",Lille,143,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9faf6c04-2520-4974-bb9d-72121ae838b4,2,,,3900628,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3354, 'name': 'Benoît Guy Robert Costil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4475, 'name': 'Romain Danzé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 3250, 'name': 'Edson André Sitoe'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 40699, 'name': 'Sylvain Armand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 3424, 'name': ""Cheikh M''Bengue""}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3753, 'name': 'Pedro Filipe Teodósio Mendes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8672, 'name': 'Gélson da Conceição Tavares Fernandes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 2990, 'name': 'Benjamin André'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 5667, 'name': 'Kamil Grosicki'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 4900, 'name': 'Paul-Georges Ntep de Madiba'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Rennes,134,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f221b039-9cc3-4c61-b296-f7dfab3ede69,3,,,3900628,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,['4c7c1111-a31a-4215-bc11-03773e23349f'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4c7c1111-a31a-4215-bc11-03773e23349f,4,,,3900628,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,['f221b039-9cc3-4c61-b296-f7dfab3ede69'],0,,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1c43b2b7-c5ec-4f05-8ab0-347b948349c0,1850,,,3900628,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,101,Rennes,134,['a3286adc-41bc-414f-a538-01c19ecf30e0'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a3286adc-41bc-414f-a538-01c19ecf30e0,1851,,,3900628,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,101,Rennes,134,['1c43b2b7-c5ec-4f05-8ab0-347b948349c0'],0,,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.658146,,,,,,,,,,,,,1f6d2e54-5bb0-4388-ac90-e146d5caf274,5,,"[61.0, 40.1]",3900628,0,,,,,1.9117752,,Right Foot,,,"[59.9, 43.2]",,Ground Pass,,3.2893767,,,,,Paul-Georges Ntep de Madiba,4900.0,,,,,,Kick Off,1,From Kick Off,Benjamin André,2990.0,Left Center Midfield,2,Rennes,134,['e27025cf-d33d-415c-ab94-72bab2673e39'],0,,,,,,,,,,,,,,,,,Rennes,134,00:00:00.533,Pass,
,,,,,,,,,,,,,,,,1.759263,,,,,,,,,,,,,dfbb5ed4-1c3e-4efb-b5e9-6e326e1d320e,8,,"[55.2, 41.2]",3900628,0,,,,,3.0305274,,Right Foot,,,"[28.3, 44.2]",,Ground Pass,,27.066769,,,,,Sylvain Armand,40699.0,,,,,,,1,From Kick Off,Paul-Georges Ntep de Madiba,4900.0,Center Forward,2,Rennes,134,['7f841cec-7071-43a2-8d3f-6cc035f59f88'],2,,,,,,,,,,,,,,,,,Rennes,134,00:00:02.323,Pass,
,,,,,,,,,,,,,,,,1.332364,,,,,,,,,,,,,29d5b52d-bcdd-419e-b75d-4ef22a9292a7,11,,"[27.2, 47.7]",3900628,0,,,,,1.5976355,,Left Foot,,,"[26.8, 62.6]",,Ground Pass,,14.905368,,,,,Edson André Sitoe,3250.0,,,,,,,1,From Kick Off,Sylvain Armand,40699.0,Left Center Back,2,Rennes,134,['dc44df76-5b6d-4b89-80b6-d964cd80f6e8'],5,,,,,,,,,,,,,,,,,Rennes,134,00:00:05.158,Pass,
,,,,,,,,,,,,,,,,1.616195,,,,,,,,,,,,,65e32f29-0edb-4ffd-b8f1-f5bffad1e27d,14,,"[27.4, 61.6]",3900628,0,,,,,-1.212917,,Right Foot,,,"[36.6, 37.0]",,Ground Pass,,26.264044,,,,,Pedro Filipe Teodósio Mendes,3753.0,,,,,,,1,From Kick Off,Edson André Sitoe,3250.0,Right Center Back,2,Rennes,134,['a707753f-dbc7-4bde-b7c3-8ab499fc12e2'],7,,,,,,,,,,,,,,,,,Rennes,134,00:00:07.885,Pass,
,,,,,,,,,,,,,,,,1.520939,,,,,,,,,,,,,b8883a4d-30ba-486e-b2c0-d36c4f2e9ca2,17,,"[36.2, 35.0]",3900628,0,,,,,-1.733594,,Right Foot,,,"[32.8, 14.3]",,Ground Pass,,20.97737,,,,,Cheikh M''Bengue,3424.0,,,,,,,1,From Kick Off,Pedro Filipe Teodósio Mendes,3753.0,Center Defensive Midfield,2,Rennes,134,['488602d2-abd9-45a3-8518-584da91f8215'],10,,,,,,,,,,,,,,,,,Rennes,134,00:00:10.506,Pass,
,,,,,,,,,,,,,,,,1.339804,,,,,,,,,,,,,9e6935ed-ba5a-44d1-a0db-5917dbb5c241,20,,"[32.6, 10.4]",3900628,0,,,,,0.21927391,,Left Foot,,,"[50.1, 14.3]",,Ground Pass,,17.929306,,,,,Ousmane Dembélé,5477.0,,,,,,,1,From Kick Off,Cheikh M''Bengue,3424.0,Left Back,2,Rennes,134,['14e6aaf3-4881-4dc5-844c-43ea8ea2ee15'],12,,,,,,,,,,,,,,,,,Rennes,134,00:00:12.961,Pass,
