50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b2fee969-3c1a-411b-9c1f-96924873087a,1,,,,3900637,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,,0,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 4257, 'name': 'Yoan Cardinale'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 6352, 'name': 'Ricardo Domingos Barbosa Pereira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 4443, 'name': 'Paul Baysse'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3229, 'name': 'Maxime Le Marchand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 4270, 'name': 'Jérémy Pied'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 4506, 'name': 'Nampalys Mendy'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 4264, 'name': 'Vincent Koziello'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 3359, 'name': 'Jean Michaël Seri'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 4373, 'name': 'Mathieu Bodmer'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 3210, 'name': 'Valère Germain'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 28}, {'player': {'id': 3230, 'name': 'Alassane Pléa'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",OGC Nice,136,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c4ca077d-b5e2-4124-93b7-4a5182a0409d,2,,,,3900637,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3543, 'name': 'Steve Mandanda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 7857, 'name': 'Brice Dja Djédjé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 19813, 'name': 'Rolando Jorge Pires da Fonseca'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3075, 'name': 'Javier Manquillo Gaitán'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 18874, 'name': 'Mauricio Aníbal Isla Isla'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3181, 'name': 'Lassana Diarra'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 15296, 'name': 'Romain Alessandrini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3420, 'name': 'Rémy Cabella'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 13}, {'player': {'id': 3639, 'name': 'Georges-Kévin Nkoudou Mbida'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 3457, 'name': 'Michy Batshuayi Tunga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Marseille,147,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dfc039bb-f3fc-4d59-8684-71fa6d5257d8,3,,,,3900637,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,['f8e25cf9-57af-4751-bf33-feeb7194ba01'],0,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f8e25cf9-57af-4751-bf33-feeb7194ba01,4,,,,3900637,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,['dfc039bb-f3fc-4d59-8684-71fa6d5257d8'],0,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5d65d9bb-a0e1-41f7-aefc-b93f261ed9f6,1931,,,,3900637,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,103,Marseille,147,['d48604ca-e94d-44e7-ba17-856a0cb8a1e2'],0,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d48604ca-e94d-44e7-ba17-856a0cb8a1e2,1932,,,,3900637,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,103,Marseille,147,['5d65d9bb-a0e1-41f7-aefc-b93f261ed9f6'],0,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.435877,,,,,,,,,,,,,1b38a758-9040-4511-b3bd-b7517711a688,5,,,"[61.0, 40.1]",3900637,0,,,,1.9672376,,Right Foot,,,"[59.2, 44.4]",,Ground Pass,,4.661545,,,,Mathieu Bodmer,4373.0,,,,,Kick Off,1,From Kick Off,Valère Germain,3210.0,Right Center Forward,2,OGC Nice,136,['6d230dab-8d98-47ee-b4e9-5b33e405b10a'],0,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.672,Pass,
,,,,,,,,,,,,,,,,,,1.803019,,,,,,,,,,,,,2f9bd236-acb1-4398-8104-7769073ecde9,8,,,"[60.7, 44.0]",3900637,0,,,,-1.670465,,Right Foot,,,"[57.1, 8.0]",,Ground Pass,,36.179554,,,,Jérémy Pied,4270.0,,,,,,1,From Kick Off,Mathieu Bodmer,4373.0,Center Attacking Midfield,2,OGC Nice,136,['3cdc5827-1eb1-472a-8452-e2f7f5be8dba'],1,,,,,,,,,,,,,,,,OGC Nice,136,00:00:01.916,Pass,
,,,,,,,,,,,,,,,,,,2.373335,,,,,,,,,,,,,021ba226-3252-4f42-843c-613f45090e7c,11,,,"[68.1, 8.3]",3900637,0,,,,-0.013666575,,Left Foot,,,"[112.0, 7.7]",,Ground Pass,,43.9041,,Incomplete,,Alassane Pléa,3230.0,,,,,,1,From Kick Off,Jérémy Pied,4270.0,Left Back,2,OGC Nice,136,"['7960f57c-5d5e-4bcc-9896-3d8304a54cc4', '93dd771a-59ce-4365-b442-e5804e6a21a9']",6,,,,,,,,,,,,,,,,OGC Nice,136,00:00:06.322,Pass,
,,,,,,,,,,,,,,,,,,3.594503,,,,,,,,,,,,,81effff4-a16b-4135-91d7-91e79b5583ec,18,,,"[6.8, 70.7]",3900637,0,,,,-0.10664348,,Right Foot,,,"[83.4, 62.5]",,High Pass,,77.03765,,Pass Offside,,Michy Batshuayi Tunga,3457.0,,,,,Free Kick,1,From Free Kick,Steve Mandanda,3543.0,Goalkeeper,3,Marseille,147,['48f182a7-b41a-499a-b6ab-9ad5874b20ce'],36,,,,,,,,,,,,,,,,Marseille,147,00:00:36.569,Pass,
,,,,,,,,,,,,,,,,,,2.034892,,,,,,,,,,,,,8e3f73a8-e519-470c-8e9a-636b9c486e71,20,,,"[47.7, 15.6]",3900637,0,,,,2.0230439,,Left Foot,,,"[35.7, 40.3]",,Ground Pass,,27.4607,,,,Paul Baysse,4443.0,,,,,Free Kick,1,From Free Kick,Maxime Le Marchand,3229.0,Left Center Back,4,OGC Nice,136,['db315e9b-ea2f-4ef5-8c95-c78095193ef4'],48,,,,,,,,,,,,,,,,OGC Nice,136,00:00:48.828,Pass,
,,,,,,,,,,,,,,,,,,1.825642,,,,,,,,,,,,,dde21ccb-af7f-4cc3-a5d8-ba0c2abdd530,23,,,"[39.5, 41.7]",3900637,0,,,,1.1196829,,Right Foot,,,"[53.5, 70.6]",,Ground Pass,,32.112457,,,,Ricardo Domingos Barbosa Pereira,6352.0,,,,,,1,From Free Kick,Paul Baysse,4443.0,Right Center Back,4,OGC Nice,136,['3b5f0732-58be-41f5-803d-9ec989ffe08d'],52,,,,,,,,,,,,,,,,OGC Nice,136,00:00:52.183,Pass,
,,,,,,,,,,,,,,,,,,1.463829,,,,,,,,,,,,,c1946f45-5cb6-43e0-af63-19da6ab7fe7a,26,,,"[53.9, 69.4]",3900637,0,,,,-2.363091,,Right Foot,,,"[39.3, 55.0]",,Ground Pass,,20.506584,,,,Paul Baysse,4443.0,,,,,,1,From Free Kick,Ricardo Domingos Barbosa Pereira,6352.0,Right Back,4,OGC Nice,136,['753314ff-5173-430b-9761-f6d51ec64491'],54,,,,,,,,,,,,,,,,OGC Nice,136,00:00:54.372,Pass,
,,,,,,,,,,,,,,,,,,1.573678,,,,,,,,,,,,,c5492cf1-c0bb-4821-8fb8-2b2dfc91a374,30,,,"[39.3, 54.4]",3900637,0,,,,1.083057,,Right Foot,,,"[48.0, 70.8]",,Ground Pass,,18.56475,,,,Ricardo Domingos Barbosa Pereira,6352.0,,,,,,1,From Free Kick,Paul Baysse,4443.0,Right Center Back,4,OGC Nice,136,"['46cdbed1-23df-4db0-bea2-0483509c8075', '8a408686-a967-4c63-9b46-a26c679d5230']",56,,,,,,,,,,,,,,,,OGC Nice,136,00:00:56.049,Pass,True
,,,,,,,,,,,,,,,,,,1.07412,,,,,,,,,,,,,15f7958b-665b-41b5-93a3-6b18ea7c053f,33,,,"[47.8, 73.0]",3900637,0,,,,0.07743109,,Right Foot,,,"[59.4, 73.9]",,Ground Pass,,11.634861,,,,Vincent Koziello,4264.0,,,,,,1,From Free Kick,Ricardo Domingos Barbosa Pereira,6352.0,Right Back,4,OGC Nice,136,['cb86dc6b-7b88-4600-8622-52e26f85a7a8'],57,,,,,,,,,,,,,,,,OGC Nice,136,00:00:57.838,Pass,
,,,,,,,,,,,,,,,,,,0.517746,,,,,,,,,,,,,7185d7b4-3853-4cbb-8062-ca982a201ae0,39,,,"[61.1, 4.0]",3900637,1,,,,0.20232163,,Right Foot,,,"[65.0, 4.8]",,Ground Pass,,3.981206,,,,Georges-Kévin Nkoudou Mbida,3639.0,,,,,Recovery,1,Regular Play,Javier Manquillo Gaitán,3075.0,Left Back,5,Marseille,147,"['0bd404f1-080f-4063-9479-6eb84bb3e00a', '27d9ae2f-a654-47a2-ac67-5279df9416e4']",0,,,,,,,,,,,,,,,,Marseille,147,00:01:00.452,Pass,True
,,,,,,,,,,,,,,,,,,0.928406,,,,,,,,,,,,,2072928a-6874-46d4-88ce-216682fb2342,41,,,"[65.0, 4.8]",3900637,1,,,,2.5606158,,Right Foot,,,"[55.1, 11.3]",,Ground Pass,,11.843142,,,,Lassana Diarra,3181.0,,,,,,1,Regular Play,Georges-Kévin Nkoudou Mbida,3639.0,Left Wing,5,Marseille,147,['9cdd2555-f7c6-41ba-b5e4-8d5f813d73ee'],0,,,,,,,,,,,,,,,,Marseille,147,00:01:00.970,Pass,
,,,,,,,,,,,,,,,,,,1.138739,,,,,,,,,,,,,54cc8021-3075-438c-aea1-e6f1cc0a15a8,45,,,"[56.9, 10.9]",3900637,1,,,,3.0810606,,Left Foot,,,"[40.4, 11.9]",,Ground Pass,,16.530275,,,,Rolando Jorge Pires da Fonseca,19813.0,,,,,,1,Regular Play,Lassana Diarra,3181.0,Left Defensive Midfield,5,Marseille,147,['f2cff7e7-921d-42e7-a4d2-931c59c6ff86'],2,,,,,,,,,,,,,,,,Marseille,147,00:01:02.868,Pass,
,,,,,,,,,,,,,,,,,,2.940641,,,,,,,,,,,,,8d323ba9-38fe-4be5-bc84-4f6655f8e6e8,48,,,"[38.0, 14.1]",3900637,1,,,,2.5807886,,Left Foot,,,"[9.5, 32.0]",,Ground Pass,,33.655014,,,,Steve Mandanda,3543.0,,,,,,1,Regular Play,Rolando Jorge Pires da Fonseca,19813.0,Left Center Back,5,Marseille,147,['d088e33f-8a19-4a6b-baed-1c365e79f0a7'],7,,,,,,,,,,,,,,,,Marseille,147,00:01:07.369,Pass,
,,,,,,,,,,,,,,,,,,2.063157,,,,,,,,,,,,,547e44ca-6dcb-4f7d-87a1-b9edd21d2fec,56,,,"[15.4, 34.0]",3900637,6,,,,-1.1377069,,Keeper Arm,,,"[19.7, 24.7]",,Ground Pass,,10.245975,,,,Rolando Jorge Pires da Fonseca,19813.0,,,,,,1,Regular Play,Steve Mandanda,3543.0,Goalkeeper,8,Marseille,147,['80a10fab-46a4-44a4-aae8-b3f4cc954f95'],4,,,,,,,,,,,,,,,,Marseille,147,00:06:04.213,Pass,
,,,,,,,,,,,,,,,,,,0.787125,,,,,,,,,,,,,348c5ed4-7c84-4927-8449-c461db66c460,59,,,"[21.5, 24.3]",3900637,6,,,,0.8488051,,Right Foot,,,"[27.4, 31.0]",,Ground Pass,,8.927485,,,,Lassana Diarra,3181.0,,,,,,1,Regular Play,Rolando Jorge Pires da Fonseca,19813.0,Left Center Back,8,Marseille,147,['54287b63-0940-4f4e-8291-8b72bc482060'],6,,,,,,,,,,,,,,,,Marseille,147,00:06:06.901,Pass,
,,,,,,,,,,,,,,,,,,0.976841,,,,,,,,,,,,,bbd82683-07db-4d2b-a291-cf3ec37ada55,62,,,"[27.1, 32.5]",3900637,6,,,,0.83840966,,Right Foot,,,"[38.7, 45.4]",,Ground Pass,,17.348488,,,,Mauricio Aníbal Isla Isla,18874.0,,,,,,1,Regular Play,Lassana Diarra,3181.0,Left Defensive Midfield,8,Marseille,147,['44473899-95bd-464d-a0a8-1df1e1b21bf1'],10,,,,,,,,,,,,,,,,Marseille,147,00:06:10.276,Pass,
,,,,,,,,,,,,,,,,,,1.442135,,,,,,,,,,,,,b647632f-8326-448b-bbff-0d03b657b494,64,,,"[39.4, 45.0]",3900637,6,,,,-2.4708412,,Right Foot,,,"[30.2, 37.7]",,Ground Pass,,11.74436,,,,Lassana Diarra,3181.0,,,,,,1,Regular Play,Mauricio Aníbal Isla Isla,18874.0,Right Defensive Midfield,8,Marseille,147,['5b0a6547-9b35-48d8-acd5-4a7e8f48303b'],11,,,,,,,,,,,,,,,,Marseille,147,00:06:11.253,Pass,
,,,,,,,,,,,,,,,,,,2.590637,,,,,,,,,,,,,3c6ec7ff-7027-4375-bf7e-e421f17a0a1c,67,,,"[30.8, 37.3]",3900637,6,,,,-0.6613328,,Right Foot,,,"[78.6, 0.1]",,High Pass,,60.56963,,Out,,Georges-Kévin Nkoudou Mbida,3639.0,,,,,,1,Regular Play,Lassana Diarra,3181.0,Left Defensive Midfield,8,Marseille,147,['cd2b9092-f669-4059-9895-341e7a1d9d33'],14,,,,,,,,,,,,,,,,Marseille,147,00:06:14.049,Pass,
,,,,,,,,,,,,,,,,,,0.927432,,,,,,,,,,,,,52a00eab-ec26-43fc-a6a3-1c57f1ee2989,69,,,"[38.9, 80.0]",3900637,6,,,,-1.050441,,,,,"[44.0, 71.1]",,Low Pass,,10.25768,,,,Vincent Koziello,4264.0,,,,,Throw-in,1,From Throw In,Ricardo Domingos Barbosa Pereira,6352.0,Right Back,9,OGC Nice,136,['5bb7efd4-4730-4dfe-b2f7-350cec3c74df'],29,,,,,,,,,,,,,,,,OGC Nice,136,00:06:29.704,Pass,
