50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c1252961-c9f8-41df-ba3d-ace07eeca194,1,,,3829506,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,,0,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3322, 'name': 'Jonas Lössl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20199, 'name': 'Lars Christian Jacobsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 40527, 'name': 'Brou Benjamin Angoua'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3124, 'name': 'Jérémy Sorbon'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 30182, 'name': 'Dorian Lévêque'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 3121, 'name': 'Moustapha Elhadji Diallo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 401525, 'name': 'Julien Cardy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3363, 'name': 'Marcus Coco'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 24}, {'player': {'id': 3122, 'name': 'Yannis Salibur'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 3213, 'name': 'Jimmy Briand'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 4799, 'name': 'Sloan Privat'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Guingamp,142,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d6c393ae-65e3-4f25-8eda-38e869dcf9e9,2,,,3829506,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,,0,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 40484, 'name': 'Vincent Enyeama'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 23203, 'name': 'Stopilla Sunzu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 29057, 'name': 'Renato Civelli'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 11332, 'name': 'Ibrahim Amadou'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3677, 'name': 'Bakary Adama Soumaoro'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 23}, {'player': {'id': 3446, 'name': 'Djibril Sidibé'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 19}, {'player': {'id': 3211, 'name': 'Florent Balmont'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 40697, 'name': 'Mounir Obbadi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 7303, 'name': 'Lenny Nangis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 3625, 'name': 'Sofiane Boufal'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 10330, 'name': 'Gadji Celi Carmen Junior Tallo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Lille,143,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e92dcddd-a1a7-44ee-a7ee-b03d362c438a,3,,,3829506,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,['62b24c52-87e4-4021-aac2-e64fad229fcc'],0,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,62b24c52-87e4-4021-aac2-e64fad229fcc,4,,,3829506,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,['e92dcddd-a1a7-44ee-a7ee-b03d362c438a'],0,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e798d0a8-bfab-49ba-a030-21ff9bc20985,1500,,,3829506,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,88,Guingamp,142,['333456ab-dd2e-4c24-b7fc-f95d15ca4538'],0,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,333456ab-dd2e-4c24-b7fc-f95d15ca4538,1501,,,3829506,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,88,Guingamp,142,['e798d0a8-bfab-49ba-a030-21ff9bc20985'],0,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.417715,,,,,,,,,,,,,fa7ee84c-a635-4384-8189-87ac0684921e,5,,"[61.0, 40.1]",3829506,0,,True,,,-1.2924967,,Right Foot,,,"[61.4, 38.7]",,Ground Pass,,1.456022,,,,Sofiane Boufal,3625.0,,,,,Kick Off,1,From Kick Off,Gadji Celi Carmen Junior Tallo,10330.0,Center Forward,2,Lille,143,['98edfb30-62ef-4176-992f-d81b662a0795'],0,,,,,,,,,,,,,,,Lille,143,00:00:00.346,Pass,
,,,,,,,,,,,,,,,,1.27095,,,,,,,,,,,,,0fbc5ed2-133d-45c4-bf8e-ead2830f8f71,7,,"[61.4, 38.7]",3829506,0,,,,,2.9748387,,Right Foot,,,"[51.3, 40.4]",,Ground Pass,,10.24207,,,,Mounir Obbadi,40697.0,,,,,,1,From Kick Off,Sofiane Boufal,3625.0,Left Wing,2,Lille,143,['b7c5e9a7-67f5-4599-b77f-cb7afc0fb7ad'],0,,,,,,,,,,,,,,,Lille,143,00:00:00.764,Pass,
,,,,,,,,,,,,,,,,2.916332,,,,,,,,,,,,,553a4e7d-1445-4e53-b5ac-8817c9832a46,10,,"[51.3, 40.4]",3829506,0,,,,,-1.8700694,,Right Foot,,,"[40.1, 4.1]",,Ground Pass,,37.988552,,,,Djibril Sidibé,3446.0,,,,,,1,From Kick Off,Mounir Obbadi,40697.0,Left Defensive Midfield,2,Lille,143,['b2712074-fad1-46fe-bc03-5c8c6aadabbb'],2,,,,,,,,,,,,,,,Lille,143,00:00:02.181,Pass,
,,,,,,,,,,,,,,,,1.838991,,,,,,,,,,,,,202b1efa-c606-4262-bfe2-52bf104a5021,13,,"[39.7, 4.9]",3829506,0,,,,,2.3082314,,Right Foot,,,"[27.8, 18.0]",,Ground Pass,,17.698023,,,,Ibrahim Amadou,11332.0,,,,,,1,From Kick Off,Djibril Sidibé,3446.0,Left Wing Back,2,Lille,143,['adf01150-0577-4b4d-9149-41fc999e75d4'],5,,,,,,,,,,,,,,,Lille,143,00:00:05.208,Pass,
