50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a44678cd-f4d4-428b-8510-2301e85c0d42,1,,,3901146,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4440, 'name': 'Kevin Trapp'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 20048, 'name': 'Gregory van der Wiel'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3956, 'name': 'David Luiz Moreira Marinho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 32}, {'player': {'id': 4326, 'name': 'Layvin Kurzawa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 4325, 'name': 'Thiago Motta'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3166, 'name': 'Marco Verratti'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3026, 'name': 'Adrien Rabiot'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 4319, 'name': 'Edinson Roberto Cavani Gómez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,165acfb3-690c-4a94-92aa-5b4518dd41d8,2,,,3901146,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 7641, 'name': 'Johann Carrasso'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7498, 'name': 'Mickaël Tacalfred'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 23}, {'player': {'id': 23329, 'name': 'Abdelhamid El Kaoutari'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 131849, 'name': 'Antoine Conte'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 28}, {'player': {'id': 40521, 'name': 'Franck Signorino'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 7815, 'name': 'Antoine Devaux'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 46801, 'name': 'Jaba Kankava'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 4545, 'name': 'Prince Oniangué'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 26775, 'name': 'Thievy Guivane Bifouma Koulossa'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 4383, 'name': 'Nicolas de Roussel de Préville'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 12}]}",Stade de Reims,156,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ebdd60de-c6d6-426e-a554-c4308af0eb44,3,,,3901146,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,['d6e82eab-8031-4dcd-b4f2-c13b8a8653f7'],0,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d6e82eab-8031-4dcd-b4f2-c13b8a8653f7,4,,,3901146,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,['ebdd60de-c6d6-426e-a554-c4308af0eb44'],0,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6196eea1-4d6e-4edf-821e-575f6b783ecd,2202,,,3901146,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Paris Saint-Germain,131,['e8e5bb49-8e50-4a99-94f0-25cba97b513e'],0,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e8e5bb49-8e50-4a99-94f0-25cba97b513e,2203,,,3901146,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Paris Saint-Germain,131,['6196eea1-4d6e-4edf-821e-575f6b783ecd'],0,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.493144,,,,,,,,,,,00fe4924-7492-4c2f-b2cd-cfb1e63149bd,5,,"[61.0, 40.1]",3901146,0,True,,,3.057956,,Right Foot,,,"[44.3, 41.5]",,Ground Pass,,16.75858,,,,Thiago Motta,4325.0,,,,,Kick Off,1,From Kick Off,Zlatan Ibrahimović,3672.0,Center Forward,2,Paris Saint-Germain,131,['dfee1ea2-2633-441d-8719-c0edfb64a527'],0,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.254,Pass,
,,,,,,,,,,,,,,,,,0.477811,,,,,,,,,,,4b3097ea-3339-491c-ae79-c925804dd128,7,,"[44.9, 41.0]",3901146,0,True,,,0.4259942,,Right Foot,,,"[56.8, 46.4]",,Ground Pass,,13.0679,,,,Ángel Fabián Di María Hernández,2995.0,,,,,,1,From Kick Off,Thiago Motta,4325.0,Center Defensive Midfield,2,Paris Saint-Germain,131,['6d21e0b9-ee5d-474b-94af-6cbce695b80d'],0,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.907,Pass,
,,,,,,,,,,,,,,,,,0.926302,,,,,,,,,,,7ec50b42-57f8-4e99-b08a-b7a0bf6f664d,10,,"[57.0, 46.4]",3901146,0,,,,-2.5799692,,Left Foot,,,"[48.1, 40.8]",,Ground Pass,,10.515227,,,,Thiago Motta,4325.0,,,,,,1,From Kick Off,Ángel Fabián Di María Hernández,2995.0,Right Wing,2,Paris Saint-Germain,131,"['b075768c-6bd7-4f3b-b06f-06ebe9ebb716', 'b2185fa4-4eb3-4327-9456-0778d068e3b4']",1,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:01.983,Pass,True
,,,,,,,,,,,,,,,,,2.264252,,,,,,,,,,,5f04a1b7-51eb-45f0-af54-f0ef6bb87f22,13,,"[48.5, 41.0]",3901146,0,,,,-1.3346105,,Left Foot,,,"[55.6, 11.5]",,Ground Pass,,30.34238,,,,Layvin Kurzawa,4326.0,,,,,,1,From Kick Off,Thiago Motta,4325.0,Center Defensive Midfield,2,Paris Saint-Germain,131,['07af1853-c540-4380-9c0d-73e147c0b2ff'],3,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:03.931,Pass,
