50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,58dabf9a-4bf2-4932-8d63-7208c9eea56e,1,,,,3901248,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 40484, 'name': 'Vincent Enyeama'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6716, 'name': 'Sébastien Corchia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 29057, 'name': 'Renato Civelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40523, 'name': 'Marko Baša'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 3446, 'name': 'Djibril Sidibé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 11332, 'name': 'Ibrahim Amadou'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3211, 'name': 'Florent Balmont'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 40697, 'name': 'Mounir Obbadi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3218, 'name': 'Marcos Paulo Mesquita Lopes'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 32}, {'player': {'id': 3425, 'name': 'Morgan Amalfitano'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 31}, {'player': {'id': 15996, 'name': 'Éderzito António Macedo Lopes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 39}]}",Lille,143,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4f808f74-32ee-4257-868d-4343c9389e0a,2,,,,3901248,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3322, 'name': 'Jonas Lössl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3364, 'name': 'Jonathan Martins-Pereira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 2936, 'name': 'Christophe Kerbrat'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 29}, {'player': {'id': 3124, 'name': 'Jérémy Sorbon'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 30182, 'name': 'Dorian Lévêque'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 3121, 'name': 'Moustapha Elhadji Diallo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 3348, 'name': 'Younousse Sankharé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 3363, 'name': 'Marcus Coco'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 24}, {'player': {'id': 4434, 'name': 'Thibault Giresse'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 26}, {'player': {'id': 20027, 'name': 'Mevlüt Erdinç'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 28}, {'player': {'id': 3213, 'name': 'Jimmy Briand'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 23}]}",Guingamp,142,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b8e5e67c-10a2-433c-9a99-40d49fd6274e,3,,,,3901248,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,['fb8d84db-1358-4000-8168-e3e95d3cf938'],0,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fb8d84db-1358-4000-8168-e3e95d3cf938,4,,,,3901248,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,['b8e5e67c-10a2-433c-9a99-40d49fd6274e'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5994623b-1fe0-47f4-a0cc-309bb4edb76f,1671,,,,3901248,45,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,97,Guingamp,142,['fc2df392-4960-4be4-a8bb-35f284e571d9'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fc2df392-4960-4be4-a8bb-35f284e571d9,1672,,,,3901248,45,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,97,Guingamp,142,['5994623b-1fe0-47f4-a0cc-309bb4edb76f'],0,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.9113,,,,,,,,,,,,,d18a07af-427c-489c-a297-55c3d9f265c7,5,,,"[61.0, 40.1]",3901248,0,,,,,1.7894653,,Right Foot,,,"[60.4, 42.8]",Ground Pass,,2.7658634,,,Mevlüt Erdinç,20027.0,,,,,Kick Off,1,From Kick Off,Jimmy Briand,3213.0,Left Center Forward,2,Guingamp,142,['c33139ef-7bb4-4eff-8f82-23bfe367296c'],0,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.510,Pass,
,,,,,,,,,,,,,,,,,0.9083,,,,,,,,,,,,,147e1ff1-f122-472b-9a24-20e1f319a240,8,,,"[60.4, 42.2]",3901248,0,,,,,-3.0845118,,Right Foot,,,"[53.4, 41.8]",Ground Pass,,7.0114193,,,Younousse Sankharé,3348.0,,,,,,1,From Kick Off,Mevlüt Erdinç,20027.0,Right Center Forward,2,Guingamp,142,['dee590c5-ab84-4bfb-acc4-a3418c60fafe'],1,,,,,,,,,,,,,,,,,Guingamp,142,00:00:01.700,Pass,
,,,,,,,,,,,,,,,,,2.8111,,,,,,,,,,,,,bc1ad30d-76ec-4689-9b72-e1c6a48d10b1,11,,,"[54.5, 44.7]",3901248,0,,,,,0.7326568,,Left Foot,,,"[89.4, 76.1]",High Pass,,46.94646,,,Marcus Coco,3363.0,,,,,,1,From Kick Off,Younousse Sankharé,3348.0,Left Defensive Midfield,2,Guingamp,142,['8333d92c-eb99-476c-a0b7-3fa4e8cf2b16'],3,,,,,,,,,,,,,,,,,Guingamp,142,00:00:03.552,Pass,
,,,,,,,,,,,,,,,,,1.602697,,,,,,,,,,,,,0f38aa7b-36b5-462a-867c-42610dcf88c5,15,,,"[26.4, 0.1]",3901248,0,,,,,0.18164884,,,,,"[41.1, 2.8]",High Pass,,14.945903,Incomplete,,Éderzito António Macedo Lopes,15996.0,,,,,Throw-in,1,From Throw In,Djibril Sidibé,3446.0,Left Back,3,Lille,143,"['99c0c144-c2d0-4add-ac86-fb693a9c7b79', 'bec99cbf-7936-4c41-a225-3e83f2f9e930']",18,,,,,,,,,,,,,,,,,Lille,143,00:00:18.922,Pass,
