50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,2.309696,,,,,,,,,,,,19536e77-be8a-445e-a199-7920ebcbd971,16,,"[37.4, 9.4]",3901223,0,,,,,0.32028642,,Head,,,,"[57.9, 16.2]",,High Pass,,21.59838,Incomplete,,Rémy Cabella,3420.0,,,,,Recovery,1,From Kick Off,Benjamin Mendy,3261.0,Left Back,2,AS Monaco,129,"['74a04874-e8fc-4e5e-90d3-88828a81c45a', '86381c1b-d978-4a3b-bf7f-296e59cf3e65', 'e6197e68-47bb-4de6-aeaa-d495f69b0fb9']",8,,,,,,,,,,,,,,,,,Marseille,147,00:00:08.941,Pass,
,,,,,,,,,,,,,,,,,,,1.9871,,,,,,,,,,,,74a04874-e8fc-4e5e-90d3-88828a81c45a,19,,"[62.2, 63.9]",3901223,0,,,,True,0.7114591,,,,,,"[70.9, 71.4]",,High Pass,,11.486514,,,Nabil Dirar,5727.0,,,,,Recovery,1,From Kick Off,Jérémy Toulalan,3406.0,Right Defensive Midfield,2,AS Monaco,129,"['19536e77-be8a-445e-a199-7920ebcbd971', 'eb51fa19-9324-4e90-b44d-ae95cf18478d', 'f2474bc5-972d-4308-82a7-bfc619b9f7e1']",11,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:11.251,Pass,True
,,,,,,,,,,,,,,,,,,,0.717744,,,,,,,,,,,,f8cd3ce7-7b92-4d68-bc0e-cfdb486fe191,24,,"[70.0, 70.1]",3901223,0,,,,,1.4801364,,Right Foot,,,,"[70.6, 76.7]",,Ground Pass,,6.627217,,,Nabil Dirar,5727.0,,,,,Free Kick,1,From Free Kick,Fábio Henrique Tavares,3247.0,Right Back,3,AS Monaco,129,['9c0552ed-c3d5-4dcb-8016-065816722e32'],33,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:33.052,Pass,
,,,,,,,,,,,,,,,,,,,1.096276,,,,,,,,,,,,7f155608-bd5f-4603-80d0-6f0081d3a3a4,27,,"[76.8, 76.3]",3901223,0,,,,,0.12970254,,Left Foot,,,,"[90.6, 78.1]",,Ground Pass,,13.916896,,,Bernardo Mota Veiga de Carvalho e Silva,3193.0,,,,,,1,From Free Kick,Nabil Dirar,5727.0,Right Wing,3,AS Monaco,129,['dea05b89-68e0-41ce-83df-bbfcd868f042'],35,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:35.005,Pass,
,,,,,,,,,,,,,,,,,,,2.748191,,,,,,,,,,,,94c09abe-40fb-4b98-8971-ff9e90a8705e,37,,"[34.6, 0.1]",3901223,0,,,,,2.51965,,,,,,"[6.7, 20.1]",,High Pass,,34.327976,,,Steve Mandanda,3543.0,,,,,Throw-in,1,From Throw In,Benjamin Mendy,3261.0,Left Back,4,Marseille,147,['a768c2b8-341f-4038-a0dd-e1610d13c9e6'],49,,,,,,,,,,,,,,,,,Marseille,147,00:00:49.871,Pass,
,,,,,,,,,,,,,,,,,,,3.698123,,,,,,,,,,,,073b90ce-104d-4fc7-9a6e-9dce8c436302,41,,"[3.0, 26.0]",3901223,0,,,,,0.58438104,,Right Foot,,,,"[54.1, 59.8]",,High Pass,,61.26704,Incomplete,,Bouna Sarr,4351.0,,,,,,1,From Throw In,Steve Mandanda,3543.0,Goalkeeper,4,Marseille,147,"['0445fce8-1b0d-4744-9ad4-a996a8e9ef05', '7e80b847-0296-4641-936c-fc5c1e298b53', 'b2dedf19-c4a9-4198-9f94-5a86bfd9b38c']",54,,,,,,,,,,,,,,,,,Marseille,147,00:00:54.277,Pass,True
,,,,,,,,,,,,,,,,,,,1.576048,,,,,,,,,,,,7e80b847-0296-4641-936c-fc5c1e298b53,44,,"[66.0, 20.3]",3901223,0,,,,True,-0.34746835,,,,,,"[84.5, 13.6]",,High Pass,,19.675873,Incomplete,,,,,,,,Recovery,1,From Throw In,Andrea Raggi,3374.0,Left Back,4,Marseille,147,"['073b90ce-104d-4fc7-9a6e-9dce8c436302', '1cbc8fd0-4eb7-4b7c-991d-983ca7a139f0', 'a6eb63b3-1b6c-49a1-bdf5-e7f0f9abe391']",57,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:57.975,Pass,True
,,,,,,,,,,,,,,,,,,,2.446346,,,,,,,,,,,,1cbc8fd0-4eb7-4b7c-991d-983ca7a139f0,45,,"[35.6, 66.5]",3901223,0,,,,,-1.0400229,,Head,,,,"[41.0, 57.3]",,High Pass,,10.667708,Incomplete,,Jacques-Alaixys Romao,10036.0,,,,,Recovery,1,From Throw In,Javier Manquillo Gaitán,3075.0,Right Back,4,Marseille,147,"['1cdc70eb-f08c-4b24-8e92-8258a40913ad', '4470501f-9d6f-41eb-9a1c-6aec31af531f', '7e80b847-0296-4641-936c-fc5c1e298b53']",59,,,,,,,,,,,,,,,,,Marseille,147,00:00:59.551,Pass,
,,,,,,,,,,,,,,,,,,,2.596117,,,,,,,,,,,,1cdc70eb-f08c-4b24-8e92-8258a40913ad,48,,"[79.1, 22.8]",3901223,1,,,,True,0.9907935,,,,,,"[84.8, 31.5]",,High Pass,,10.400962,Incomplete,,,,,,,,Recovery,1,From Throw In,Tiemoué Bakayoko,3955.0,Left Defensive Midfield,4,Marseille,147,"['1cbc8fd0-4eb7-4b7c-991d-983ca7a139f0', '6571dbf6-c294-457b-8e33-01914a0e48d9', 'd1e2baee-bbdf-4b9a-8b77-694601ab4097']",1,,,,,,,,,,,,,,,,,AS Monaco,129,00:01:01.997,Pass,True
,,,,,,,,,,,,,,,,,,,1.08702,,,,,,,,,,,,780b2c68-1d3e-4517-8061-813ac99a85e6,55,,"[87.3, 51.3]",3901223,1,,,,,1.7670671,,Right Foot,,,,"[83.9, 68.4]",,Ground Pass,,17.434736,,,Fábio Henrique Tavares,3247.0,,,,,Recovery,1,From Throw In,Nabil Dirar,5727.0,Right Wing,4,Marseille,147,"['c29b9fec-0dfe-4f86-ab8f-4e8615ed2274', 'f41e3a27-57d3-4d00-86be-3a21d3bcf961']",8,,,,,,,,,,,,,,,,,AS Monaco,129,00:01:08.096,Pass,True
