bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,92da4148-d66f-4a2a-bc16-e06c6fafa129,1,,,3901261,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7269, 'name': 'Nicolas Douchez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20048, 'name': 'Gregory van der Wiel'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 4325, 'name': 'Thiago Motta'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 4370, 'name': 'Javier Matías Pastore'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 3026, 'name': 'Adrien Rabiot'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3745, 'name': 'Lucas Rodrigues Moura da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c802e6b3-d32b-4b71-9d5e-b0f6ef91ea74,2,,,3901261,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4377, 'name': 'Maxime Dupé'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 3174, 'name': 'Lévy Koffi Djidji'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 3004, 'name': 'Oswaldo Augusto Vizcarrondo Araújo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3144, 'name': 'Léo Dubois'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 4380, 'name': 'Guillaume Gillet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 401478, 'name': 'Rémi Gomis'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3375, 'name': 'Adrien Thomasson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 12351, 'name': 'Alejandro Bedoya'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 10746, 'name': 'Ermir Lenjani'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 3}, {'player': {'id': 3114, 'name': 'Emiliano Sala'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Nantes,144,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7fb86aac-9d90-406f-84cf-a8612d786c17,3,,,3901261,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Paris Saint-Germain,131,['945ed2b2-8399-40d3-9c21-47ba0c837d41'],0,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,945ed2b2-8399-40d3-9c21-47ba0c837d41,4,,,3901261,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Paris Saint-Germain,131,['7fb86aac-9d90-406f-84cf-a8612d786c17'],0,,,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b41c0fad-3fd4-4c36-8946-8aaaaec311ea,2045,,,3901261,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,,91,Paris Saint-Germain,131,['a594b7d1-13bd-4b23-b6ab-3925825405d1'],0,,,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a594b7d1-13bd-4b23-b6ab-3925825405d1,2046,,,3901261,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,,91,Paris Saint-Germain,131,['b41c0fad-3fd4-4c36-8946-8aaaaec311ea'],0,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.812646,,,,,,,,,,,cbe33b3f-b34b-4edc-a47e-2b701e55fd6f,5,,"[61.0, 40.1]",3901261,0,,,,,1.6614562,,Right Foot,,,"[60.7, 43.4]",,Ground Pass,,3.3136084,,,,Zlatan Ibrahimović,3672.0,,,,,Kick Off,1,From Kick Off,Javier Matías Pastore,4370.0,,Right Center Midfield,2,Paris Saint-Germain,131,['1e62f993-ffc4-4dfd-af36-d4796cd389df'],0,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.151,Pass,
,,,,,,,,,,,,,,,,,,1.380631,,,,,,,,,,,c9d676dc-d1d4-4caf-9222-07c4afd2b5c2,8,,"[60.5, 43.4]",3901261,0,,,,,-3.02137,,Right Foot,,,"[45.6, 41.6]",,Ground Pass,,15.008331,,,,Thiago Motta,4325.0,,,,,,1,From Kick Off,Zlatan Ibrahimović,3672.0,,Center Forward,2,Paris Saint-Germain,131,['df8f90dc-3bb8-40b0-885e-ef1c4e546ddd'],1,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:01.004,Pass,
,,,,,,,,,,,,,,,,,,0.673963,,,,,,,,,,,b45f41fc-90ac-4e30-b8f2-86eabd2ec9fb,11,,"[45.4, 40.6]",3901261,0,,,,,-1.3379825,,Left Foot,,,"[47.7, 30.9]",,Ground Pass,,9.968952,,,,Adrien Rabiot,3026.0,,,,,,1,From Kick Off,Thiago Motta,4325.0,,Center Defensive Midfield,2,Paris Saint-Germain,131,['1aa610d7-cfe4-4391-ad1f-71e176a4c491'],3,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:03.069,Pass,
,,,,,,,,,,,,,,,,,,2.01023,,,,,,,,,,,d17a955b-1a82-476d-b07c-df1c4a177fab,14,,"[47.7, 30.9]",3901261,0,,,,,3.066733,,Left Foot,,,"[31.7, 32.1]",,Ground Pass,,16.044937,,,,Thiago Emiliano da Silva,3295.0,,,,,,1,From Kick Off,Adrien Rabiot,3026.0,,Left Center Midfield,2,Paris Saint-Germain,131,['44a16a8b-b392-47a3-b691-29dfa0d1c7ed'],3,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:03.783,Pass,
