50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,"[94.2, 12.5]",,,,,,,,,,,1.331645,,,,,,,,,,,,,,,,8e249f6f-2b46-4290-8c61-4d3e86cb23f1,1094,,,"[97.2, 10.6]",3900622,27,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Gaël Danic,7349.0,Left Wing,67,Bastia,2736,"['3a888d5b-a425-4492-918e-b8f03d6787a2', '9f158e72-0b2e-4f25-8390-cc35d1849589', 'eb003304-d021-4825-bd53-86b4e63f4af2']",2,,,,,,,,,,,,,,,,,,Bastia,2736,00:27:02.136,Carry,True
,,,,"[71.1, 15.4]",,,,,,,,,,,1.284782,,,,,,,,,,,,,,,,4868ff20-6d9d-4ba7-b1b0-175f70138b81,1098,,,"[64.9, 14.4]",3900622,27,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Mathieu Peybernes,23850.0,Left Center Back,67,Bastia,2736,"['5459ebb1-59e0-4223-9801-039f4086fcd9', 'fa4dbb07-84c2-4ba0-b32e-c205c80adece']",4,,,,,,,,,,,,,,,,,,Bastia,2736,00:27:04.911,Carry,
,,,,"[78.0, 19.9]",,,,,,,,,,,0.660624,,,,,,,,,,,,,,,,d0421624-d233-4cdc-8d94-096e358c36ef,1101,,,"[78.2, 18.3]",3900622,27,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Axel Ngando,29875.0,Center Attacking Midfield,67,Bastia,2736,"['88e16573-9c81-4bfa-b77b-e546a6be7842', 'ea4f8965-50bf-403e-aa39-a695daf374c7']",7,,,,,,,,,,,,,,,,,,Bastia,2736,00:27:07.042,Carry,
,,,,"[67.5, 45.3]",,,,,,,,,,,1.449862,,,,,,,,,,,,,,,,7d84f802-d434-4d5a-b1f5-0263982e6bb8,1104,,,"[68.0, 41.9]",3900622,27,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Yannick Cahuzac,4350.0,Right Defensive Midfield,67,Bastia,2736,"['07fbaeed-dd74-4f05-8cfc-b9d035d5188b', 'c7abe200-ac94-4ce2-961c-f0f1fb01b652', 'e21bba2e-7d86-49e0-80fd-a71c34baf300']",9,,,,,,,,,,,,,,,,,,Bastia,2736,00:27:09.381,Carry,True
,,,,"[56.9, 24.6]",,,,,,,,,,,4.219028,,,,,,,,,,,,,,,,6b8ab74c-70b1-4f6b-8ac3-9574082e7897,1109,,,"[36.6, 17.5]",3900622,27,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Stéphane Darbion,2993.0,Right Midfield,68,Troyes,133,"['d38008e7-72f3-4589-b15d-ff734267f87c', 'faf87877-87d0-4b94-af25-5c3fc6c1e67b']",11,,,,,,,,,,,,,,,,,,Troyes,133,00:27:11.913,Carry,
,,,,"[92.8, 10.2]",,,,,,,,,,,3.319938,,,,,,,,,,,,,,,,3f3c63de-c661-4746-9854-6d5dedaefe7c,1112,,,"[69.2, 3.0]",3900622,27,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jessy Pi,7415.0,Left Center Midfield,68,Troyes,133,"['648fc686-2b88-40be-8788-76c8fa44a293', '7a9f88b1-81d2-4733-b6c1-ae0731024ba7']",18,,,,,,,,,,,,,,,,,,Troyes,133,00:27:18.344,Carry,
,,,,"[36.6, 60.4]",,,,,,,,,,,1.59042,,,,,,,,,,,,,,,,1a95aeb0-8ecd-4d5d-b6ee-1cdcba21bdc2,1124,,,"[34.1, 60.1]",3900622,27,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Axel Ngando,29875.0,Center Attacking Midfield,69,Bastia,2736,"['6ddc2de4-e092-403b-85c2-4ab5bfc5b150', 'a127aafc-9028-447f-9a2f-5b7e583adc7a']",30,,,,,,,,,,,,,,,,,,Bastia,2736,00:27:30.254,Carry,
,,,,"[48.3, 52.2]",,,,,,,,,,,0.259755,,,,,,,,,,,,,,,,c782ace0-d710-45a3-9cb7-44ac18de7532,1127,,,"[48.3, 52.2]",3900622,27,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Seko Fofana,7791.0,Left Defensive Midfield,69,Bastia,2736,"['73728c25-af02-4ef3-9d70-0c792d99c9ac', '7ce73fcc-befa-4e9f-bcc1-66e333fba3fe']",32,,,,,,,,,,,,,,,,,,Bastia,2736,00:27:32.432,Carry,
,,,,"[73.3, 51.6]",,,,,,,,,,,2.827058,,,,,,,,,,,,,,,,eb89e373-35bf-477c-95d1-3d9d603e5095,1130,,,"[52.7, 60.9]",3900622,27,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Axel Ngando,29875.0,Center Attacking Midfield,69,Bastia,2736,"['abea576e-a1a3-4f58-8744-cea37dc2ac92', 'f43fb2d2-2e85-4c0f-a32d-894b86339875']",33,,,,,,,,,,,,,,,,,,Bastia,2736,00:27:33.791,Carry,
,,,,"[93.2, 59.1]",,,,,,,,,,,0.708121,,,,,,,,,,,,,,,,a3fdbcd0-897c-4f2b-b9a4-becbb8c9d9ff,1133,,,"[90.4, 58.7]",3900622,27,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Evaeverson Lemos da Silva Brandão,401541.0,Center Forward,69,Bastia,2736,"['23a93b12-29de-47ea-b7e1-4c40f727ac6b', '53fc577e-61a6-4c8c-8f3b-c8fbfd4055ce']",38,,,,,,,,,,,,,,,,,,Bastia,2736,00:27:38.694,Carry,
,,,,"[112.4, 62.6]",,,,,,,,,,,3.263201,,,,,,,,,,,,,,,,07558049-cde3-4397-8175-893cc010c58e,1136,,,"[105.5, 56.8]",3900622,27,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Floyd Ayité,15689.0,Right Wing,69,Bastia,2736,"['5e1450a9-12a0-4b39-942f-bdb5de8aa1bf', '639f9c5e-de4b-4736-b468-fd17c1ac0fa3']",40,,,,,,,,,,,,,,,,,,Bastia,2736,00:27:40.447,Carry,
,,,,"[79.1, 37.2]",,,,,,,,,,,6.720579,,,,,,,,,,,,,,,,4ec56ad4-7438-4fcd-af4a-e4af316df1cc,1141,,,"[36.6, 35.9]",3900622,27,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Fabien Camus,401470.0,Left Midfield,70,Troyes,133,"['26e5d1af-4517-42cc-a5e9-3ec56d838f68', 'b2e8c124-5a0a-4fc7-8516-8bb220e6943d', 'e4342b63-7c77-436f-9dca-c44a35772fb4']",48,,,,,,,,,,,,,,,,,,Troyes,133,00:27:48.326,Carry,True
,,,,"[104.4, 70.6]",,,,,,,,,,,0.691018,,,,,,,,,,,,,,,,562cbfa8-835b-47fe-b618-d0e21c68e00d,1144,,,"[105.2, 70.6]",3900622,27,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Brayan Andrés Perea Vargas,29133.0,Center Forward,70,Troyes,133,"['975417f0-c882-448d-9877-89f63a2bd4f6', 'bbbde9a7-c0bc-4d23-9145-db63d5f50a8a']",58,,,,,,,,,,,,,,,,,,Troyes,133,00:27:58.261,Carry,
,,,,"[91.9, 64.3]",,,,,,,,,,,1.962115,,,,,,,,,,,,,,,,cf4d9329-b1ca-474d-9f0c-c0af084f6258,1147,,,"[92.9, 70.0]",3900622,28,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Stéphane Darbion,2993.0,Right Midfield,70,Troyes,133,"['0099e35d-7a65-4d5f-ad88-1fb890c5f9d6', '95b2c600-fcb8-4f7e-a8f2-d6401b5d5a9c']",0,,,,,,,,,,,,,,,,,,Troyes,133,00:28:00.230,Carry,
,,,,"[84.8, 48.3]",,,,,,,,,,,0.996772,,,,,,,,,,,,,,,,13c7e12f-ffeb-4efa-95e1-c1938c1ad88f,1150,,,"[86.4, 50.9]",3900622,28,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Benjamin Nivet,3002.0,Right Center Midfield,70,Troyes,133,"['6a88df9e-af51-4fa4-aed9-4d8036282411', 'a090c46e-c1e5-4cf4-9ab1-93b6dbd2b75d']",2,,,,,,,,,,,,,,,,,,Troyes,133,00:28:02.992,Carry,
