50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,97b0e101-213b-4cce-b17d-f00034c38707,1,,,3829424,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4259, 'name': 'Stéphane Ruffier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 3413, 'name': 'Kévin Théophile-Catherine'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 401468, 'name': 'Moustapha Bayal Sall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 4802, 'name': 'Florentin Pogba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 3047, 'name': 'Benoît Assou-Ekotto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 32}, {'player': {'id': 7442, 'name': 'Jérémy Clément'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3797, 'name': 'Ismaël Tiémoko Diomandé'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 28}, {'player': {'id': 7200, 'name': 'Fabien Lemoine'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 4260, 'name': 'Romain Hamouma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 8469, 'name': 'Jean-Christophe Bahebeck'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3179, 'name': 'Nolan Roux'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Saint-Étienne,135,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1495cb63-5b49-4d2f-93c8-cd1adf2b501c,2,,,3829424,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4509, 'name': 'Jérôme Prior'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 2946, 'name': 'Frédéric Guilbert'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 3779, 'name': 'Cédric Yambéré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 3256, 'name': 'Nicolas Pallois'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4628, 'name': 'Diego Armando Valentin Contento'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5110, 'name': 'Henri Saivet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 7552, 'name': 'Clément Chantôme'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 30338, 'name': 'André Biyogo Poko'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 3196, 'name': 'Wahbi Khazri'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 42430, 'name': 'Nicolas Maurice-Belay'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 7130, 'name': 'Cheick Tidiane Diabaté'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Bordeaux,146,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,23792d7e-3b53-413a-a3f9-fb5986dc0602,3,,,3829424,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,['5d4ef533-cff0-44fb-ab10-f753832c0de0'],0,,,,,,,,,,,,,,,,,Bordeaux,146,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5d4ef533-cff0-44fb-ab10-f753832c0de0,4,,,3829424,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,['23792d7e-3b53-413a-a3f9-fb5986dc0602'],0,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fbb8e03a-8979-4274-bb83-0db68499e9a3,1519,,,3829424,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,85,Bordeaux,146,['a11c3647-a5a1-4149-91b4-0c4feeae2a23'],0,,,,,,,,,,,,,,,,,Bordeaux,146,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a11c3647-a5a1-4149-91b4-0c4feeae2a23,1520,,,3829424,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,85,Bordeaux,146,['fbb8e03a-8979-4274-bb83-0db68499e9a3'],0,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.504523,,,,,,,,,,,,9d43ab26-00e9-48e4-acfa-bb26fd1ba36e,5,,"[60.0, 40.0]",3829424,0,,,,,1.076855,,Right Foot,,,,"[60.7, 41.3]",,Ground Pass,,1.4764823,,,Fabien Lemoine,7200.0,,,,,,Kick Off,1,From Kick Off,Nolan Roux,3179.0,Center Forward,2,Saint-Étienne,135,['7a1e3168-cfc8-4562-9ba7-cb277e36a737'],0,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.683,Pass,
,,,,,,,,,,,,,,,,,,,0.913298,,,,,,,,,,,,4fec1100-7480-492c-88b7-64f918d93f63,8,,"[61.4, 42.6]",3829424,0,,,,,-2.7002344,,Right Foot,,,,"[48.7, 36.6]",,Ground Pass,,14.045996,,,Jérémy Clément,7442.0,,,,,,,1,From Kick Off,Fabien Lemoine,7200.0,Left Center Midfield,2,Saint-Étienne,135,['aa54cec5-170e-45c4-9773-304617ffe0c5'],1,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:01.267,Pass,
,,,,,,,,,,,,,,,,,,,0.939793,,,,,,,,,,,,bb7567d0-5e30-4725-802d-99d6bfad27d7,11,,"[52.7, 39.8]",3829424,0,,,,,1.851096,,Left Foot,,,,"[48.9, 53.0]",,Ground Pass,,13.736084,,,Ismaël Tiémoko Diomandé,3797.0,,,,,,,1,From Kick Off,Jérémy Clément,7442.0,Center Defensive Midfield,2,Saint-Étienne,135,['4fd1f3db-d2c2-4105-a73c-b7648b9e117c'],3,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:03.587,Pass,
,,,,,,,,,,,,,,,,,,,1.427941,,,,,,,,,,,,b0524b62-ab54-4b9e-ba94-0ebfa84891f2,14,,"[48.7, 53.3]",3829424,0,,,,,-2.2448742,,Right Foot,,,,"[34.0, 34.9]",,Ground Pass,,23.551008,,,Moustapha Bayal Sall,401468.0,,,,,,,1,From Kick Off,Ismaël Tiémoko Diomandé,3797.0,Right Center Midfield,2,Saint-Étienne,135,['3c58017e-8dd8-444c-a8fa-5ac41e9f55f9'],4,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:04.567,Pass,
