50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,11176f86-d3c3-4efa-9208-1437dac1aa12,1,,,3900527,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3543, 'name': 'Steve Mandanda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 7857, 'name': 'Brice Dja Djédjé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8572, 'name': 'Karim Rekik'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3261, 'name': 'Benjamin Mendy'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 18874, 'name': 'Mauricio Aníbal Isla Isla'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3181, 'name': 'Lassana Diarra'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 15296, 'name': 'Romain Alessandrini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3420, 'name': 'Rémy Cabella'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 13}, {'player': {'id': 3639, 'name': 'Georges-Kévin Nkoudou Mbida'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 3457, 'name': 'Michy Batshuayi Tunga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Marseille,147,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fc0df089-3eba-4de5-b3d6-86aba82f0c95,2,,,3900527,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3204, 'name': 'Almamy Touré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 38}, {'player': {'id': 8277, 'name': 'Wallace Fortuna dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 3374, 'name': 'Andrea Raggi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 27558, 'name': 'Elderson Uwa Echiejile'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 2}, {'player': {'id': 3955, 'name': 'Tiemoué Bakayoko'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 9931, 'name': 'Hélder Wander Sousa Azevedo Costa'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 3168, 'name': 'João Filipe Iria Santos Moutinho'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 19047, 'name': 'Fábio Alexandre da Silva Coentrão'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 4}, {'player': {'id': 3246, 'name': 'Guido Marcelo Carrillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",AS Monaco,129,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4d0ad13c-16b2-4e76-8565-a3bf6d755376,3,,,3900527,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,['1123ddc1-16d0-40f4-ab37-b7d4f30ab609'],0,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1123ddc1-16d0-40f4-ab37-b7d4f30ab609,4,,,3900527,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,['4d0ad13c-16b2-4e76-8565-a3bf6d755376'],0,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,138043b5-a16e-4f31-a3d7-5e669ad6467b,1759,,,3900527,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,AS Monaco,129,['56f582fb-8dbb-4bd5-8aef-030b9d1e7778'],0,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,56f582fb-8dbb-4bd5-8aef-030b9d1e7778,1760,,,3900527,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,AS Monaco,129,['138043b5-a16e-4f31-a3d7-5e669ad6467b'],0,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.378986,,,,,,,,,,,,8d219525-46cd-4d95-bc59-8ffdc20a3102,5,,"[60.0, 40.0]",3900527,0,,,,,-1.8736812,,Right Foot,,,,"[58.5, 35.2]",,Ground Pass,,5.0289164,,,,Michy Batshuayi Tunga,3457.0,,,,Kick Off,1,From Kick Off,Rémy Cabella,3420.0,Center Attacking Midfield,2,Marseille,147,['ae9dbd18-7f3c-4f8d-8831-61c0f8d206af'],0,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.399,Pass,
,,,,,,,,,,,,,,,,,1.301886,,,,,,,,,,,,9a9ed161-7b38-4c21-9bba-99b83be553a3,8,,"[56.3, 35.5]",3900527,0,,,,,2.7985687,,Left Foot,,,,"[36.7, 42.5]",,Ground Pass,,20.812496,,,,Mauricio Aníbal Isla Isla,18874.0,,,,,1,From Kick Off,Michy Batshuayi Tunga,3457.0,Center Forward,2,Marseille,147,['a397c7b2-1d98-48e1-9917-45feb41c1117'],1,,,,,,,,,,,,,,,,,Marseille,147,00:00:01.485,Pass,
,,,,,,,,,,,,,,,,,1.307227,,,,,,,,,,,,d7e13d9a-7b7f-4a46-9801-495a7d7ef1b1,12,,"[37.5, 43.3]",3900527,0,,,,,-2.102318,,Right Foot,,,,"[24.8, 21.7]",,Ground Pass,,25.056934,,,,Karim Rekik,8572.0,,,,,1,From Kick Off,Mauricio Aníbal Isla Isla,18874.0,Right Defensive Midfield,2,Marseille,147,"['86d2b792-c8e0-4f7a-b768-28250ac772ae', 'da6be221-fedf-4e02-a3ff-21270f53651e']",3,,,,,,,,,,,,,,,,,Marseille,147,00:00:03.495,Pass,True
,,,,,,,,,,,,,,,,,2.455259,,,,,,,,,,,,e02efda1-ba64-46c5-b422-3339408def6b,16,,"[26.2, 17.7]",3900527,0,,,,,0.26625204,,Left Foot,,,,"[74.6, 30.9]",,High Pass,,50.167717,,,,Michy Batshuayi Tunga,3457.0,,,,,1,From Kick Off,Karim Rekik,8572.0,Left Center Back,2,Marseille,147,"['2e04f911-e1a0-4549-b2a8-a421957040ca', '3c93ea7e-befd-4165-83de-5380fddb976a']",6,,,,,,,,,,,,,,,,,Marseille,147,00:00:06.762,Pass,True
,,,,,,,,,,,,,,,,,1.118757,,,,,,,,,,,,7d718e6a-3082-4189-99f4-c8e44d794210,18,,"[74.6, 30.9]",3900527,0,,,,,-2.742632,,Head,,,,"[64.4, 26.6]",,Low Pass,,11.069327,,,,Rémy Cabella,3420.0,,,,,1,From Kick Off,Michy Batshuayi Tunga,3457.0,Center Forward,2,Marseille,147,['85815c85-8db3-4734-91aa-4fc7b14fb673'],9,,,,,,,,,,,,,,,,,Marseille,147,00:00:09.298,Pass,
