50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6e2c487f-034a-4705-b2ef-b452f066a4ca,1,,,3829459,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 5653, 'name': 'Mouez Hassen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4270, 'name': 'Jérémy Pied'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 4443, 'name': 'Paul Baysse'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 7323, 'name': 'Olivier Boscagli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 6352, 'name': 'Ricardo Domingos Barbosa Pereira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 4506, 'name': 'Nampalys Mendy'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 4264, 'name': 'Vincent Koziello'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 3359, 'name': 'Jean Michaël Seri'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 16462, 'name': 'Hatem Ben Arfa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 3230, 'name': 'Alassane Pléa'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 3210, 'name': 'Valère Germain'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 28}]}",OGC Nice,136,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9053bd6b-8abc-45c9-a5c0-7af8c64cef24,2,,,3829459,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3322, 'name': 'Jonas Lössl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20199, 'name': 'Lars Christian Jacobsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 2936, 'name': 'Christophe Kerbrat'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 29}, {'player': {'id': 3124, 'name': 'Jérémy Sorbon'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 401513, 'name': 'Reynald Lemaître'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 401512, 'name': 'Lionel Mathis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3348, 'name': 'Younousse Sankharé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 3363, 'name': 'Marcus Coco'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 24}, {'player': {'id': 3301, 'name': 'Nicolas Benezet'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 3213, 'name': 'Jimmy Briand'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 7483, 'name': 'Mana Dembélé'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Guingamp,142,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f3eeaca9-ae90-420a-8db2-eb8285fea119,3,,,3829459,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,['34c75b4c-8e28-4cd6-98a1-996f91d884d3'],0,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,34c75b4c-8e28-4cd6-98a1-996f91d884d3,4,,,3829459,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,['f3eeaca9-ae90-420a-8db2-eb8285fea119'],0,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,757540ee-c68e-43e9-a998-3bc6af2b5c91,1965,,,3829459,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,90,Guingamp,142,['a4973596-d590-4ff3-9db9-afacba021fc5'],0,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a4973596-d590-4ff3-9db9-afacba021fc5,1966,,,3829459,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,90,Guingamp,142,['757540ee-c68e-43e9-a998-3bc6af2b5c91'],0,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.586328,,,,,,,,,,,,,a2f9eac8-fe00-4af2-a7d9-be6019baaa8c,5,,"[61.0, 40.1]",3829459,0,,,,,-2.3758,,Right Foot,,,"[58.4, 37.6]",,Ground Pass,,3.6069376,,,Valère Germain,3210.0,,,,,Kick Off,1,From Kick Off,Alassane Pléa,3230.0,Right Center Forward,2,OGC Nice,136,['d5ea6ea3-c3b5-41bd-8959-6231f776c740'],0,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.572,Pass,
,,,,,,,,,,,,,,,,,1.271998,,,,,,,,,,,,,cc39514d-07f0-465a-b937-f8117bea5fe7,8,,"[57.4, 36.7]",3829459,0,,,,,-2.5378432,,Right Foot,,,"[51.6, 32.7]",,Ground Pass,,7.045566,,,Jean Michaël Seri,3359.0,,,,,,1,From Kick Off,Valère Germain,3210.0,Left Center Forward,2,OGC Nice,136,['e0a569c4-0408-4fe8-a9e4-f82ccc754666'],1,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:01.484,Pass,
,,,,,,,,,,,,,,,,,1.525619,,,,,,,,,,,,,2b1aa97c-b5fb-4389-973c-7ff01d478ff8,11,,"[52.4, 31.0]",3829459,0,,,,,-1.9792852,,Right Foot,,,"[43.7, 10.9]",,Ground Pass,,21.902054,,,Ricardo Domingos Barbosa Pereira,6352.0,,,,,,1,From Kick Off,Jean Michaël Seri,3359.0,Left Center Midfield,2,OGC Nice,136,['1fe640f5-ee68-474a-9a22-f79db73b61e2'],2,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:02.927,Pass,
,,,,,,,,,,,,,,,,,1.684205,,,,,,,,,,,,,05ae454c-2887-4a61-b6a1-ff49c6146486,14,,"[43.2, 9.6]",3829459,0,,,,,2.0948238,,Right Foot,,,"[34.3, 25.0]",,Ground Pass,,17.786793,,,Olivier Boscagli,7323.0,,,,,,1,From Kick Off,Ricardo Domingos Barbosa Pereira,6352.0,Left Back,2,OGC Nice,136,['db939a34-d8fc-44ab-bc6b-58cea6dceb9d'],4,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:04.709,Pass,
