50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1d12a837-6f2a-48d3-99b4-2ea3eccc4253,1,,,,3901222,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4377, 'name': 'Maxime Dupé'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 3144, 'name': 'Léo Dubois'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 3174, 'name': 'Lévy Koffi Djidji'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 3004, 'name': 'Oswaldo Augusto Vizcarrondo Araújo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 10746, 'name': 'Ermir Lenjani'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 401478, 'name': 'Rémi Gomis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 7350, 'name': 'Birama Touré'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 12351, 'name': 'Alejandro Bedoya'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 4380, 'name': 'Guillaume Gillet'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 27}, {'player': {'id': 31687, 'name': 'Adryan Oliveira Tavares'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 3114, 'name': 'Emiliano Sala'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Nantes,144,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9b49e90b-e03f-41fd-8aea-7101c6897271,2,,,,3901222,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 7509, 'name': 'Geoffrey Jourdren'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 4669, 'name': 'William Jean Rémy'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 3674, 'name': 'Vitorino Hilton da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3011, 'name': 'Daniel Congré'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3676, 'name': 'Jérôme Roussillon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 3767, 'name': 'Ellyes Joris Skhiri'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 3421, 'name': 'Bryan Dabo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 2950, 'name': 'Jonas Martin'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6661, 'name': 'Ryad Boudebouz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3679, 'name': 'Souleymane Camara'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 3020, 'name': 'Rodrigue Casimir Ninga'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 29}]}",Montpellier,139,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0c193db6-e9ef-42c1-a001-fcb7e162b27a,3,,,,3901222,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,['93cc9db9-bb1a-471a-b04d-b6dc0d9dff89'],0,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,93cc9db9-bb1a-471a-b04d-b6dc0d9dff89,4,,,,3901222,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,['0c193db6-e9ef-42c1-a001-fcb7e162b27a'],0,,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,91a758d0-7244-48ae-90f2-e9717639f692,1723,,,,3901222,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Nantes,144,['74e4a1b2-6346-46b2-9f28-c1facda1e876'],0,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,74e4a1b2-6346-46b2-9f28-c1facda1e876,1724,,,,3901222,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Nantes,144,['91a758d0-7244-48ae-90f2-e9717639f692'],0,,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.001,,,,,,,,,,,,,50844b56-c549-4dce-88e3-b26b03ff1a5c,5,,,"[60.0, 40.0]",3901222,0,,,,,-1.080839,,Right Foot,,,"[61.6, 37.0]",,Ground Pass,,3.4,,,,Ryad Boudebouz,6661.0,,,,,Kick Off,1,From Kick Off,Souleymane Camara,3679.0,Right Center Forward,2,Montpellier,139,['09fd9499-5b67-4202-ab8d-195442021fe7'],0,,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.928,Pass,
,,,,,,,,,,,,,,,,,,2.2569,,,,,,,,,,,,,82756b3e-cef1-40a1-b03a-74ad31d262fd,8,,,"[62.1, 37.4]",3901222,0,,,,,-2.567048,,Right Foot,,,"[44.8, 26.2]",,Ground Pass,,20.608978,,,,Daniel Congré,3011.0,,,,,,1,From Kick Off,Ryad Boudebouz,6661.0,Center Attacking Midfield,2,Montpellier,139,['25e9288a-360d-41d4-97d1-68e0a240169a'],2,,,,,,,,,,,,,,,,,Montpellier,139,00:00:02.185,Pass,
,,,,,,,,,,,,,,,,,,2.659075,,,,,,,,,,,,,41db8433-7818-447f-82ea-d72bedacce74,11,,,"[51.3, 26.2]",3901222,0,,,,,-0.40866795,,Right Foot,,,"[86.4, 11.0]",,High Pass,,38.249836,,Incomplete,,Rodrigue Casimir Ninga,3020.0,,,,,,1,From Kick Off,Daniel Congré,3011.0,Left Center Back,2,Montpellier,139,"['1f7c9392-23d9-4e6e-8f59-3605ef9ea70d', '509cf0f3-ec2a-485d-9519-bc8fad70fec5']",5,,,,,,,,,,,,,,,,,Montpellier,139,00:00:05.528,Pass,
,,,,,,,,,,,,,,,,,,2.310206,,,,,,,,,,,,,1f7c9392-23d9-4e6e-8f59-3605ef9ea70d,13,,,"[33.7, 69.1]",3901222,0,,,,,-2.2005138,,Right Foot,,,"[24.3, 56.2]",,Low Pass,,15.961516,,,,Lévy Koffi Djidji,3174.0,,,,,Recovery,1,Regular Play,Léo Dubois,3144.0,Right Back,3,Nantes,144,"['07c3d46c-cc70-43ff-af87-1901ceb599ab', '41db8433-7818-447f-82ea-d72bedacce74']",8,,,,,,,,,,,,,,,,,Nantes,144,00:00:08.187,Pass,
