ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,16f40def-903c-475f-9200-8aa0ded731aa,1,,,3901221,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3354, 'name': 'Benoît Guy Robert Costil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4475, 'name': 'Romain Danzé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 3022, 'name': 'Fallou Diagne'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 3250, 'name': 'Edson André Sitoe'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 40699, 'name': 'Sylvain Armand'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 8672, 'name': 'Gélson da Conceição Tavares Fernandes'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 2990, 'name': 'Benjamin André'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 5667, 'name': 'Kamil Grosicki'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 4602, 'name': 'Yoann Gourcuff'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 28}, {'player': {'id': 3018, 'name': 'Giovanni-Guy Yann Sio'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Rennes,134,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,16bc340c-6869-44dc-8002-e2ca6a7cbf9b,2,,,3901221,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3322, 'name': 'Jonas Lössl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3364, 'name': 'Jonathan Martins-Pereira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 2936, 'name': 'Christophe Kerbrat'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 29}, {'player': {'id': 3124, 'name': 'Jérémy Sorbon'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 20199, 'name': 'Lars Christian Jacobsen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 3121, 'name': 'Moustapha Elhadji Diallo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 3348, 'name': 'Younousse Sankharé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 3235, 'name': 'Ludovic Blas'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 21}, {'player': {'id': 4434, 'name': 'Thibault Giresse'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 26}, {'player': {'id': 3213, 'name': 'Jimmy Briand'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 3363, 'name': 'Marcus Coco'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 24}]}",Guingamp,142,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3252ca73-815c-4d6f-8838-032fc9a44df4,3,,,3901221,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,['80b1f65c-d6dc-4bdb-b835-97c99c6e15e3'],0,,,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,80b1f65c-d6dc-4bdb-b835-97c99c6e15e3,4,,,3901221,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,['3252ca73-815c-4d6f-8838-032fc9a44df4'],0,,,,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,185ee0a6-8d6e-414f-8006-443e44f9f24a,1736,,,3901221,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,103,Rennes,134,['14d2a7ff-bfb2-432f-8130-19eff50d03e6'],0,,,,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,14d2a7ff-bfb2-432f-8130-19eff50d03e6,1737,,,3901221,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,103,Rennes,134,['185ee0a6-8d6e-414f-8006-443e44f9f24a'],0,,,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.58795,,,,,,,,,,,,,,36a1d4fb-ac7c-4eb1-a968-a6701aa7fead,5,,"[60.0, 40.0]",3901221,0,,True,,,-2.0232713,,Right Foot,,,"[56.5, 32.8]",,Ground Pass,,8.005623,,,Yoann Gourcuff,4602.0,,,,,Kick Off,1,From Kick Off,Ousmane Dembélé,5477.0,Center Attacking Midfield,2,Rennes,134,['b9cc880f-a5f8-4e3a-8fd9-30900fa348de'],0,,,,,,,,,,,,,,,,,,,Rennes,134,00:00:00.941,Pass,
,,,,,,,,,,,,,,,,2.502534,,,,,,,,,,,,,,c1f1e9e6-e363-4c5c-984b-056a846b0245,7,,"[57.0, 34.7]",3901221,0,,,,,0.95478547,,Right Foot,,,"[77.6, 63.8]",,High Pass,,35.653473,,,Kamil Grosicki,5667.0,,,,,,1,From Kick Off,Yoann Gourcuff,4602.0,Left Wing,2,Rennes,134,['fd50d29e-a37f-41c2-8833-106c3680f7f5'],1,,,,,,,,,,,,,,,,,,,Rennes,134,00:00:01.836,Pass,
,,,,,,,,,,,,,,,,1.113633,,,,,,,,,,,,,,794207e3-4b4e-44c0-ba7c-157fb124f479,9,,"[78.0, 61.7]",3901221,0,,,,,-1.0229328,,Right Foot,,,"[85.2, 49.9]",,High Pass,,13.823169,,,Giovanni-Guy Yann Sio,3018.0,,,,,,1,From Kick Off,Kamil Grosicki,5667.0,Right Wing,2,Rennes,134,['3f7b89fe-6b8c-46a9-bcb4-f0993cbce380'],4,,,,,,,,,,,,,,,,,,,Rennes,134,00:00:04.339,Pass,
,,,,,,,,,,,,,,,,1.005246,,,,,,,,,,,,,,a88335ef-5c10-4dd3-8663-06b35e879e55,14,,"[91.2, 59.9]",3901221,0,,,,,2.0831857,,Left Foot,,,"[84.0, 72.7]",,Ground Pass,,14.686048,,,Romain Danzé,4475.0,,,,,,1,From Kick Off,Giovanni-Guy Yann Sio,3018.0,Center Forward,2,Rennes,134,['7177ba2f-4a54-4856-95ef-05127bf43095'],7,,,,,,,,,,,,,,,,,,,Rennes,134,00:00:07.381,Pass,
