ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,25fb5816-38e5-4fca-80ca-519af20502d0,1,,,,3829444,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 2963, 'name': 'Rémy Vercoutre'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 22111, 'name': 'Dennis Appiah'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 4386, 'name': 'Damien Da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 5656, 'name': 'Syam Ben Youssef'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 7237, 'name': 'Chaker Alhadhur'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 7344, 'name': 'Jordan Adéoti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 7726, 'name': 'Jeff Louis'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 2979, 'name': 'Jonathan Delaplace'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 2992, 'name': 'Vincent Bessat'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 3038, 'name': 'Andy Delort'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Caen,140,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6d8c6422-33d0-4b36-b8a8-82fefb7fe96a,2,,,,3829444,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 2947, 'name': 'Anthony Lopes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3156, 'name': 'Rafael Pereira da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 4463, 'name': 'Mapou Yanga-Mbiwa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 2983, 'name': 'Jérémy Morel'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6982, 'name': 'Maxime Gonalons'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3118, 'name': 'Jordan Ferri'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 5480, 'name': 'Corentin Tolisso'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 18868, 'name': 'Mathieu Valbuena'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 2948, 'name': 'Nabil Fekir'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 6600, 'name': 'Claudio Beauvue'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Lyon,137,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f5eb96b3-ad4c-4fe8-8fda-4853afbbc796,3,,,,3829444,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,['ed3ea7ff-773e-4948-9e06-aec749ecae5b'],0,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ed3ea7ff-773e-4948-9e06-aec749ecae5b,4,,,,3829444,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,['f5eb96b3-ad4c-4fe8-8fda-4853afbbc796'],0,,,,,,,,,,,,,,,,,Caen,140,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b89d2316-d568-441e-9b82-a43a8fd46253,1569,,,,3829444,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,104,Caen,140,['48fe9b0a-2097-4aa6-9b56-162403497063'],0,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,48fe9b0a-2097-4aa6-9b56-162403497063,1570,,,,3829444,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,104,Caen,140,['b89d2316-d568-441e-9b82-a43a8fd46253'],0,,,,,,,,,,,,,,,,,Caen,140,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.489914,,,,,,,,,,,,,ee3091b9-d578-4e8f-91ac-9c9bcf8b27e1,5,,,"[61.0, 40.1]",3829444,0,,,,1.8555268,,Left Foot,,,"[59.8, 44.2]",,Ground Pass,,4.2720017,,,Mathieu Valbuena,18868.0,,,,,,Kick Off,1,From Kick Off,Claudio Beauvue,6600.0,Left Center Forward,2,Lyon,137,['8143230e-a12e-4e67-95bf-1c52183ae164'],0,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.861,Pass,
,,,,,,,,,,,,,,,,1.119277,,,,,,,,,,,,,c3a12a37-ff5a-4b91-b41a-db62dda90835,8,,,"[59.8, 44.2]",3829444,0,,,,-3.009909,,Right Foot,,,"[44.7, 42.2]",,Ground Pass,,15.231874,,,Maxime Gonalons,6982.0,,,,,,,1,From Kick Off,Mathieu Valbuena,18868.0,Center Attacking Midfield,2,Lyon,137,['d1170e82-7b57-4977-9da4-2e059cbd68d4'],1,,,,,,,,,,,,,,,,,Lyon,137,00:00:01.572,Pass,
,,,,,,,,,,,,,,,,2.355417,,,,,,,,,,,,,1f8c1786-0819-46ca-a72f-b25d1936c6b1,12,,,"[45.7, 48.6]",3829444,0,,,,0.03754104,,Right Foot,,,"[88.3, 50.2]",,High Pass,,42.630035,Incomplete,,Nabil Fekir,2948.0,,,,,,,1,From Kick Off,Maxime Gonalons,6982.0,Center Defensive Midfield,2,Lyon,137,"['1935b578-506b-4207-a136-d6a0ca768740', '5b482e66-9c63-49b5-a7ca-e139f94c6856', 'a1333dac-ef07-419d-b988-7c75396603e9']",3,,,,,,,,,,,,,,,,,Lyon,137,00:00:03.958,Pass,True
,,,,,,,,,,,,,,,,1.713021,,,,,,,,,,,,,a1333dac-ef07-419d-b988-7c75396603e9,14,,,"[31.8, 29.9]",3829444,0,,,True,0.16065864,,,,,"[57.1, 34.0]",,Low Pass,,25.63006,Incomplete,,Julien Féret,2959.0,,,,,,Recovery,1,From Kick Off,Syam Ben Youssef,5656.0,Left Center Back,2,Lyon,137,"['1f8c1786-0819-46ca-a72f-b25d1936c6b1', '2998c601-799a-4eb1-9c00-85630b69e338', '631aab32-80c9-4a83-91a6-34f043a3ee59', 'd2fbaeb5-877e-4d9f-ae8d-6ed9a3a8cce2']",6,,,,,,,,,,,,,,,,,Caen,140,00:00:06.313,Pass,True
