50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6a3b2990-88a1-4f9b-8624-6ee965f622fe,1,,,3829456,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lorient,165,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3008, 'name': 'Benjamin Lecomte'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 6335, 'name': 'Lamine Gassama'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 13286, 'name': 'Lamine Koné'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3769, 'name': 'Wesley Lautoa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 7199, 'name': 'Vincent Le Goff'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 22587, 'name': 'Didier Ndong Ibrahim'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 7766, 'name': 'Walid Mesloub'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 3102, 'name': 'Yann Jouffre'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 7615, 'name': 'Abdul Majeed Waris'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 33178, 'name': 'Benjamin Moukandjo Bilé'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 12}]}",Lorient,165,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6e3c4ef0-2995-4271-8398-be61f24d4bb4,2,,,3829456,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lorient,165,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4547, 'name': 'Ludovic Butelle'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3431, 'name': 'Vincent Manceau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 3203, 'name': 'Yoann Andreu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 7207, 'name': 'Férébory Doré'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 4441, 'name': 'Billy Ketkeophomphone'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 3078, 'name': 'Abdoul Razzagui Camara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 401542, 'name': 'Goran Karanović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Angers,145,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2e4edad8-de69-4857-8d58-a4d2559b244f,3,,,3829456,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lorient,165,['2a6b243f-0301-46e1-96d0-2c88bd7189bc'],0,,,,,,,,,,,,,,,,,Lorient,165,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2a6b243f-0301-46e1-96d0-2c88bd7189bc,4,,,3829456,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lorient,165,['2e4edad8-de69-4857-8d58-a4d2559b244f'],0,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f859644c-f314-48e3-9752-adc75765f745,2127,,,3829456,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,110,Lorient,165,['a975f0b9-7eeb-47f8-9def-ef9aad20feda'],0,,,,,,,,,,,,,,,,,Lorient,165,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a975f0b9-7eeb-47f8-9def-ef9aad20feda,2128,,,3829456,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,110,Lorient,165,['f859644c-f314-48e3-9752-adc75765f745'],0,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.639539,,,,,,,,,,,dceb39df-1fcf-4771-8d9e-4a856594573f,5,,"[60.0, 40.0]",3829456,0,True,,,-1.6582917,,Right Foot,,,,"[59.5, 34.3]",,Ground Pass,,5.7218876,,,,Benjamin Moukandjo Bilé,33178.0,,,,,Kick Off,1,From Kick Off,Abdul Majeed Waris,7615.0,Right Center Forward,2,Lorient,165,['cdd26e7b-c868-4508-b0bd-6354ba813a12'],1,,,,,,,,,,,,,,,,,Lorient,165,00:00:01.101,Pass,
,,,,,,,,,,,,,,,,,1.073466,,,,,,,,,,,a7bd01b9-4433-4b95-a2fe-89ad27ccf5c1,7,,"[57.4, 35.2]",3829456,0,,,,-2.9679215,,Right Foot,,,,"[40.3, 32.2]",,Ground Pass,,17.361164,,,,Walid Mesloub,7766.0,,,,,,1,From Kick Off,Benjamin Moukandjo Bilé,33178.0,Left Center Forward,2,Lorient,165,['dae64c5e-6af3-42ec-99f5-606121ae260c'],2,,,,,,,,,,,,,,,,,Lorient,165,00:00:02.427,Pass,
,,,,,,,,,,,,,,,,,2.18582,,,,,,,,,,,ab37c489-05ca-438c-8aeb-e3340959b723,11,,"[40.3, 31.0]",3829456,0,,,,-0.5847453,,Right Foot,,,,"[75.8, 7.5]",,High Pass,,42.573467,,,,Raphaël Adelino José Guerreiro,5209.0,,,,,,1,From Kick Off,Walid Mesloub,7766.0,Left Defensive Midfield,2,Lorient,165,"['2ac95d63-088c-4d6f-b7a6-4c2f11d28f15', '5534e1c9-4aee-4fd2-a208-808cf20896d5']",4,,,,,,,,,,,,,,,,,Lorient,165,00:00:04.418,Pass,True
,,,,,,,,,,,,,,,,,1.095403,,,,,,,,,,,4773ec6e-bcb6-4b60-b21d-ede018e57d12,15,,"[48.8, 69.9]",3829456,0,,,,0.7853982,,Right Foot,,,,"[53.6, 74.7]",,Ground Pass,,6.788225,,,,Billy Ketkeophomphone,4441.0,,,,,Recovery,1,From Kick Off,Thomas Mangani,3185.0,Left Center Midfield,2,Lorient,165,['4e96d0ad-ee29-4633-9192-1ae1f4a0174e'],8,,,,,,,,,,,,,,,,,Angers,145,00:00:08.260,Pass,
