50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,126ff08d-3399-410b-a3f3-7a26be1dd011,1,,,3901168,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 40484, 'name': 'Vincent Enyeama'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6716, 'name': 'Sébastien Corchia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 40523, 'name': 'Marko Baša'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 3677, 'name': 'Bakary Adama Soumaoro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 3446, 'name': 'Djibril Sidibé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 11332, 'name': 'Ibrahim Amadou'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3425, 'name': 'Morgan Amalfitano'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 31}, {'player': {'id': 40522, 'name': 'Rio Antonio Zoba Mavuba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 3218, 'name': 'Marcos Paulo Mesquita Lopes'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 32}, {'player': {'id': 3673, 'name': 'Yassine Benzia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 15996, 'name': 'Éderzito António Macedo Lopes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 39}]}",Lille,143,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,af209d1f-4d1a-4bf1-88d1-cc1b0cc6d681,2,,,3901168,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,,0,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 7641, 'name': 'Johann Carrasso'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 131849, 'name': 'Antoine Conte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 23}, {'player': {'id': 23329, 'name': 'Abdelhamid El Kaoutari'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 27}, {'player': {'id': 7363, 'name': 'Diego Rigonato Rodrigues'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 46801, 'name': 'Jaba Kankava'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 7815, 'name': 'Antoine Devaux'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 7635, 'name': 'Gaëtan Charbonnier'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 26775, 'name': 'Thievy Guivane Bifouma Koulossa'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 4383, 'name': 'Nicolas de Roussel de Préville'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 12}]}",Stade de Reims,156,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,656e69af-a873-437e-a39a-8bee6aaf91e8,3,,,3901168,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,['d528c7b5-4b82-4fc0-8bd3-4a3006aaa99b'],0,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d528c7b5-4b82-4fc0-8bd3-4a3006aaa99b,4,,,3901168,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,['656e69af-a873-437e-a39a-8bee6aaf91e8'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d0199d6b-f441-4557-aa5d-17c020e925be,1630,,,3901168,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,108,Lille,143,['ae8c65ae-48d0-4590-b0b1-1675fb770dcf'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ae8c65ae-48d0-4590-b0b1-1675fb770dcf,1631,,,3901168,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,108,Lille,143,['d0199d6b-f441-4557-aa5d-17c020e925be'],0,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.464208,,,,,,,,,,,,,,cd17e4e4-72dc-4c3d-b167-bde4a2cb23dc,5,,"[60.0, 40.0]",3901168,0,True,,,1.4288993,,Right Foot,,,,"[60.4, 42.8]",,Ground Pass,,2.828427,,,,Morgan Amalfitano,3425.0,,,,,Kick Off,1,From Kick Off,Éderzito António Macedo Lopes,15996.0,Center Forward,2,Lille,143,['e4224919-90d0-48cd-b09c-cad128d268d4'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.239,Pass,
,,,,,,,,,,,,,,,1.894328,,,,,,,,,,,,,,c0bf288b-7af6-4df5-93ce-9dd390754595,7,,"[59.4, 42.8]",3901168,0,,,,2.640227,,Right Foot,,,,"[49.0, 48.5]",,Ground Pass,,11.859595,,,,Ibrahim Amadou,11332.0,,,,,,1,From Kick Off,Morgan Amalfitano,3425.0,Right Center Midfield,2,Lille,143,['1471a415-1025-4dd3-8bef-b33425c1f1d2'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.703,Pass,
,,,,,,,,,,,,,,,0.736965,,,,,,,,,,,,,,ed15219f-a07c-4e72-a72b-120f3a77eefd,11,,"[56.4, 54.1]",3901168,0,,,,0.6165154,,Right Foot,,,,"[69.1, 63.1]",,Ground Pass,,15.565667,,,,Marcos Paulo Mesquita Lopes,3218.0,,,,,,1,From Kick Off,Ibrahim Amadou,11332.0,Center Defensive Midfield,2,Lille,143,"['81e3bdc2-1a0a-46ab-a206-a905c3505ea5', '837ca5da-42e2-496c-bb20-51e89e7c37dd']",4,,,,,,,,,,,,,,,,,Lille,143,00:00:04.970,Pass,True
,,,,,,,,,,,,,,,0.734296,,,,,,,,,,,,,,5a79fca6-ff7e-4027-9226-b505f1178717,15,,"[64.8, 57.1]",3901168,0,,,,-1.5707964,,Left Foot,,,,"[64.8, 38.3]",,Ground Pass,,18.8,,Incomplete,,Yassine Benzia,3673.0,,,,,,1,From Kick Off,Marcos Paulo Mesquita Lopes,3218.0,Right Wing,2,Lille,143,"['7c55f989-356d-4f74-ab0f-41d2cc5182d8', 'bd89fcb3-78d4-4a74-9912-3a4d1eee176a', 'ef41ebbb-fea1-4e36-8b85-f8c66dda191c']",7,,,,,,,,,,,,,,,,,Lille,143,00:00:07.450,Pass,True
