50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,0d390ef4-be39-408a-a71e-42ae7cdc01fa,16,,"[28.5, 11.3]",3901233,0,,,,,1.6130873,,Left Foot,,,,"[26.6, 56.2]",,High Pass,,44.94018,,,,,Serge Aurier,3481.0,,True,,,,1,From Throw In,Thiago Motta,4325.0,Center Defensive Midfield,3,Paris Saint-Germain,131,['effd6f2b-903d-43d2-ab83-821b6643fbb1'],14,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:14.502,Pass,
,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,85865836-50a2-45e3-a24e-0fd6bd2c29f7,19,,"[31.9, 61.8]",3901233,0,,,,,0.8637358,,Left Foot,,,,"[45.4, 77.6]",,Ground Pass,,20.781963,,,,,Ángel Fabián Di María Hernández,2995.0,,,,,,1,From Throw In,Serge Aurier,3481.0,Right Back,3,Paris Saint-Germain,131,['5b37aee0-c174-42ca-894e-6696d1c91d3c'],18,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:18.742,Pass,
,,,,,,,,,,,,,,,,1.108895,,,,,,,,,,,,1435254d-3dd6-44ed-a742-3f68959d7fc5,22,,"[44.3, 76.1]",3901233,0,,,,,-1.5441359,,Left Foot,,,,"[44.7, 61.1]",,Ground Pass,,15.005332,,,,,Benjamin Stambouli,8515.0,,,,,,1,From Throw In,Ángel Fabián Di María Hernández,2995.0,Right Wing,3,Paris Saint-Germain,131,['bdeb8bb9-8be3-44bb-b389-8c69a142bf86'],21,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:21.542,Pass,
,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,54ee431d-3bf8-41a1-82bd-781ef4f0e7d5,24,,"[44.7, 61.1]",3901233,0,,,,,2.6600897,,Left Foot,,,,"[33.6, 66.9]",,Ground Pass,,12.523977,,,,,Serge Aurier,3481.0,,,,,,1,From Throw In,Benjamin Stambouli,8515.0,Right Center Midfield,3,Paris Saint-Germain,131,['ca44fd17-43c0-4d8a-afef-f946bfc0a6a8'],22,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:22.651,Pass,
,,,,,,,,,,,,,,,,1.199999,,,,,,,,,,,,641a9f41-252e-4c1d-8ebf-8d6c17ecc251,27,,"[33.0, 64.8]",3901233,0,,,,,-2.310958,,Right Foot,,,,"[21.4, 52.1]",,Ground Pass,,17.20029,,,,,Marcos Aoás Corrêa,4372.0,,,,,,1,From Throw In,Serge Aurier,3481.0,Right Back,3,Paris Saint-Germain,131,['e698c761-6609-4ad2-b686-6c05f6778cf6'],24,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:24.251,Pass,
,,,,,,,,,,,,,,,,1.030263,,,,,,,,,,,,2d49bcd6-bfe9-4b7b-9e81-ec4f1dfb6d4b,30,,"[23.8, 45.5]",3901233,0,,,,,0.24726176,,Right Foot,,,,"[34.1, 48.1]",,Ground Pass,,10.623088,,,,,Thiago Motta,4325.0,,,,,,1,From Throw In,Marcos Aoás Corrêa,4372.0,Right Center Back,3,Paris Saint-Germain,131,['97b6c64a-eaef-44d9-832f-8c97170d62d6'],27,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:27.771,Pass,
,,,,,,,,,,,,,,,,1.279998,,,,,,,,,,,,f19e35b5-4976-45e9-a987-4203f82174ff,34,,"[33.2, 50.0]",3901233,0,,,,,0.114363655,,Left Foot,,,,"[48.0, 51.7]",,Ground Pass,,14.897315,,,,,Benjamin Stambouli,8515.0,,,,,,1,From Throw In,Thiago Motta,4325.0,Center Defensive Midfield,3,Paris Saint-Germain,131,"['36e895ae-c604-4173-a11e-284d85c9e0e1', '93c4ffcc-592d-4e33-8b8a-e435dc9fec1a']",29,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:29.802,Pass,True
,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,71e4285a-a3c1-4075-87d4-c7df6a015118,37,,"[40.5, 53.2]",3901233,0,,,,,-2.8151252,,Left Foot,,,,"[27.8, 48.9]",,Ground Pass,,13.408206,,,,,Marcos Aoás Corrêa,4372.0,,,,,,1,From Throw In,Benjamin Stambouli,8515.0,Right Center Midfield,3,Paris Saint-Germain,131,['73b7edd8-62bb-42c1-b04c-9a6ecbb2bfdb'],32,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:32.042,Pass,
,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,bcebaf6b-bf05-4731-a0e9-88a30eaf50ad,39,,"[27.8, 48.9]",3901233,0,,,,,0.90675014,,Right Foot,,,,"[33.2, 55.8]",,Ground Pass,,8.761849,,,,,Benjamin Stambouli,8515.0,,,,,,1,From Throw In,Marcos Aoás Corrêa,4372.0,Right Center Back,3,Paris Saint-Germain,131,['9c84f593-77e0-4a62-b832-46f961fe44be'],33,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:33.642,Pass,
,,,,,,,,,,,,,,,,1.411192,,,,,,,,,,,,e405a528-5741-478f-b2e4-6a2592108643,42,,"[45.2, 52.4]",3901233,0,,,,,-0.09256175,,Right Foot,,,,"[68.9, 50.2]",,Ground Pass,,23.801891,,,,,Thiago Motta,4325.0,,,,,,1,From Throw In,Benjamin Stambouli,8515.0,Right Center Midfield,3,Paris Saint-Germain,131,['a456ead7-67de-452d-b0fb-be5e4b7cc81c'],37,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:37.367,Pass,
,,,,,,,,,,,,,,,,2.28,,,,,,,,,,,,1e1504d8-7c13-4cb6-88be-20f0adad64d7,46,,"[75.3, 42.3]",3901233,0,,,,,-1.2368015,,Left Foot,,,,"[88.0, 5.7]",,Ground Pass,,38.740807,,,,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,,1,From Throw In,Thiago Motta,4325.0,Center Defensive Midfield,3,Paris Saint-Germain,131,['57a419b9-bfec-4dda-bc09-ca8be42d56f0'],41,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:41.498,Pass,
,,,,,,,,,,,,,,,,1.518265,,,,,,,,,,,,66fa6f4c-7e80-498f-b739-f51aa309ee0b,48,,"[88.0, 5.7]",3901233,0,,,,,1.060308,,Left Foot,,,,"[100.6, 28.2]",,Low Pass,,25.787788,,,Incomplete,,Edinson Roberto Cavani Gómez,4319.0,,,,,,1,From Throw In,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,3,Paris Saint-Germain,131,"['20c39d57-3179-4568-9ecf-596ab80ccfaf', 'c0807c53-50e4-4f53-b507-199fe08948f9']",43,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:43.778,Pass,
,,,,,,,,,,,,,,,,0.902868,,,,,,,,,,,,de138568-0c71-46b2-9278-05b1aa952cf9,52,,"[21.0, 49.8]",3901233,0,,,,,-0.95702624,,Right Foot,,,,"[27.2, 41.0]",,Ground Pass,,10.764757,,,,,Gélson da Conceição Tavares Fernandes,8672.0,,,,,,1,Regular Play,Edson André Sitoe,3250.0,Right Center Back,4,Rennes,134,['21ee0882-c0b4-4f61-8253-cb2038b8f8a6'],46,,,,,,,,,,,,,,,,Rennes,134,00:00:46.286,Pass,
,,,,,,,,,,,,,,,,0.666594,,,,,,,,,,,,c0eaf443-2b13-490f-8fc1-07746e7d8d04,57,,"[27.0, 41.0]",3901233,0,,,,,2.9584818,,Right Foot,,,,"[18.9, 42.5]",,Ground Pass,,8.237719,,,,,Joris Gnagnon,18921.0,,,,,,1,Regular Play,Gélson da Conceição Tavares Fernandes,8672.0,Left Defensive Midfield,4,Rennes,134,"['20c3890e-fde6-4e71-88a6-be6aacf5e1a2', '9d1d1c23-fb82-4740-a990-843f6794501a', 'c5d79a15-68a7-4d95-acb5-fa19b0ce5aef']",49,,,,,,,,,,,,,,,,Rennes,134,00:00:49.401,Pass,True
,,,,,,,,,,,,,,,,1.722262,,,,,,,,,,,,eedc2492-1fdd-4497-95c4-e16d3eb2c5ce,61,,"[15.9, 39.7]",3901233,0,,,,,-0.49295518,,Left Foot,,,,"[40.1, 26.7]",,High Pass,,27.47071,,,,,Pedro Henrique Konzen Medina da Silva,16503.0,,,,,,1,Regular Play,Joris Gnagnon,18921.0,Center Back,4,Rennes,134,"['1dbfc589-4c47-4b91-9b44-03589ce9af3f', 'a09b87f0-21c8-4d2b-8ecc-290cb3a4333f']",51,,,,,,,,,,,,,,,,Rennes,134,00:00:51.247,Pass,True
,,,,,,,,,,,,,,,,1.35512,,,,,,,,,,,,339be343-e8cc-4e3c-9d25-5f5ac08e1fca,63,,"[40.1, 26.7]",3901233,0,,,,,-1.9138203,,Head,,,,"[35.6, 14.1]",,High Pass,,13.379462,,,,,Ludovic Baal,2985.0,,,,,,1,Regular Play,Pedro Henrique Konzen Medina da Silva,16503.0,Left Wing,4,Rennes,134,['1810723e-8f28-432c-9726-9187115226be'],52,,,,,,,,,,,,,,,,Rennes,134,00:00:52.970,Pass,
,,,,,,,,,,,,,,,,1.423156,,,,,,,,,,,,22c1f659-8666-4316-bba4-b377bebdc4ad,66,,"[38.6, 13.4]",3901233,0,,,,,0.25405753,,Left Foot,,,,"[56.7, 18.1]",,Low Pass,,18.700268,,,,,Giovanni-Guy Yann Sio,3018.0,,,,,,1,Regular Play,Ludovic Baal,2985.0,Left Wing Back,4,Rennes,134,['3259f725-a044-423a-90c1-2b42a9990ec1'],55,,,,,,,,,,,,,,,,Rennes,134,00:00:55.134,Pass,
