50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,eda2efd6-19d3-4f7b-8496-2356b700d2f3,1,,,3829423,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3374, 'name': 'Andrea Raggi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 4326, 'name': 'Layvin Kurzawa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3406, 'name': 'Jérémy Toulalan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 3168, 'name': 'João Filipe Iria Santos Moutinho'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5727, 'name': 'Nabil Dirar'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 18243, 'name': 'Ivan Ricardo Neves Abreu Cavaleiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 3246, 'name': 'Guido Marcelo Carrillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",AS Monaco,129,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5846a19f-193f-4cb0-a729-80930dc199f7,2,,,3829423,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 40484, 'name': 'Vincent Enyeama'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6716, 'name': 'Sébastien Corchia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 29057, 'name': 'Renato Civelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5476, 'name': 'Benjamin Pavard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 3446, 'name': 'Djibril Sidibé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 40522, 'name': 'Rio Antonio Zoba Mavuba'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 3211, 'name': 'Florent Balmont'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 40697, 'name': 'Mounir Obbadi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 40486, 'name': 'Éric Bauthéac'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3625, 'name': 'Sofiane Boufal'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3357, 'name': 'Baptiste Guillaume'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Lille,143,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fc66b4c9-ebc4-4cf9-9fb0-d276f447ca57,3,,,3829423,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,['3b10cef1-d0bf-4dd6-8527-85ccb962ffda'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3b10cef1-d0bf-4dd6-8527-85ccb962ffda,4,,,3829423,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,['fc66b4c9-ebc4-4cf9-9fb0-d276f447ca57'],0,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e8a39230-0d68-4bba-89cd-089fd7eb80a2,1715,,,3829423,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,101,AS Monaco,129,['dbcb7a64-a974-4241-a5d7-5f4dde2b9d50'],0,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dbcb7a64-a974-4241-a5d7-5f4dde2b9d50,1716,,,3829423,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,101,AS Monaco,129,['e8a39230-0d68-4bba-89cd-089fd7eb80a2'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.57085,,,,,,,,,,,,3ad97851-565c-4799-a887-737fb58ba429,5,,"[60.0, 40.0]",3829423,0,,True,,,-3.0656521,,Right Foot,,,"[50.8, 39.3]",Ground Pass,,9.226592,,,,Rio Antonio Zoba Mavuba,40522.0,,,,,,Kick Off,1,From Kick Off,Baptiste Guillaume,3357.0,Center Forward,2,Lille,143,['3fa876b5-0253-476f-84b3-f71abf93e40a'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.294,Pass,
,,,,,,,,,,,,,,,,,3.560524,,,,,,,,,,,,8f3bf642-0371-4cfa-bbd3-3d354b326f10,7,,"[50.1, 39.5]",3829423,0,,True,,,-0.8035309,,Right Foot,,,"[88.0, 0.2]",High Pass,,54.59762,,Out,,,,,,,,,,1,From Kick Off,Rio Antonio Zoba Mavuba,40522.0,Center Defensive Midfield,2,Lille,143,,1,,,,,,,,,,,,,,,,,Lille,143,00:00:01.963,Pass,
,,,,,,,,,,,,,,,,,4.090003,,,,,,,,,,,,ddf912e5-3168-458b-ba1c-e7ec0674ac7a,8,,"[39.0, 80.0]",3829423,0,,,,,-2.4560504,,,,,"[9.9, 56.2]",Low Pass,,37.593216,,,,Danijel Subašić,3444.0,,,,,,Throw-in,1,From Throw In,Fábio Henrique Tavares,3247.0,Right Back,3,AS Monaco,129,['9f01f0aa-bd26-4981-ba45-d3277a23a979'],16,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:16.818,Pass,
,,,,,,,,,,,,,,,,,1.326041,,,,,,,,,,,,035f4b82-35fe-4952-80a2-c167ee9ecf05,11,,"[12.3, 51.2]",3829423,0,,,,,-1.0378156,,Right Foot,,,"[20.5, 37.3]",Ground Pass,,16.138464,,,,Ricardo Alberto Silveira de Carvalho,10805.0,,,,,,,1,From Throw In,Danijel Subašić,3444.0,Goalkeeper,3,AS Monaco,129,['84eed39d-57cd-43f3-9a97-37d61d0d352f'],24,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:24.203,Pass,
,,,,,,,,,,,,,,,,,1.559351,,,,,,,,,,,,c200153a-4d7e-40fc-af9b-95c529fa81d6,13,,"[20.5, 37.3]",3829423,0,,,,,0.9318823,,Right Foot,,,"[33.5, 54.8]",Ground Pass,,21.80023,,,,Jérémy Toulalan,3406.0,,,,,,,1,From Throw In,Ricardo Alberto Silveira de Carvalho,10805.0,Left Center Back,3,AS Monaco,129,['2f51fb24-9165-4499-b164-1cb157f85091'],25,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:25.529,Pass,
