50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ba31a1ca-4810-4b0a-98c0-5db6211d0879,1,,,3901157,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stade de Reims,156,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 7641, 'name': 'Johann Carrasso'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 131849, 'name': 'Antoine Conte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 23}, {'player': {'id': 23329, 'name': 'Abdelhamid El Kaoutari'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 27}, {'player': {'id': 7363, 'name': 'Diego Rigonato Rodrigues'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 7815, 'name': 'Antoine Devaux'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 46801, 'name': 'Jaba Kankava'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 26775, 'name': 'Thievy Guivane Bifouma Koulossa'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 4383, 'name': 'Nicolas de Roussel de Préville'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 12}, {'player': {'id': 7635, 'name': 'Gaëtan Charbonnier'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Stade de Reims,156,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ba87e53a-9f67-46a1-ad99-b48df9f74ddd,2,,,3901157,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stade de Reims,156,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7193, 'name': 'Paul Bernardoni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 30338, 'name': 'André Biyogo Poko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 2946, 'name': 'Frédéric Guilbert'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 8385, 'name': 'Ludovic Lamine Sané'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 4628, 'name': 'Diego Armando Valentin Contento'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3779, 'name': 'Cédric Yambéré'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 7552, 'name': 'Clément Chantôme'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 3356, 'name': 'Valentín Vada'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 10448, 'name': 'Adam Ounas'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 6739, 'name': 'Diego Alejandro Rolan Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3184, 'name': 'Enzo Crivelli'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Bordeaux,146,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0c1fb73f-299e-4872-a191-d209b2892080,3,,,3901157,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stade de Reims,156,['ea0f5209-1d56-41fa-adbe-d48ea03c0d63'],0,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ea0f5209-1d56-41fa-adbe-d48ea03c0d63,4,,,3901157,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stade de Reims,156,['0c1fb73f-299e-4872-a191-d209b2892080'],0,,,,,,,,,,,,,,,,,Bordeaux,146,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4695fba0-19a8-470b-b394-025fef1ec3e3,1616,,,3901157,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Bordeaux,146,['fe9d878a-6e60-465d-b5c7-b1900941a8ed'],0,,,,,,,,,,,,,,,,,Bordeaux,146,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fe9d878a-6e60-465d-b5c7-b1900941a8ed,1617,,,3901157,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Bordeaux,146,['4695fba0-19a8-470b-b394-025fef1ec3e3'],0,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.412025,,,,,,,,,,,,cf6fdf10-2786-40bf-ac92-c90de86d7cc0,5,,"[60.0, 40.0]",3901157,0,,True,,,2.1471715,,Right Foot,,,"[58.7, 42.0]",,Ground Pass,,2.3853722,,Thievy Guivane Bifouma Koulossa,26775.0,,,,,Kick Off,1,From Kick Off,Nicolas de Roussel de Préville,4383.0,Left Wing,2,Stade de Reims,156,['9cc6456a-7b6e-4cc3-9677-f5df510ece83'],1,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:01.130,Pass,
,,,,,,,,,,,,,,1.609233,,,,,,,,,,,,a4b71671-35ab-4418-9ce4-a75bbca9b7b5,7,,"[56.7, 39.5]",3901157,0,,,,,2.3092976,,Right Foot,,,"[43.5, 54.0]",,Ground Pass,,19.608418,,Antoine Conte,131849.0,,,,,,1,From Kick Off,Thievy Guivane Bifouma Koulossa,26775.0,Right Wing,2,Stade de Reims,156,['e33ca508-06a7-4559-9aaf-bbdca23129a9'],2,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:02.306,Pass,
,,,,,,,,,,,,,,2.084618,,,,,,,,,,,,d17d3228-2dea-4c41-b27f-15a348ff9bd8,10,,"[44.1, 54.8]",3901157,0,,,,,0.049620636,,Right Foot,,,"[88.4, 57.0]",,High Pass,,44.354595,Incomplete,Gaëtan Charbonnier,7635.0,,,,,,1,From Kick Off,Antoine Conte,131849.0,Right Center Back,2,Stade de Reims,156,"['20631bb9-7b16-4452-912a-2e53d99fdbc5', '788e0006-085a-43f7-906c-94ac14891098']",5,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:05.205,Pass,
,,,,,,,,,,,,,,1.466312,,,,,,,,,,,,20631bb9-7b16-4452-912a-2e53d99fdbc5,12,,"[31.7, 23.1]",3901157,0,,,,,-0.42729998,,Head,,,"[54.1, 12.9]",,High Pass,,24.613005,Incomplete,Diego Alejandro Rolan Silva,6739.0,,,,,Recovery,1,From Kick Off,Ludovic Lamine Sané,8385.0,Left Center Back,2,Stade de Reims,156,"['70e1da81-4392-4e91-bca1-db3f6f524d59', '7d54adb5-094a-41e8-9d2a-0b4a2279ea7c', 'd17d3228-2dea-4c41-b27f-15a348ff9bd8']",7,,,,,,,,,,,,,,,,,Bordeaux,146,00:00:07.290,Pass,
