50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1a977caf-d881-4f7c-acd2-dc11450e75bf,1,,,3900620,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Caen,140,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 2963, 'name': 'Rémy Vercoutre'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 22111, 'name': 'Dennis Appiah'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 7344, 'name': 'Jordan Adéoti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 4386, 'name': 'Damien Da Silva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 4474, 'name': 'Emmanuel Imorou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 3797, 'name': 'Ismaël Tiémoko Diomandé'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 2955, 'name': 'Ronny Rodelin'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 23}, {'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 4255, 'name': 'Jean-Victor Makengo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 106683, 'name': 'Saïdi Ntibazonkiza'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 3038, 'name': 'Andy Delort'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Caen,140,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bd6a883b-a614-4d07-82fe-112b661ca400,2,,,3900620,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Caen,140,,0,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 3980, 'name': 'Johny Placide'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 7498, 'name': 'Mickaël Tacalfred'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 23}, {'player': {'id': 23329, 'name': 'Abdelhamid El Kaoutari'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 27}, {'player': {'id': 40521, 'name': 'Franck Signorino'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 7815, 'name': 'Antoine Devaux'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 46801, 'name': 'Jaba Kankava'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 26775, 'name': 'Thievy Guivane Bifouma Koulossa'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 4383, 'name': 'Nicolas de Roussel de Préville'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 12}, {'player': {'id': 7635, 'name': 'Gaëtan Charbonnier'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Stade de Reims,156,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,edb8650d-c47a-4be3-bcf4-468c55a16166,3,,,3900620,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Caen,140,['84878824-4a23-4e61-953a-c0a28e5db769'],0,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,84878824-4a23-4e61-953a-c0a28e5db769,4,,,3900620,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Caen,140,['edb8650d-c47a-4be3-bcf4-468c55a16166'],0,,,,,,,,,,,,,,,,,Caen,140,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,71a9b13f-f4b1-42b2-a21b-fdea7bebc2c5,1753,,,3900620,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,,113,Stade de Reims,156,['66e810c3-773f-4c7c-a16e-fed44d845cd0'],0,,,,,,,,,,,,,,,,,Caen,140,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,66e810c3-773f-4c7c-a16e-fed44d845cd0,1754,,,3900620,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,,113,Stade de Reims,156,['71a9b13f-f4b1-42b2-a21b-fdea7bebc2c5'],0,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.465603,,,,,,,,,,,,cac78159-e503-4d1f-8b8e-5203a9f4037d,5,,"[61.0, 40.1]",3900620,0,True,,,1.4711276,,Right Foot,,,,"[61.1, 41.1]",,Ground Pass,,1.0049876,,,,,Thievy Guivane Bifouma Koulossa,26775.0,,,,,Kick Off,1,From Kick Off,Gaëtan Charbonnier,7635.0,,Center Forward,2,Stade de Reims,156,['33fe2768-36e6-4320-bd18-2f166e66301c'],0,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:00.899,Pass,
,,,,,,,,,,,,,,,1.606734,,,,,,,,,,,,e301a682-9bf6-4cba-816e-447756974e82,7,,"[59.1, 40.8]",3900620,0,,,,2.905684,,Right Foot,,,,"[38.3, 45.8]",,Ground Pass,,21.392523,,,,,Aïssa Mandi,6648.0,,,,,,1,From Kick Off,Thievy Guivane Bifouma Koulossa,26775.0,,Right Attacking Midfield,2,Stade de Reims,156,['a62d3806-7e1e-4ec5-9c64-e82f2e09f917'],2,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:02.267,Pass,
,,,,,,,,,,,,,,,3.478869,,,,,,,,,,,,90ed0b04-c86a-4c21-86b5-9293713005d0,10,,"[40.3, 47.2]",3900620,0,,,,0.29761294,,Right Foot,,,,"[87.9, 61.8]",,High Pass,,49.788754,,,,,Thievy Guivane Bifouma Koulossa,26775.0,,,,,,1,From Kick Off,Aïssa Mandi,6648.0,,Center Back,2,Stade de Reims,156,['e26eb5d0-d9e0-48ca-8d31-3f30eee1aa16'],5,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:05.236,Pass,
,,,,,,,,,,,,,,,0.638328,,,,,,,,,,,,8860437a-ea58-4196-a91a-6d326e3ef703,12,,"[87.9, 61.8]",3900620,0,,,,-0.028161567,,Head,,,,"[95.0, 61.6]",,High Pass,,7.102816,,,Incomplete,,Gaëtan Charbonnier,7635.0,,,,,,1,From Kick Off,Thievy Guivane Bifouma Koulossa,26775.0,,Right Attacking Midfield,2,Stade de Reims,156,"['2c0fa59d-a6fe-4cca-ad82-ea509a79997f', '76e8d7b7-57b6-4d57-b8ce-e2c78acb8ed7']",8,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:08.774,Pass,
