50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d8ca874d-f13d-485b-b30b-768dd1a3ca4d,1,,,,3901198,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 36553, 'name': 'Matthieu Dreyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4413, 'name': 'Aloïs Confais'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 33}, {'player': {'id': 401472, 'name': 'Carlos Eduardo de Castro Lourenço'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 11}, {'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 148132, 'name': 'Quentin Othon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 3002, 'name': 'Benjamin Nivet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 7415, 'name': 'Jessy Pi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 401470, 'name': 'Fabien Camus'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 3161, 'name': 'Chaouki Ben Saada'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 18}, {'player': {'id': 3010, 'name': 'Corentin Jean'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 27014, 'name': 'Deniz Hümmet'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 26}]}",Troyes,133,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,25e6be69-b018-45d2-ab1b-70614b4e2d98,2,,,,3901198,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3432, 'name': 'Alexandre Letellier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 44955, 'name': 'Aïssa Bilal Laïdouni'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 33}, {'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 4906, 'name': 'Arnold Bouka Moutou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 3071, 'name': 'Pierrick Capelle'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 7337, 'name': 'Mohamed Lamine Yattara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 4441, 'name': 'Billy Ketkeophomphone'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Angers,145,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,30297f0d-7d71-4a6f-8ab2-6cf3278d03b2,3,,,,3901198,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,['f3af049a-2b33-4757-a280-7a8777b0bfb6'],0,,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f3af049a-2b33-4757-a280-7a8777b0bfb6,4,,,,3901198,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,['30297f0d-7d71-4a6f-8ab2-6cf3278d03b2'],0,,,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0f504ff8-5c52-47be-b6a8-b995ebf8c279,1921,,,,3901198,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,115,Angers,145,['3dccf5e8-7a69-4795-a07e-a0c95a866b1c'],0,,,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3dccf5e8-7a69-4795-a07e-a0c95a866b1c,1922,,,,3901198,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,115,Angers,145,['0f504ff8-5c52-47be-b6a8-b995ebf8c279'],0,,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.277778,,,,,,,,,,,,,ee9e3825-827c-492d-a75d-008c2eb8463d,5,,,"[60.0, 40.0]",3901198,0,,,,,-1.7307094,,Left Foot,,"[59.5, 36.9]",Ground Pass,,3.1400638,,,,Deniz Hümmet,27014.0,,,,,Kick Off,1,From Kick Off,Chaouki Ben Saada,3161.0,Center Attacking Midfield,2,Troyes,133,['cb42f854-bb1e-4f0c-90c5-2d3c8c9b6169'],0,,,,,,,,,,,,,,,,,,Troyes,133,00:00:00.413,Pass,
,,,,,,,,,,,,,,,,,0.719988,,,,,,,,,,,,,2cd62923-dfa6-444c-abca-73b992038040,8,,,"[58.5, 37.4]",3901198,0,,,,,3.1096036,,Right Foot,,"[46.0, 37.8]",Ground Pass,,12.506398,,,,Benjamin Nivet,3002.0,,,,,,1,From Kick Off,Deniz Hümmet,27014.0,Center Forward,2,Troyes,133,['f092be55-1403-42aa-934d-e215200c1e70'],1,,,,,,,,,,,,,,,,,,Troyes,133,00:00:01.500,Pass,
,,,,,,,,,,,,,,,,,1.879982,,,,,,,,,,,,,f0e80e60-0aa6-4713-8abb-5cacffbe35d5,12,,,"[46.0, 39.3]",3901198,0,,,,,1.8989162,,Right Foot,,"[36.4, 67.5]",Ground Pass,,29.789259,,,,Aloïs Confais,4413.0,,,,,,1,From Kick Off,Benjamin Nivet,3002.0,Right Defensive Midfield,2,Troyes,133,['f55a89c3-d39a-4cdd-b7ea-646a1dcf87b3'],3,,,,,,,,,,,,,,,,,,Troyes,133,00:00:03.060,Pass,
,,,,,,,,,,,,,,,,,0.175515,,,,,,,,,,,,,c257c8b4-77ed-470e-a954-f31b811be8f6,15,,,"[36.4, 67.5]",3901198,0,,,,,0.61629695,,Right Foot,,"[38.8, 69.2]",Ground Pass,,2.9410882,,Incomplete,,Fabien Camus,401470.0,,,,,,1,From Kick Off,Aloïs Confais,4413.0,Right Back,2,Troyes,133,"['56c45eee-7ee8-4daf-9e15-19b2ae5e1ff5', 'e74291f3-e63b-4129-a610-63407a25b473']",5,,,,,,,,,,,,,,,,,,Troyes,133,00:00:05.420,Pass,
