50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8a42a4c9-a5a5-4834-9512-c947e119da1e,1,,,3900507,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3543, 'name': 'Steve Mandanda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 3075, 'name': 'Javier Manquillo Gaitán'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 13634, 'name': 'Stéphane Sparagna'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 8572, 'name': 'Karim Rekik'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3261, 'name': 'Benjamin Mendy'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 25199, 'name': 'Lucas Silva Borges'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 10036, 'name': 'Jacques-Alaixys Romao'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 4345, 'name': 'Lucas Ariel Ocampos'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 23933, 'name': 'Abdelaziz Barrada'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 3639, 'name': 'Georges-Kévin Nkoudou Mbida'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 3457, 'name': 'Michy Batshuayi Tunga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Marseille,147,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,27831641-1561-4038-9aa2-d5337a3ba292,2,,,3900507,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 5653, 'name': 'Mouez Hassen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4270, 'name': 'Jérémy Pied'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 4443, 'name': 'Paul Baysse'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3229, 'name': 'Maxime Le Marchand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 6352, 'name': 'Ricardo Domingos Barbosa Pereira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 4506, 'name': 'Nampalys Mendy'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 4264, 'name': 'Vincent Koziello'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 3359, 'name': 'Jean Michaël Seri'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 134561, 'name': 'Wallyson Teixeira Mallmann'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 16462, 'name': 'Hatem Ben Arfa'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 3210, 'name': 'Valère Germain'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 28}]}",OGC Nice,136,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,86699917-d103-4020-8989-4a8fc9b61c29,3,,,3900507,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,['5da9eeb1-02ac-4702-8970-4233407e5a0f'],0,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5da9eeb1-02ac-4702-8970-4233407e5a0f,4,,,3900507,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,['86699917-d103-4020-8989-4a8fc9b61c29'],0,,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,862d9618-a85c-4320-9b49-ba84930bb9e3,2086,,,3900507,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,104,OGC Nice,136,['309c410f-8f5e-4a95-b7d0-7982aab9945e'],0,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,309c410f-8f5e-4a95-b7d0-7982aab9945e,2087,,,3900507,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,104,OGC Nice,136,['862d9618-a85c-4320-9b49-ba84930bb9e3'],0,,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.522132,,,,,,,,,,,,,,d4c858ac-795c-4bca-a5bd-2a16ea1c89ea,5,,"[60.0, 40.0]",3900507,0,,,,1.4288993,,Right Foot,,,,"[60.1, 40.7]",,Ground Pass,,0.70710677,,,,Michy Batshuayi Tunga,3457.0,,,,,,Kick Off,1,From Kick Off,Abdelaziz Barrada,23933.0,Center Attacking Midfield,2,Marseille,147,['2d083f08-391b-4fc0-9be9-8572260359fe'],0,,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.398,Pass,
,,,,,,,,,,,,,,,,,1.173909,,,,,,,,,,,,,,2f136131-ac4c-4b0e-8dc0-c3ff809533c1,7,,"[60.1, 41.3]",3900507,0,,,,-2.830368,,Right Foot,,,,"[45.8, 36.7]",,Ground Pass,,15.021651,,,,Jacques-Alaixys Romao,10036.0,,,,,,,1,From Kick Off,Michy Batshuayi Tunga,3457.0,Center Forward,2,Marseille,147,['9bbefcdf-f7e5-4d4e-9223-e446568b7263'],0,,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.920,Pass,
,,,,,,,,,,,,,,,,,1.321439,,,,,,,,,,,,,,4e788bfb-c73c-4a7e-8be6-89e67ff1eba3,10,,"[47.0, 34.1]",3900507,0,,,,-1.4629363,,Right Foot,,,,"[50.4, 2.7]",,Ground Pass,,31.58354,,,,Benjamin Mendy,3261.0,,,,,,,1,From Kick Off,Jacques-Alaixys Romao,10036.0,Left Defensive Midfield,2,Marseille,147,['20e4bf7a-9286-4606-bf1a-4e9ea92833b2'],3,,,,,,,,,,,,,,,,,,Marseille,147,00:00:03.272,Pass,
,,,,,,,,,,,,,,,,,1.193051,,,,,,,,,,,,,,b374f69b-b9b9-4c95-b0e8-b654bfbd4899,13,,"[51.1, 5.7]",3900507,0,,,,1.8622531,,Left Foot,,,,"[48.1, 15.7]",,Ground Pass,,10.440307,,,,Jacques-Alaixys Romao,10036.0,,,,,,,1,From Kick Off,Benjamin Mendy,3261.0,Left Back,2,Marseille,147,['67a9cd8c-9b08-4ec8-93e5-abeba4051d1d'],5,,,,,,,,,,,,,,,,,,Marseille,147,00:00:05.207,Pass,
