50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.610469,,,,,,,,,,,,,,d820b4bd-d622-4e64-a575-d5013d383ce9,1088,,,"[89.4, 80.0]",3900518,21,,,,-1.1071488,,,,,"[91.8, 75.2]",Low Pass,,5.3665633,,,Thomas Mangani,3185.0,,,,,Throw-in,1,From Throw In,Vincent Manceau,3431.0,Right Back,40,Angers,145,['9df86c2e-20e7-4ffb-944a-8b64abc4a298'],38,,,,,,,,,,,,,,,,,,Angers,145,00:21:38.345,Pass,
,,,,,,,,,,,,,,,,,0.520704,,,,,,,,,,,,,,8b48019c-6992-422a-b9c1-5870acf14a1e,1090,,,"[91.8, 75.2]",3900518,21,,,,1.7211678,,Left Foot,,,"[91.3, 78.5]",Ground Pass,,3.337664,,,Vincent Manceau,3431.0,,,,,,1,From Throw In,Thomas Mangani,3185.0,Left Center Midfield,40,Angers,145,['07fb4ba0-ee65-4edf-88df-5c26107142c6'],38,,,,,,,,,,,,,,,,,,Angers,145,00:21:38.956,Pass,
,,,,,,,,,,,,,,,,,1.977257,,,,,,,,,,,,,,27b3ee28-e8d8-4671-9a5c-73b5d106e2ec,1094,,,"[91.4, 78.0]",3900518,21,,,,-0.7555563,,Right Foot,,,"[98.3, 71.5]",Low Pass,,9.479451,,,Billy Ketkeophomphone,4441.0,,,,,,1,From Throw In,Vincent Manceau,3431.0,Right Back,40,Angers,145,"['2e01d0b9-c6e3-49ca-8504-66d14d94b307', '9f6f6ed1-856e-4a3c-9a5b-a9baf79c96d5']",40,,,,,,,,,,,,,,,,,,Angers,145,00:21:40.113,Pass,True
,,,,,,,,,,,,,,,,,1.473263,,,,,,,,,,,,,,180c6fa3-aa2a-4d99-980f-ab47c9ff1853,1097,,,"[98.3, 71.5]",3900518,21,,,,0.77850175,,Right Foot,,,"[105.6, 78.7]",Ground Pass,,10.253292,,,Vincent Manceau,3431.0,,,,,,1,From Throw In,Billy Ketkeophomphone,4441.0,Center Forward,40,Angers,145,['ce70aa21-90c7-4d18-b0a1-4560f23ad629'],42,,,,,,,,,,,,,,,,,,Angers,145,00:21:42.257,Pass,
,,,,,,,,,,,,,,,,,1.089573,,,,,,,,,,,,,,9a93a325-527c-4e69-af10-ab4875d3b4aa,1099,,,"[105.6, 78.7]",3900518,21,,,,-1.3474561,,Right Foot,True,,"[112.8, 47.0]",Low Pass,,32.507385,Incomplete,,Billy Ketkeophomphone,4441.0,,,,,,1,From Throw In,Vincent Manceau,3431.0,Right Back,40,Angers,145,"['5ad998e2-ce21-459a-bef5-86f42fe20c2c', 'aa13e4bd-b527-4825-87cf-f4590a7cfb7a']",43,,,,,,,,,,,,,,,,,,Angers,145,00:21:43.731,Pass,
,,,,,,,,,,,,,,,,,1.794195,,,,,,,,,,,,,,a68e105b-527d-4b7c-8f7b-2846ae8180e8,1105,,,"[100.5, 61.0]",3900518,21,,,,0.7547329,,Right Foot,,,"[108.9, 68.9]",Ground Pass,,11.531261,,,Vincent Manceau,3431.0,,,,,,1,From Throw In,Gilles Sunu,3111.0,Right Wing,40,Angers,145,"['16858b21-5292-40f9-ac80-30d6fa05578a', 'a7ce1f16-0646-4ac0-8938-ed075714fbfa']",47,,,,,,,,,,,,,,,,,,Angers,145,00:21:47.225,Pass,True
,,,,,,,,,,,,,,,,,1.397824,,,,,,,,,,,,,,c10e843f-7e8f-4f1e-ab72-1c6c0e4f1c2f,1108,,,"[108.9, 68.9]",3900518,21,,,,-1.4772077,,Right Foot,True,,"[111.5, 41.2]",High Pass,,27.821754,Incomplete,,Cheikh N''Doye,5676.0,,,,,,1,From Throw In,Vincent Manceau,3431.0,Right Back,40,Angers,145,"['ae91b4fb-aeeb-4ac9-8baf-dc95fb8a1f70', 'f141b51f-38fe-46ab-a07d-338da18ca404']",49,,,,,,,,,,,,,,,,,,Angers,145,00:21:49.092,Pass,
,,,,,,,,,,,,,,,,,1.682493,,,,,,,,,,,,,,34945af6-0ff3-443e-83b0-675167cd3372,1111,,,"[29.2, 55.7]",3900518,21,,,,-0.54081905,,Right Foot,,,"[66.0, 33.6]",High Pass,,42.926098,,,Andy Delort,3038.0,,,,,Recovery,1,Regular Play,Ronny Rodelin,2955.0,Right Midfield,41,Caen,140,['742f8f3a-39bc-46f4-aff3-054375f682bd'],53,,,,,,,,,,,,,,,,,,Caen,140,00:21:53.720,Pass,
,,,,,,,,,,,,,,,,,1.977356,,,,,,,,,,,,,,e5f5f14f-02ce-4c70-afef-7fab2b568d0e,1115,,,"[62.9, 34.3]",3900518,21,,,,-0.8165807,,Left Foot,,,"[89.3, 6.2]",High Pass,,38.556065,,,Vincent Bessat,2992.0,,,,,,1,Regular Play,Andy Delort,3038.0,Center Forward,41,Caen,140,['0005d250-34f9-40a9-8f05-0e8b76f1e51d'],58,,,,,,,,,,,,,,,,,,Caen,140,00:21:58.234,Pass,
,,,,,,,,,,,,,,,,,0.713702,,,,,,,,,,,,,,f498e4f6-efea-46c3-a3b3-7838d85d7b5a,1118,,,"[113.6, 11.4]",3900518,22,,,,1.8578787,707ab048-b632-4e05-ac1f-57cabcc6709f,Left Foot,True,,"[107.4, 32.4]",Ground Pass,,21.896118,,,Ronny Rodelin,2955.0,True,,,,,1,Regular Play,Vincent Bessat,2992.0,Left Midfield,41,Caen,140,['6df38117-a93b-4ec7-9381-6bf50742c1b5'],4,,,,,,,,,,,,,,,,,,Caen,140,00:22:04.944,Pass,
,,,,,,,,,,,,,,,,,1.386607,,,,,,,,,,,,,,59d24aa6-66ec-4d9e-a0b2-350ea096fb1a,1123,,,"[120.0, 0.1]",3900518,22,,,,1.6808153,,Right Foot,,,"[116.2, 34.5]",High Pass,True,34.60925,Incomplete,,,,,,Inswinging,,Corner,1,From Corner,Julien Féret,2959.0,Left Center Midfield,42,Caen,140,['e6a7a054-07d0-4e44-b041-e6a749a34821'],36,,,,,,,,,,,,,,,,,,Caen,140,00:22:36.106,Pass,
,,,,,,,,,,,,,,,,,1.127535,,,,,,,,,,,,,,fc6f0bbd-4a54-4037-af32-1496685444eb,1127,,,"[75.0, 1.6]",3900518,22,,,,0.9403949,,Right Foot,,,"[83.1, 12.7]",Ground Pass,,13.7411785,,,Nicolas Seube,40698.0,,,,,,1,From Corner,Jonathan Delaplace,2979.0,Right Center Midfield,42,Caen,140,['51233024-6fd4-45d5-ab3e-eab16feb2264'],44,,,,,,,,,,,,,,,,,,Caen,140,00:22:44.019,Pass,
,,,,,,,,,,,,,,,,,1.119282,,,,,,,,,,,,,,bb5f71ae-5166-48ec-9a49-24291ca356da,1131,,,"[83.1, 13.2]",3900518,22,,,,-0.8574382,,Right Foot,,,"[92.1, 2.8]",Ground Pass,,13.753545,,,Julien Féret,2959.0,,,,,,1,From Corner,Nicolas Seube,40698.0,Center Defensive Midfield,42,Caen,140,['e5dadb59-956f-4ddd-93ba-4284896915f2'],46,,,,,,,,,,,,,,,,,,Caen,140,00:22:46.024,Pass,
,,,,,,,,,,,,,,,,,1.171579,,,,,,,,,,,,,,1d97c103-fc47-4f7a-9b55-3ca593fc7618,1134,,,"[96.3, 16.3]",3900518,22,,,,0.30648455,,Right Foot,,,"[112.1, 21.3]",Ground Pass,,16.572266,,,Vincent Bessat,2992.0,,,,,,1,From Corner,Julien Féret,2959.0,Left Center Midfield,42,Caen,140,['026538c5-6187-4b03-99d3-2fc5f35c63a8'],49,,,,,,,,,,,,,,,,,,Caen,140,00:22:49.220,Pass,
,,,,,,,,,,,,,,,,,0.05958,,,,,,,,,,,,,,268958b0-59c5-442a-9865-d009b8550c2c,1137,,,"[112.9, 21.3]",3900518,22,,,,1.7681919,,Left Foot,,,"[112.5, 23.3]",Ground Pass,,2.0396078,Incomplete,,Ronny Rodelin,2955.0,,,,,,1,From Corner,Vincent Bessat,2992.0,Left Midfield,42,Caen,140,"['074515e1-ee81-48ad-a7c1-f4cea26c4820', '5cabf082-9a85-46ce-b218-02c5e4e0fba1']",50,,,,,,,,,,,,,,,,,,Caen,140,00:22:50.981,Pass,
,,,,,,,,,,,,,,,,,1.670045,,,,,,,,,,,,,,3937d811-f193-4dc7-954b-a86466996265,1147,,,"[7.0, 44.1]",3900518,23,,,,-0.21805947,,Right Foot,,,"[76.5, 28.7]",High Pass,,71.185745,Incomplete,,Billy Ketkeophomphone,4441.0,,,,,Goal Kick,1,From Goal Kick,Ludovic Butelle,4547.0,Goalkeeper,43,Angers,145,"['a7938eb0-d994-4461-ac22-08e1fa417fba', 'c41df43f-88db-49d3-bd31-9d87ab680c84']",30,,,,,,,,,,,,,,,,,,Angers,145,00:23:30.581,Pass,
,,,,,,,,,,,,,,,,,2.807645,,,,,,,,,,,,,,c41df43f-88db-49d3-bd31-9d87ab680c84,1149,,,"[43.6, 51.4]",3900518,23,True,,,-0.52868986,,Head,,,"[63.8, 39.6]",High Pass,,23.394016,Incomplete,,,,,,,,Recovery,1,From Goal Kick,Nicolas Seube,40698.0,Center Defensive Midfield,43,Angers,145,"['3937d811-f193-4dc7-954b-a86466996265', 'bd2d0e0e-dfdd-43e7-b106-a54990594cf3']",32,,,,,,,,,,,,,,,,,,Caen,140,00:23:32.251,Pass,
,,,,,,,,,,,,,,,,,1.132573,,,,,,,,,,,,,,23e50b87-ceaa-44d9-a8b5-c0a32f120ab5,1151,,,"[56.0, 46.5]",3900518,23,,,,2.8049178,,Left Foot,,,"[46.0, 50.0]",High Pass,,10.5948105,,,Ismaël Traoré,3045.0,,,,,,1,From Goal Kick,Cheikh N''Doye,5676.0,Right Center Midfield,43,Angers,145,['e3f106ff-b8c1-4599-b05c-d4f56e4349db'],36,,,,,,,,,,,,,,,,,,Angers,145,00:23:36.531,Pass,
,,,,,,,,,,,,,,,,,2.434293,,,,,,,,,,,,,,cbb4a383-db67-42be-aa43-a8ce01c45b6e,1154,,,"[52.9, 55.7]",3900518,23,,,,0.9518036,,Right Foot,,,"[69.0, 78.3]",Ground Pass,,27.748333,,,Vincent Manceau,3431.0,,,,,,1,From Goal Kick,Ismaël Traoré,3045.0,Right Center Back,43,Angers,145,['696c8f55-c8d3-4736-87c0-08526b46ff86'],39,,,,,,,,,,,,,,,,,,Angers,145,00:23:39.563,Pass,
