50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7b3775a5-117e-4547-90fc-2186358da5d7,1,,,3900571,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 3354, 'name': 'Benoît Guy Robert Costil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7197, 'name': 'Steven Moreira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 3022, 'name': 'Fallou Diagne'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 40699, 'name': 'Sylvain Armand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 3424, 'name': ""Cheikh M''Bengue""}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 8672, 'name': 'Gélson da Conceição Tavares Fernandes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 4909, 'name': 'Jeremie Boga'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 5692, 'name': 'Juan Fernando Quintero Paniagua'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 2990, 'name': 'Benjamin André'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 3018, 'name': 'Giovanni-Guy Yann Sio'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Rennes,134,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e3bab5d0-4f96-481a-9e05-0fb7e8e60ea0,2,,,3900571,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 3008, 'name': 'Benjamin Lecomte'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 6335, 'name': 'Lamine Gassama'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 45688, 'name': 'Hamadou Karamoko'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 7211, 'name': 'Zargo Touré'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 3140, 'name': 'François Bellugou'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3102, 'name': 'Yann Jouffre'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 22587, 'name': 'Didier Ndong Ibrahim'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 7766, 'name': 'Walid Mesloub'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 7338, 'name': 'Romain Philippoteaux'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 7615, 'name': 'Abdul Majeed Waris'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Lorient,165,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f71a3b1d-5edc-49b4-b575-f379c2908338,3,,,3900571,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,['9cc231d4-418d-4058-b17b-259c8cde9730'],0,,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9cc231d4-418d-4058-b17b-259c8cde9730,4,,,3900571,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,['f71a3b1d-5edc-49b4-b575-f379c2908338'],0,,,,,,,,,,,,,,,,,Lorient,165,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,84c2f449-6a42-45b4-ab1b-f8f0235e7e59,1923,,,3900571,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,102,Lorient,165,['9fd4ab1f-b188-4044-be8b-27b6686f5b0f'],0,,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9fd4ab1f-b188-4044-be8b-27b6686f5b0f,1924,,,3900571,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,102,Lorient,165,['84c2f449-6a42-45b4-ab1b-f8f0235e7e59'],0,,,,,,,,,,,,,,,,,Lorient,165,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.592255,,,,,,,,,,,,c0cc621d-0119-4e31-8582-3a10eb2ee5d6,5,,"[60.0, 40.0]",3900571,0,,True,,,1.5120405,,Right Foot,,,"[60.2, 43.4]",,Ground Pass,,3.4058774,,,,Benjamin André,2990.0,,,,,Kick Off,1,From Kick Off,Giovanni-Guy Yann Sio,3018.0,Center Forward,2,Rennes,134,['e9c2e509-043d-49d0-afba-07e9e4ddd6e7'],0,,,,,,,,,,,,,,,,,Rennes,134,00:00:00.179,Pass,
,,,,,,,,,,,,,,,,,0.927182,,,,,,,,,,,,65f832d2-4aa7-4ae2-a9b1-4e7139be19f9,7,,"[59.0, 43.4]",3900571,0,,,,,-2.582263,,Right Foot,,,"[46.7, 35.7]",,Ground Pass,,14.511374,,,,Gélson da Conceição Tavares Fernandes,8672.0,,,,,,1,From Kick Off,Benjamin André,2990.0,Left Center Midfield,2,Rennes,134,['f768e50c-e74b-48f9-b4f0-bfe360047346'],1,,,,,,,,,,,,,,,,,Rennes,134,00:00:01.386,Pass,
,,,,,,,,,,,,,,,,,1.505066,,,,,,,,,,,,41f88025-6eb7-4a18-9b8c-fae580f2761d,10,,"[46.7, 35.7]",3900571,0,,,,,-1.8231398,,Right Foot,,,"[39.3, 7.0]",,Ground Pass,,29.638657,,,,Cheikh M''Bengue,3424.0,,,,,,1,From Kick Off,Gélson da Conceição Tavares Fernandes,8672.0,Center Defensive Midfield,2,Rennes,134,['6952e797-a63b-4a09-85ba-aa34eec648ae'],3,,,,,,,,,,,,,,,,,Rennes,134,00:00:03.144,Pass,
,,,,,,,,,,,,,,,,,1.680614,,,,,,,,,,,,9cee32e7-cf98-4bff-9892-73c62f5d3c04,13,,"[39.3, 7.0]",3900571,0,,,,,2.5692382,,Left Foot,,,"[24.4, 16.6]",,Ground Pass,,17.724842,,,,Sylvain Armand,40699.0,,,,,,1,From Kick Off,Cheikh M''Bengue,3424.0,Left Back,2,Rennes,134,['9bd93c9e-2351-47a9-9e64-b1173dc5bb41'],5,,,,,,,,,,,,,,,,,Rennes,134,00:00:05.658,Pass,
