50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ceb456fb-47b8-421d-9279-8af98e59f218,1,,,3900549,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4259, 'name': 'Stéphane Ruffier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 4382, 'name': 'Kévin Malcuit'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 401468, 'name': 'Moustapha Bayal Sall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 4263, 'name': 'Loïc Perrin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 7347, 'name': 'Pierre-Yves Polomat'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 7200, 'name': 'Fabien Lemoine'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3414, 'name': 'Vincent Pajot'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 4260, 'name': 'Romain Hamouma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 3200, 'name': 'Renaud Cohade'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 4431, 'name': 'Kévin Monnet-Paquet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 3179, 'name': 'Nolan Roux'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Saint-Étienne,135,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,bf7eeb36-71f3-4041-9124-9bf55f986f13,2,,,3900549,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 3354, 'name': 'Benoît Guy Robert Costil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4475, 'name': 'Romain Danzé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 3753, 'name': 'Pedro Filipe Teodósio Mendes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40699, 'name': 'Sylvain Armand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 3424, 'name': ""Cheikh M''Bengue""}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 8672, 'name': 'Gélson da Conceição Tavares Fernandes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 16503, 'name': 'Pedro Henrique Konzen Medina da Silva'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 18}, {'player': {'id': 5692, 'name': 'Juan Fernando Quintero Paniagua'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 2990, 'name': 'Benjamin André'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 2985, 'name': 'Ludovic Baal'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 24}, {'player': {'id': 3018, 'name': 'Giovanni-Guy Yann Sio'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Rennes,134,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7cb758ab-30fa-4be8-87ff-3a6ded9e4999,3,,,3900549,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,['d55025da-77cb-4246-9f9a-bd74f8100f6e'],0,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d55025da-77cb-4246-9f9a-bd74f8100f6e,4,,,3900549,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,['7cb758ab-30fa-4be8-87ff-3a6ded9e4999'],0,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,90234dbf-7e5e-4055-9350-4b22a6e11f87,1870,,,3900549,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,94,Rennes,134,['a0d02e70-842a-4610-ab88-5f289b6bb4bc'],0,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a0d02e70-842a-4610-ab88-5f289b6bb4bc,1871,,,3900549,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,94,Rennes,134,['90234dbf-7e5e-4055-9350-4b22a6e11f87'],0,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.718552,,,,,,,,,,,,,,,baa94f3d-51ec-4892-9422-ab35cc1bc1ec,5,,"[61.0, 40.1]",3900549,0,,,,,-1.484058,,Left Foot,,,"[61.2, 37.8]",,Ground Pass,,2.3086793,,,,Benjamin André,2990.0,,,,,Kick Off,1,From Kick Off,Giovanni-Guy Yann Sio,3018.0,Center Forward,2,Rennes,134,['98524a68-3df6-463e-862b-bff9e5b7f815'],0,,,,,,,,,,,,,,,,Rennes,134,00:00:00.393,Pass,
,,,,,,,,,,,,,,,,2.150084,,,,,,,,,,,,,,,95c7edc6-e785-4652-a093-72116a8f1292,8,,"[58.9, 38.2]",3900549,0,,,,,2.7361317,,Right Foot,,,"[37.7, 47.3]",,Ground Pass,,23.070543,,,,Pedro Filipe Teodósio Mendes,3753.0,,,,,,1,From Kick Off,Benjamin André,2990.0,Left Center Midfield,2,Rennes,134,['36e13794-fcf9-4ca5-8b84-3e450e87efa7'],1,,,,,,,,,,,,,,,,Rennes,134,00:00:01.546,Pass,
,,,,,,,,,,,,,,,,0.191899,,,,,,,,,,,,,,,01ec7e0b-c312-441f-8492-4906786efbd8,12,,"[39.0, 47.5]",3900549,0,,,,,-0.43833655,,Right Foot,,,"[42.2, 46.0]",,High Pass,,3.5341194,,Incomplete,,Cheikh M''Bengue,3424.0,,,,,,1,From Kick Off,Pedro Filipe Teodósio Mendes,3753.0,Right Center Back,2,Rennes,134,"['640971d7-b11b-4888-acf4-2ef2a41506bd', '66af62e0-ed6a-4df3-8616-4c1122c0d6d5', 'eaef8749-f52d-4319-8761-4d563c1f72fa']",4,,,,,,,,,,,,,,,,Rennes,134,00:00:04.155,Pass,True
,,,,,,,,,,,,,,,,1.997329,,,,,,,,,,,,,,,d575b648-cedc-42fb-a496-32a177eceeeb,16,,"[45.6, 51.5]",3900549,0,,,,,-0.6122613,,Right Foot,,,"[71.8, 33.1]",,High Pass,,32.01562,,Incomplete,,Giovanni-Guy Yann Sio,3018.0,,,,,Recovery,1,From Kick Off,Pedro Filipe Teodósio Mendes,3753.0,Right Center Back,2,Rennes,134,"['43b969e2-51ca-4ee8-a016-876bef04c9ca', '6cfe78de-17c7-4424-af5d-2346d4810746', 'edc7bfa2-2bf1-4801-8022-61c0c5edddb3']",6,,,,,,,,,,,,,,,,Rennes,134,00:00:06.889,Pass,True
