50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.610301,,,,,,,,,,,,82d324ac-0049-4500-b3bd-c3be3791f191,19,,"[81.4, 62.9]",3901190,0,,,,,-0.12576942,,Right Foot,,,"[90.1, 61.8]",,Low Pass,,8.769264,Unknown,,Andy Delort,3038.0,,,,,,1,From Kick Off,Dennis Appiah,22111.0,Right Back,2,Caen,140,"['42b17841-0edc-4fc9-bd5e-2024d33b44d5', '5532885b-c346-4246-88c8-94812454b7b4']",9,,,,,,,,,,,,,,,,,Caen,140,00:00:09.105,Pass,True
,,,,,,,,,,,,,,,3.28342,,,,,,,,,,,,42bbc84c-bbef-46f1-bda6-b0d5f78665ee,23,,"[33.4, 15.1]",3901190,0,,,,,0.74116147,,Right Foot,,,"[85.3, 62.6]",,High Pass,,70.35524,Incomplete,,Stéphane Darbion,2993.0,,True,,,Free Kick,1,From Free Kick,Matthieu Saunier,13730.0,Left Center Back,3,Troyes,133,"['0d887d92-35fb-467a-ad5a-5c0f6fac1d39', '42fab25d-a1f4-4a5b-aa81-808607cc04c4']",26,,,,,,,,,,,,,,,,,Troyes,133,00:00:26.905,Pass,
,,,,,,,,,,,,,,,2.159308,,,,,,,,,,,,0d887d92-35fb-467a-ad5a-5c0f6fac1d39,25,,"[34.8, 17.5]",3901190,0,,,,,0.5424316,,Head,,,"[42.1, 21.9]",,High Pass,,8.523497,,,Julien Féret,2959.0,,,,,Recovery,1,Regular Play,Alexandre Raineau,13592.0,Left Back,4,Caen,140,"['42bbc84c-bbef-46f1-bda6-b0d5f78665ee', 'fb6dbfbd-cee6-459e-91b2-703f0eb7f7d6']",30,,,,,,,,,,,,,,,,,Caen,140,00:00:30.189,Pass,
,,,,,,,,,,,,,,,1.374277,,,,,,,,,,,,763fc380-e8a7-4fe9-b862-d0c800a993eb,28,,"[42.1, 21.6]",3901190,0,,,,True,-2.1150768,,,,,"[39.8, 17.8]",,Low Pass,,4.4418464,,,Nicolas Seube,40698.0,,,,,,1,Regular Play,Julien Féret,2959.0,Left Center Midfield,4,Caen,140,"['22617f0e-1ff8-4783-bfd0-91e934b80117', '6a4cfa69-0a1a-44a0-85cf-3e84358b3738']",32,,,,,,,,,,,,,,,,,Caen,140,00:00:32.348,Pass,True
,,,,,,,,,,,,,,,1.237051,,,,,,,,,,,,048811ac-9982-4a38-847c-ddd5cbaf6dbf,31,,"[39.4, 20.5]",3901190,0,,,,,-0.93614453,,Right Foot,,,"[46.1, 11.4]",,Ground Pass,,11.300443,,,Hervé Bazile,2991.0,,,,,,1,Regular Play,Nicolas Seube,40698.0,Center Defensive Midfield,4,Caen,140,['2a68a3d0-52fe-4c94-b2c5-1a7857d2c5a2'],33,,,,,,,,,,,,,,,,,Caen,140,00:00:33.722,Pass,
,,,,,,,,,,,,,,,0.838699,,,,,,,,,,,,034b9943-1981-4bb9-ac81-a28ab6e515e4,33,,"[47.6, 12.1]",3901190,0,,,,,3.1415927,,Left Foot,,,"[40.0, 12.1]",,Ground Pass,,7.6,,,Alexandre Raineau,13592.0,,,,,,1,Regular Play,Hervé Bazile,2991.0,Left Midfield,4,Caen,140,['33d0700d-5e9d-4f32-bdf7-c07224ba578b'],34,,,,,,,,,,,,,,,,,Caen,140,00:00:34.959,Pass,
,,,,,,,,,,,,,,,2.611303,,,,,,,,,,,,7fffbe1c-7ffa-452f-8470-726aee89dac9,36,,"[39.4, 10.0]",3901190,0,,,,,-0.18457575,,Left Foot,,,"[78.5, 2.7]",,Ground Pass,,39.77562,,,Andy Delort,3038.0,,,,,,1,Regular Play,Alexandre Raineau,13592.0,Left Back,4,Caen,140,['ed77cb3a-0ea4-474c-8ba6-4bf692ede94a'],36,,,,,,,,,,,,,,,,,Caen,140,00:00:36.613,Pass,
,,,,,,,,,,,,,,,5.300931,,,,,,,,,,,,95960d24-b634-4cad-96ee-34b87f41413d,39,,"[79.0, 4.2]",3901190,0,,,,,0.99698275,,Right Foot,,,"[117.2, 63.3]",,High Pass,,70.370804,Incomplete,,Ronny Rodelin,2955.0,,True,,,,1,Regular Play,Andy Delort,3038.0,Center Forward,4,Caen,140,"['3b6a69bb-32d3-4450-b38c-d7a9882dac43', 'f981bada-afe5-4623-b208-91f4a24f7a53']",41,,,,,,,,,,,,,,,,,Caen,140,00:00:41.768,Pass,
,,,,,,,,,,,,,,,2.551942,,,,,,,,,,,,849aa16c-7e14-40ae-ac7b-36f078de3761,48,,"[117.3, 80.0]",3901190,0,,,,,-2.730612,,,,,"[91.6, 68.8]",,Low Pass,,28.034443,,,Nicolas Seube,40698.0,,,,,Throw-in,1,From Throw In,Ronny Rodelin,2955.0,Right Midfield,5,Caen,140,['52a42601-5efa-4653-b2a3-4b3f10d5d36b'],55,,,,,,,,,,,,,,,,,Caen,140,00:00:55.366,Pass,
,,,,,,,,,,,,,,,0.629212,,,,,,,,,,,,02298518-e2b6-477a-9403-79dea43cf466,51,,"[90.7, 74.5]",3901190,0,,,,,0.07006058,,Right Foot,,,"[96.4, 74.9]",,Ground Pass,,5.714018,,,Dennis Appiah,22111.0,,,,,,1,From Throw In,Nicolas Seube,40698.0,Center Defensive Midfield,5,Caen,140,['9072d2f2-68f5-4627-8926-29fcb5637398'],59,,,,,,,,,,,,,,,,,Caen,140,00:00:59.823,Pass,
