50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c26e2013-123c-4625-beb1-ed9e32cd6c78,1,,,,3900561,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Toulouse,130,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 2981, 'name': 'Alban Lafont'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 3030, 'name': 'Wergiton do Rosário Calmon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 4349, 'name': 'Issa Diop'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8677, 'name': 'Marcel Tisserand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 44065, 'name': 'William Matheus da Silva'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 2961, 'name': 'Yann Bodiger'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 31174, 'name': 'Jean-Daniel Akpa Akpro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 11540, 'name': 'Óscar Guido Trejo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 3032, 'name': 'Zinédine Machach'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 13}, {'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Toulouse,130,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8e9d8f0f-6ba2-499e-a24a-5c49341cbdce,2,,,,3900561,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Toulouse,130,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 40484, 'name': 'Vincent Enyeama'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6716, 'name': 'Sébastien Corchia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 29057, 'name': 'Renato Civelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3677, 'name': 'Bakary Adama Soumaoro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 3446, 'name': 'Djibril Sidibé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 40522, 'name': 'Rio Antonio Zoba Mavuba'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 3211, 'name': 'Florent Balmont'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 40697, 'name': 'Mounir Obbadi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3625, 'name': 'Sofiane Boufal'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 40486, 'name': 'Éric Bauthéac'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3673, 'name': 'Yassine Benzia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Lille,143,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f702eb7d-aaef-4dff-968f-4c47589e68ac,3,,,,3900561,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Toulouse,130,['362fee42-bdc8-4388-ab6d-1e7b74da8933'],0,,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,362fee42-bdc8-4388-ab6d-1e7b74da8933,4,,,,3900561,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Toulouse,130,['f702eb7d-aaef-4dff-968f-4c47589e68ac'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,65180b10-dc17-4218-8efc-8298541b47b9,1894,,,,3900561,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,108,Toulouse,130,['0599bd61-743c-4c81-b7d5-2008d1fdb2ea'],0,,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0599bd61-743c-4c81-b7d5-2008d1fdb2ea,1895,,,,3900561,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,108,Toulouse,130,['65180b10-dc17-4218-8efc-8298541b47b9'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.562576,,,,,,,,,,,,3591c4a8-1db4-4f84-adea-2979e1b2675a,5,,,"[60.0, 40.0]",3900561,0,,,,1.1071488,,Right Foot,,,,"[61.1, 42.2]",,Ground Pass,,2.4596748,,,,Wissam Ben Yedder,6723.0,,,,,Kick Off,1,From Kick Off,Martin Braithwaite Christensen,4447.0,Center Forward,2,Toulouse,130,['6237ca19-7e4b-47d5-b291-7ed8a38e425d'],0,,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.782,Pass,
,,,,,,,,,,,,,,,,,1.148671,,,,,,,,,,,,b0e15f39-0e82-406a-8489-48f182df4414,8,,,"[60.3, 43.6]",3900561,0,,,,-2.509902,,Right Foot,,,,"[52.1, 37.6]",,Ground Pass,,10.160708,,,,Yann Bodiger,2961.0,,,,,,1,From Kick Off,Wissam Ben Yedder,6723.0,Right Midfield,2,Toulouse,130,['282524b7-21b8-49d5-b33a-b94c81a0bd48'],1,,,,,,,,,,,,,,,,,Toulouse,130,00:00:01.386,Pass,
,,,,,,,,,,,,,,,,,2.196615,,,,,,,,,,,,ee1d7b4e-81d0-4f56-bbf2-765aa4a720b5,10,,,"[52.1, 37.6]",3900561,0,,,,2.2790148,,Left Foot,,,,"[34.8, 57.8]",,Ground Pass,,26.595676,,,,Issa Diop,4349.0,,,,,,1,From Kick Off,Yann Bodiger,2961.0,Center Defensive Midfield,2,Toulouse,130,['86021286-fab6-4d89-8d69-7a9030e90664'],2,,,,,,,,,,,,,,,,,Toulouse,130,00:00:02.534,Pass,
,,,,,,,,,,,,,,,,,2.016219,,,,,,,,,,,,a5aaf20c-8d45-4d52-be81-b8eb2242e36b,13,,,"[34.8, 58.0]",3900561,0,,,,-1.5707964,,Right Foot,,,,"[34.8, 19.8]",,Ground Pass,,38.2,,,,Marcel Tisserand,8677.0,,,,,,1,From Kick Off,Issa Diop,4349.0,Right Center Back,2,Toulouse,130,['11b67096-5e8f-4e0e-83da-0aaaed48a3e8'],6,,,,,,,,,,,,,,,,,Toulouse,130,00:00:06.246,Pass,
