ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d702f793-ddbc-402d-899e-3b53ce9f7de7,1,,,,3900546,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gazélec Ajaccio,160,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 45415, 'name': 'Paul Guerin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 7428, 'name': 'Alexandre Coeff'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 7808, 'name': 'Roderic Filippi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 7603, 'name': 'Jérémie Bréchet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4352, 'name': 'Issiaga Sylla'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 2953, 'name': 'Abdou Kader Mangane'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 401509, 'name': 'David Ducourtioux'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 31911, 'name': 'Damjan Đoković'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 7721, 'name': 'John Tshibumbu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 24}, {'player': {'id': 7430, 'name': 'Kévin Mayi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5726, 'name': 'Khalid Boutaïb'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Gazélec Ajaccio,160,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,06e5a5b5-08c1-4cde-8b25-b4a2f0684b9d,2,,,,3900546,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gazélec Ajaccio,160,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 4377, 'name': 'Maxime Dupé'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3144, 'name': 'Léo Dubois'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 3004, 'name': 'Oswaldo Augusto Vizcarrondo Araújo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 10936, 'name': 'Lorik Agim Cana'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 3375, 'name': 'Adrien Thomasson'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 2943, 'name': 'Lucas Deaux'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 12351, 'name': 'Alejandro Bedoya'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 10746, 'name': 'Ermir Lenjani'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 3}, {'player': {'id': 3114, 'name': 'Emiliano Sala'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 6284, 'name': 'Kolbeinn Sigþórsson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Nantes,144,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1f3ec37d-bfdf-4f22-b69e-ed0cb56f2e09,3,,,,3900546,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gazélec Ajaccio,160,['6d466517-3b67-4ac4-9f61-bb6b2e5d9eca'],0,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6d466517-3b67-4ac4-9f61-bb6b2e5d9eca,4,,,,3900546,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gazélec Ajaccio,160,['1f3ec37d-bfdf-4f22-b69e-ed0cb56f2e09'],0,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e9603a27-6687-4e00-b3e3-cd6788a32ca2,1721,,,,3900546,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,106,Nantes,144,['deb9f360-5888-43c1-85f9-b479c2b25a48'],0,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,deb9f360-5888-43c1-85f9-b479c2b25a48,1722,,,,3900546,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,106,Nantes,144,['e9603a27-6687-4e00-b3e3-cd6788a32ca2'],0,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,1.151736,,,,,,,,,,,,,5188a957-c3a9-4f6c-b19f-05bb98771b6f,5,,,"[60.0, 40.0]",3900546,0,,,,,-2.016902,,Right Foot,,,"[58.9, 37.7]",,Ground Pass,,2.5495098,,,,,Alejandro Bedoya,12351.0,,,,,Kick Off,1,From Kick Off,Kolbeinn Sigþórsson,6284.0,Center Forward,2,Nantes,144,['0f8cfc12-d5b8-4bf2-907b-42533dbec104'],0,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.091,Pass,
,,,,,,,,,,,,,,1.38805,,,,,,,,,,,,,64c0ac01-bcc9-444e-8333-85205b27ca21,8,,,"[58.9, 35.5]",3900546,0,,,,,-2.8701594,,Right Foot,,,"[37.7, 29.6]",,Ground Pass,,22.005682,,,,,Lucas Deaux,2943.0,,,,,,1,From Kick Off,Alejandro Bedoya,12351.0,Right Midfield,2,Nantes,144,['5fb35d1d-2376-4094-9b2b-22159682f675'],1,,,,,,,,,,,,,,,,,Nantes,144,00:00:01.323,Pass,
,,,,,,,,,,,,,,0.889699,,,,,,,,,,,,,1c5ef4cd-b0d1-43d9-b4be-1b962dfcc740,11,,,"[37.7, 29.6]",3900546,0,,,,,2.5057542,,Right Foot,,,"[25.1, 38.9]",,Ground Pass,,15.6604595,,,,,Oswaldo Augusto Vizcarrondo Araújo,3004.0,,,,,,1,From Kick Off,Lucas Deaux,2943.0,Left Defensive Midfield,2,Nantes,144,['d6f919c5-0649-4bf5-8d22-6b6aa632fd22'],4,,,,,,,,,,,,,,,,,Nantes,144,00:00:04.007,Pass,
,,,,,,,,,,,,,,2.796177,,,,,,,,,,,,,378778cd-fda2-46ec-99bf-7bc7312fc8d2,14,,,"[27.8, 38.9]",3900546,0,,,,,-0.18204919,,Right Foot,,,"[91.9, 27.1]",,High Pass,,65.17706,,,Incomplete,,Youssouf Sabaly,3404.0,,,,,,1,From Kick Off,Oswaldo Augusto Vizcarrondo Araújo,3004.0,Right Center Back,2,Nantes,144,"['19026468-c39d-4691-8024-faab440b6164', 'a1e216d4-5773-4f65-8741-787bd27f4ae7']",5,,,,,,,,,,,,,,,,,Nantes,144,00:00:05.975,Pass,
