50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.331243,,,,,,,,,,,,,1487f696-f176-493b-8a5a-8e6c345401ce,20,,,"[32.8, 44.7]",3901167,0,,,,-2.1221306,,Right Foot,,,"[22.1, 27.3]",Ground Pass,,20.426699,,,Vincent Le Goff,7199.0,,,,,,,1,Regular Play,Rafidine Abdullah,24646.0,Right Center Midfield,3,Lorient,165,"['67dac3f7-45a5-43d9-9335-a5e48cac37ab', '701be10c-e5a1-4ae9-84d5-e5c381b46040']",11,,,,,,,,,,,,,,,,Lorient,165,00:00:11.318,Pass,True
,,,,,,,,,,,,,,,,,0.793323,,,,,,,,,,,,,cf249b5c-682c-4d77-aee5-2965b07f28ed,23,,,"[23.8, 25.0]",3901167,0,,,,-0.78917176,,Left Foot,,,"[37.0, 11.7]",Ground Pass,,18.738462,,,Jimmy Cabot,7336.0,,,,,,,1,Regular Play,Vincent Le Goff,7199.0,Left Back,3,Lorient,165,['e4f0daab-89b2-4c4e-8c46-eb4cc46adc6f'],13,,,,,,,,,,,,,,,,Lorient,165,00:00:13.813,Pass,
,,,,,,,,,,,,,,,,,2.352948,,,,,,,,,,,,,0f8c84b5-ae86-4910-a3dc-07bdd10f5eb1,26,,,"[37.0, 11.7]",3901167,0,,,,0.10415138,,Right Foot,,,"[65.7, 14.7]",Ground Pass,,28.856369,,,Didier Ndong Ibrahim,22587.0,,,,,,,1,Regular Play,Jimmy Cabot,7336.0,Left Midfield,3,Lorient,165,['47a4511e-c88a-40a3-acea-f211679f5c2f'],14,,,,,,,,,,,,,,,,Lorient,165,00:00:14.956,Pass,
,,,,,,,,,,,,,,,,,0.521184,,,,,,,,,,,,,06c289f2-890a-419d-bf75-71dc61983b96,32,,,"[69.3, 7.2]",3901167,0,,,,2.538505,,Left Foot,,,"[58.7, 14.5]",Ground Pass,,12.870509,,,François Bellugou,3140.0,,,,,,Free Kick,1,From Free Kick,Vincent Le Goff,7199.0,Left Back,4,Lorient,165,['94825807-c88b-4255-9806-11db0361b001'],32,,,,,,,,,,,,,,,,Lorient,165,00:00:32.903,Pass,
,,,,,,,,,,,,,,,,,0.661547,,,,,,,,,,,,,2702d29a-906b-41a7-bc9b-4d7e01ca6093,35,,,"[58.7, 14.5]",3901167,0,,,,1.1401038,,Right Foot,,,"[65.5, 29.3]",Ground Pass,,16.287418,,,Rafidine Abdullah,24646.0,,,,,,,1,From Free Kick,François Bellugou,3140.0,Center Defensive Midfield,4,Lorient,165,['1e598c44-9798-41a6-a229-0d7f7b6f7aad'],34,,,,,,,,,,,,,,,,Lorient,165,00:00:34.785,Pass,
,,,,,,,,,,,,,,,,,1.722108,,,,,,,,,,,,,2395d83e-bbea-4c0e-8684-d4f20ef746fb,39,,,"[64.0, 28.6]",3901167,0,,,,-2.730528,,Right Foot,,,"[44.5, 20.1]",Ground Pass,,21.272047,,,Yroundu Musavu-King,31039.0,,,,,,,1,From Free Kick,Rafidine Abdullah,24646.0,Right Center Midfield,4,Lorient,165,"['34112b5f-ac11-4a44-b682-1e62e136d49c', '7d2fcd2c-7847-48fe-97b6-a00a9f80015b']",36,,,,,,,,,,,,,,,,Lorient,165,00:00:36.093,Pass,True
,,,,,,,,,,,,,,,,,1.528057,,,,,,,,,,,,,16b23e94-d923-44fd-bda9-e1266c06a482,42,,,"[43.9, 21.6]",3901167,0,,,,1.7878543,,Right Foot,,,"[38.1, 47.9]",Ground Pass,,26.931952,,,Zargo Touré,7211.0,,,,,,,1,From Free Kick,Yroundu Musavu-King,31039.0,Left Center Back,4,Lorient,165,['3ea6f547-427f-45bc-b6d2-25a0a41d1eec'],39,,,,,,,,,,,,,,,,Lorient,165,00:00:39.218,Pass,
,,,,,,,,,,,,,,,,,0.241881,,,,,,,,,,,,,4f4e4d6f-9482-4d22-8251-52b11d325ed0,46,,,"[43.2, 52.6]",3901167,0,,,,0.5337082,,Right Foot,,,"[45.4, 53.9]",Low Pass,,2.5553865,Incomplete,,,,,,,,,,1,From Free Kick,Zargo Touré,7211.0,Right Center Back,4,Lorient,165,['9e3bffa4-5fb8-4c0c-83b4-e94e13bbd2de'],42,,,,,,,,,,,,,,,,Lorient,165,00:00:42.942,Pass,
,,,,,,,,,,,,,,,,,1.042904,,,,,,,,,,,,,24cacd9b-5e5d-4b64-b742-feb8d91905a6,48,,,"[54.8, 80.0]",3901167,0,,,,-0.055498507,,,,,"[63.8, 79.5]",Low Pass,,9.013878,,,Romain Philippoteaux,7338.0,,,,,,Throw-in,1,From Throw In,Lamine Gassama,6335.0,Right Back,5,Lorient,165,['07721ac6-9b38-49da-8cfd-de8c29e18cce'],56,,,,,,,,,,,,,,,,Lorient,165,00:00:56.563,Pass,
,,,,,,,,,,,,,,,,,0.921225,,,,,,,,,,,,,376e6bd8-95ef-4b4e-bb4f-e377de1a2e91,51,,,"[64.4, 79.3]",3901167,0,,,,3.1415927,,Left Foot,,,"[55.2, 79.3]",Ground Pass,,9.2,,,Lamine Gassama,6335.0,,,,,,,1,From Throw In,Romain Philippoteaux,7338.0,Right Midfield,5,Lorient,165,"['6d96b8ab-5a34-4c97-b81c-d1954326ea9e', 'dc2e1404-caa2-4bb3-bad9-726829443b33']",57,,,,,,,,,,,,,,,,Lorient,165,00:00:57.606,Pass,True
