50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,39cbd8ba-1a59-480e-a52d-7cd042ff476d,1,,,,3829464,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 7282, 'name': 'Jean-Louis Leca'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 40517, 'name': 'Gilles Cioni'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 26481, 'name': 'Sébastien Squillaci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 401194, 'name': 'François Modesto'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 4508, 'name': 'Julian Palmieri'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 4350, 'name': 'Yannick Cahuzac'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 7791, 'name': 'Seko Fofana'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 7349, 'name': 'Gaël Danic'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 31711, 'name': 'Abdoulaye Sadio Diallo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 2}, {'player': {'id': 15689, 'name': 'Floyd Ayité'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 401541, 'name': 'Evaeverson Lemos da Silva Brandão'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Bastia,2736,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,aa696d60-451d-45fc-a946-7ed118081fe0,2,,,,3829464,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5653, 'name': 'Mouez Hassen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4270, 'name': 'Jérémy Pied'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 4443, 'name': 'Paul Baysse'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4373, 'name': 'Mathieu Bodmer'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6352, 'name': 'Ricardo Domingos Barbosa Pereira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 4506, 'name': 'Nampalys Mendy'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 4264, 'name': 'Vincent Koziello'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 3359, 'name': 'Jean Michaël Seri'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3230, 'name': 'Alassane Pléa'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 3210, 'name': 'Valère Germain'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 28}, {'player': {'id': 16462, 'name': 'Hatem Ben Arfa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",OGC Nice,136,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,True,ec656180-39e2-4099-a63a-4c5d761203bc,3,,,,3829464,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,['2687e454-b7f5-4534-993e-d6b88e2bed6e'],0,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,True,2687e454-b7f5-4534-993e-d6b88e2bed6e,4,,,,3829464,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,['ec656180-39e2-4099-a63a-4c5d761203bc'],0,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,13936234-1815-40ae-967d-85e3bdcc816f,1671,,,,3829464,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,103,Bastia,2736,['b4a851d3-0c07-4284-8171-9f6ca2c99da1'],0,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b4a851d3-0c07-4284-8171-9f6ca2c99da1,1672,,,,3829464,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,103,Bastia,2736,['13936234-1815-40ae-967d-85e3bdcc816f'],0,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.334189,,,,,,,,,,,,,,57e02bfe-61a0-47b7-95fe-f789ed9b4c5c,5,,,"[61.0, 40.1]",3829464,0,,True,,,1.8828385,,Right Foot,,,"[60.0, 43.2]",,Ground Pass,,3.2572994,,,Vincent Koziello,4264.0,,,,,Kick Off,1,From Kick Off,Hatem Ben Arfa,16462.0,Center Forward,2,OGC Nice,136,['e8205968-0c8a-471f-915a-c3057202ce7f'],2,,,,,,,,,,,,,,,,OGC Nice,136,00:00:02.720,Pass,
,,,,,,,,,,,,,,,,,,0.671676,,,,,,,,,,,,,,832b2d37-16c5-4bcb-9e79-ddea6ad855e6,7,,,"[49.0, 37.0]",3829464,0,,True,,,-1.8850282,,Right Foot,,,"[37.3, 1.0]",,High Pass,,37.853535,Out,,,,,,,,,1,From Kick Off,Vincent Koziello,4264.0,Right Center Midfield,2,OGC Nice,136,,3,,,,,,,,,,,,,,,,OGC Nice,136,00:00:03.397,Pass,
,,,,,,,,,,,,,,,,,,1.665903,,,,,,,,,,,,,,fed10fdc-e097-42ce-8e6e-246a194a0783,8,,,"[84.9, 80.0]",3829464,0,,,,,-0.68542856,,,,,"[103.0, 65.2]",,High Pass,,23.380547,Incomplete,,Evaeverson Lemos da Silva Brandão,401541.0,,,,,Throw-in,1,From Throw In,Gilles Cioni,40517.0,Right Back,3,Bastia,2736,"['47da1e9d-3d81-4651-95a4-df3053615898', '725395b6-894f-467e-8dd1-74078ebfa62a']",13,,,,,,,,,,,,,,,,Bastia,2736,00:00:13.614,Pass,
,,,,,,,,,,,,,,,,,,1.577052,,,,,,,,,,,,,,df0d4050-7f74-439a-a417-d475c9e9499c,12,,,"[78.8, 69.9]",3829464,0,,,,,-0.6192786,,Left Foot,,,"[98.3, 56.0]",,High Pass,,23.947025,Incomplete,,Floyd Ayité,15689.0,,,,,Recovery,1,From Throw In,Gilles Cioni,40517.0,Right Back,3,Bastia,2736,"['8ab2f448-46a7-4df2-94f9-759ad7891df3', 'd4e9ded8-3776-4bb1-8c5e-499b3d0b4d4b']",17,,,,,,,,,,,,,,,,Bastia,2736,00:00:17.103,Pass,
