50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,eb8a8e25-0486-4c6c-9e8e-b35bd548d2c8,1,,,3900624,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3432, 'name': 'Alexandre Letellier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 401482, 'name': 'Gaël Angoula'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 3203, 'name': 'Yoann Andreu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4441, 'name': 'Billy Ketkeophomphone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 7337, 'name': 'Mohamed Lamine Yattara'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Angers,145,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,69e32efd-f8ae-4e9d-b4f2-00a3e9d606db,2,,,3900624,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 2947, 'name': 'Anthony Lopes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4410, 'name': 'Christophe Jallet'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 4463, 'name': 'Mapou Yanga-Mbiwa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 2983, 'name': 'Jérémy Morel'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6982, 'name': 'Maxime Gonalons'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3361, 'name': 'Clément Grenier'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5480, 'name': 'Corentin Tolisso'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3372, 'name': 'Rachid Ghezzal'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 18868, 'name': 'Mathieu Valbuena'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 3451, 'name': 'Alexandre Lacazette'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Lyon,137,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,251f8b20-d680-47e3-97cb-a09d5d0afa9a,3,,,3900624,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,['15a860b4-c068-4b52-8a51-07e8e1fddb4e'],0,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,15a860b4-c068-4b52-8a51-07e8e1fddb4e,4,,,3900624,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,['251f8b20-d680-47e3-97cb-a09d5d0afa9a'],0,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9dcab002-7497-48f4-844e-b5f6a8c858d5,2032,,,3900624,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Lyon,137,['a9218806-3c36-49eb-a408-a9c30bce82a5'],0,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a9218806-3c36-49eb-a408-a9c30bce82a5,2033,,,3900624,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Lyon,137,['9dcab002-7497-48f4-844e-b5f6a8c858d5'],0,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.914656,,,,,,,,,,,fd32f630-af9e-42a3-986e-33445f5bab83,5,,"[61.0, 40.1]",3900624,0,,True,,,2.1057515,,Right Foot,,,,"[59.4, 42.8]",,Ground Pass,,3.138471,,,Clément Grenier,3361.0,,,,,Kick Off,1,From Kick Off,Alexandre Lacazette,3451.0,Center Forward,2,Lyon,137,['0c029226-b768-44c9-8e30-f06ffea55495'],0,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.091,Pass,
,,,,,,,,,,,,,,,,,1.754347,,,,,,,,,,,e682d4bd-9e35-4520-b250-a2d9163854fe,8,,"[58.4, 43.0]",3900624,0,,,,,2.3822303,,Left Foot,,,,"[38.7, 61.7]",,Ground Pass,,27.162106,,,Maxime Gonalons,6982.0,,,,,,1,From Kick Off,Clément Grenier,3361.0,Right Center Midfield,2,Lyon,137,"['65720450-dc18-45ed-98cf-3d2c060ad260', '923a5541-91e1-4efa-81af-9e256a98e5b8']",1,,,,,,,,,,,,,,,,,Lyon,137,00:00:01.656,Pass,True
,,,,,,,,,,,,,,,,,1.445715,,,,,,,,,,,821eed3b-4858-4713-aaa9-9d0c1da50184,11,,"[40.1, 61.7]",3900624,0,,,,,1.5195591,,Right Foot,,,,"[40.9, 77.3]",,Ground Pass,,15.6205,,,Christophe Jallet,4410.0,,,,,,1,From Kick Off,Maxime Gonalons,6982.0,Center Defensive Midfield,2,Lyon,137,['5a44d094-0fdb-4218-903e-c54142a3e21b'],3,,,,,,,,,,,,,,,,,Lyon,137,00:00:03.427,Pass,
,,,,,,,,,,,,,,,,,1.379744,,,,,,,,,,,6425281d-29d2-42c7-9c6a-2c981c25b290,14,,"[40.9, 77.3]",3900624,0,,,,,-2.0891838,,Right Foot,,,,"[32.8, 63.1]",,Ground Pass,,16.347782,,,Mapou Yanga-Mbiwa,4463.0,,,,,,1,From Kick Off,Christophe Jallet,4410.0,Right Back,2,Lyon,137,['4f2998d5-39dc-4693-9810-34beb1576381'],6,,,,,,,,,,,,,,,,,Lyon,137,00:00:06.140,Pass,
