50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,5e477911-0118-48b9-9c99-9e492247e8b4,1,,,3829467,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 2963, 'name': 'Rémy Vercoutre'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 22111, 'name': 'Dennis Appiah'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 7444, 'name': 'Alaeddine Yahia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7344, 'name': 'Jordan Adéoti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 4474, 'name': 'Emmanuel Imorou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 40698, 'name': 'Nicolas Seube'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 2}, {'player': {'id': 2955, 'name': 'Ronny Rodelin'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 23}, {'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 2992, 'name': 'Vincent Bessat'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 2991, 'name': 'Hervé Bazile'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 3038, 'name': 'Andy Delort'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Caen,140,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,99e7d9ea-ca1c-4d7e-8cf1-95d533e956e3,2,,,3829467,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 42428, 'name': 'Jonathan Ligali'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 2975, 'name': 'Mathieu Deplagne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 3674, 'name': 'Vitorino Hilton da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3011, 'name': 'Daniel Congré'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3676, 'name': 'Jérôme Roussillon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 3682, 'name': 'Paul Lasne'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 7590, 'name': 'Joris Marveaux'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3421, 'name': 'Bryan Dabo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6661, 'name': 'Ryad Boudebouz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 2950, 'name': 'Jonas Martin'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 30255, 'name': 'Mustapha Yatabaré'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Montpellier,139,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,9880d6ad-95f1-4f1e-97e4-49d9f189e409,3,,,3829467,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,['c0092183-03c8-48b5-91c5-67ba2200e030'],0,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,c0092183-03c8-48b5-91c5-67ba2200e030,4,,,3829467,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,['9880d6ad-95f1-4f1e-97e4-49d9f189e409'],0,,,,,,,,,,,,,,,,Caen,140,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,f492377b-1041-4248-939b-a367b1522e68,1678,,,3829467,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,107,Caen,140,['bd505d14-0bc3-4d6a-8470-936cea70d5dd'],0,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,bd505d14-0bc3-4d6a-8470-936cea70d5dd,1679,,,3829467,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,107,Caen,140,['f492377b-1041-4248-939b-a367b1522e68'],0,,,,,,,,,,,,,,,,Caen,140,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,0.656644,,,,,,,,,,,,,,,,326770fd-5bed-4366-971d-c54eff6d0503,5,,"[61.0, 40.1]",3829467,0,,,,,2.3086114,,Right Foot,,,"[60.0, 41.2]",,Ground Pass,,1.4866068,,,,Vincent Bessat,2992.0,,,,,Kick Off,1,From Kick Off,Andy Delort,3038.0,Center Forward,2,Caen,140,['43a6cc0e-ab29-4b6e-b7a2-50fbb99c5610'],0,,,,,,,,,,,,,,,,Caen,140,00:00:00.357,Pass,
,,,,,,,,,,,,,,,,,,,,,1.584181,,,,,,,,,,,,,,,,8ad716ba-b88f-4056-a134-1c6beeaec46f,7,,"[49.5, 43.0]",3829467,0,,,,,0.0,,Left Foot,,,"[49.5, 43.0]",,Ground Pass,,0.0,,,,Nicolas Seube,40698.0,,,,,,1,From Kick Off,Vincent Bessat,2992.0,Left Center Midfield,2,Caen,140,['eca565fa-2163-462c-8cc9-2980144e8f7f'],1,,,,,,,,,,,,,,,,Caen,140,00:00:01.014,Pass,
,,,,,,,,,,,,,,,,,,,,,2.958408,,,,,,,,,,,,,,,,45290cfc-f256-427d-82ed-962a87052f56,10,,"[49.5, 43.0]",3829467,0,,,,,0.80244195,,Right Foot,,,"[84.1, 78.8]",,High Pass,,49.787548,,,,Ronny Rodelin,2955.0,,,,,,1,From Kick Off,Nicolas Seube,40698.0,Center Defensive Midfield,2,Caen,140,['75f29b17-0d6d-44f4-9fd1-f0db534074b0'],2,,,,,,,,,,,,,,,,Caen,140,00:00:02.818,Pass,
,,,,,,,,,,,,,,,,,,,,,3.408083,,,,,,,,,,,,,,,,ead2652b-a1ed-48fe-8257-a13510be42a2,12,,"[84.1, 78.8]",3829467,0,,,,,0.051678084,,Head,,,"[107.3, 80.0]",,Low Pass,,23.231014,,Out,,Andy Delort,3038.0,,,,,,1,From Kick Off,Ronny Rodelin,2955.0,Right Midfield,2,Caen,140,['e7f1d612-1368-4af1-9c1b-046cf6cf47f8'],5,,,,,,,,,,,,,,,,Caen,140,00:00:05.777,Pass,
