50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,72be9f39-fb67-479e-9395-05b2965f7967,1,,,,3900557,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4440, 'name': 'Kevin Trapp'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3481, 'name': 'Serge Aurier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3956, 'name': 'David Luiz Moreira Marinho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 32}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 4325, 'name': 'Thiago Motta'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3026, 'name': 'Adrien Rabiot'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 4375, 'name': 'Blaise Matuidi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 4319, 'name': 'Edinson Roberto Cavani Gómez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1b4031d1-4149-4b9f-963a-3051edd3d1c0,2,,,,3900557,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 2947, 'name': 'Anthony Lopes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3156, 'name': 'Rafael Pereira da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 4463, 'name': 'Mapou Yanga-Mbiwa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 2983, 'name': 'Jérémy Morel'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 4895, 'name': 'Henri Bedimo Nsamè'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6982, 'name': 'Maxime Gonalons'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3162, 'name': 'Gnaly Maxwell Cornet'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 27}, {'player': {'id': 3118, 'name': 'Jordan Ferri'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 5480, 'name': 'Corentin Tolisso'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3361, 'name': 'Clément Grenier'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 6600, 'name': 'Claudio Beauvue'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Lyon,137,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,59f34c18-c729-4a58-bb3a-459d0edd0088,3,,,,3900557,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,['920755f6-d839-4abd-bb20-c513210aeb9b'],0,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,920755f6-d839-4abd-bb20-c513210aeb9b,4,,,,3900557,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,['59f34c18-c729-4a58-bb3a-459d0edd0088'],0,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,177325af-3d00-4135-a1a5-f3b88fce3095,1927,,,,3900557,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Paris Saint-Germain,131,['535cbc40-98b0-4dfb-8d88-a1c674a5660f'],0,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,535cbc40-98b0-4dfb-8d88-a1c674a5660f,1928,,,,3900557,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Paris Saint-Germain,131,['177325af-3d00-4135-a1a5-f3b88fce3095'],0,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.390335,,,,,,,,,,,,,,,e14a82c3-9376-494a-9397-d25b65617d49,5,,,"[60.0, 40.0]",3900557,0,,,,0.9224643,,Right Foot,,,,"[62.5, 43.3]",,Ground Pass,,4.1400485,,,,,Corentin Tolisso,5480.0,,,,,Kick Off,1,From Kick Off,Claudio Beauvue,6600.0,Center Forward,2,Lyon,137,['3751dc39-1a03-487d-9353-6aefa89654fb'],0,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.045,Pass,
,,,,,,,,,,,,,,,,,,5.3161,,,,,,,,,,,,,,,eb77022d-3722-4a63-9f65-3a6b0c16e12b,9,,,"[62.7, 41.2]",3900557,0,,,,-0.77573663,,Right Foot,,,,"[104.5, 0.2]",,High Pass,,58.551174,,,Out,,,,,True,,,,1,From Kick Off,Corentin Tolisso,5480.0,Left Center Midfield,2,Lyon,137,['740aace1-ae39-402f-80c0-84e747ea377b'],1,,,,,,,,,,,,,,,,,Lyon,137,00:00:01.643,Pass,True
,,,,,,,,,,,,,,,,,,1.614561,,,,,,,,,,,,,,,5e76202e-58f8-4f40-86f7-12058294f245,10,,,"[27.1, 80.0]",3900557,0,,,,-0.9129077,,,,,,"[32.2, 73.4]",,High Pass,,8.340863,,,,,Zlatan Ibrahimović,3672.0,,,,,Throw-in,1,From Throw In,Serge Aurier,3481.0,Right Back,3,Paris Saint-Germain,131,['44fbeaae-f3f7-430c-b2e9-a2f02aca335c'],19,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:19.404,Pass,
,,,,,,,,,,,,,,,,,,1.517962,,,,,,,,,,,,,,,0dfd6d6e-102c-4ebb-8b0f-1ff919cca9c1,12,,,"[32.4, 71.8]",3900557,0,,,,0.17301016,,Head,,,,"[42.7, 73.6]",,High Pass,,10.456099,,,,,Adrien Rabiot,3026.0,,,,,,1,From Throw In,Zlatan Ibrahimović,3672.0,Center Forward,3,Paris Saint-Germain,131,['be3539bc-8db0-4efb-ab88-327f29af85fe'],21,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:21.018,Pass,
