50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c1e98ce7-20a6-475b-ac6f-708fe554f33e,1,,,,3901227,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3543, 'name': 'Steve Mandanda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 3075, 'name': 'Javier Manquillo Gaitán'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8572, 'name': 'Karim Rekik'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3261, 'name': 'Benjamin Mendy'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 10036, 'name': 'Jacques-Alaixys Romao'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 38413, 'name': 'Vassiriki Abou Diaby'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 3254, 'name': 'Florian Thauvin'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 24}, {'player': {'id': 4351, 'name': 'Bouna Sarr'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 3457, 'name': 'Michy Batshuayi Tunga'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 22}, {'player': {'id': 9554, 'name': 'Steven Fletcher'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Marseille,147,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,750bbd12-5631-445b-bdd2-2be125bdde17,2,,,,3901227,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4377, 'name': 'Maxime Dupé'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 3174, 'name': 'Lévy Koffi Djidji'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 3004, 'name': 'Oswaldo Augusto Vizcarrondo Araújo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3144, 'name': 'Léo Dubois'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 7350, 'name': 'Birama Touré'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 4380, 'name': 'Guillaume Gillet'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 3151, 'name': 'Jules Iloki'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 3319, 'name': 'Yacine Bammou'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3375, 'name': 'Adrien Thomasson'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 3114, 'name': 'Emiliano Sala'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Nantes,144,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,83d7369f-ac0a-4bd9-9c53-44182d432faa,3,,,,3901227,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,['bcc84cea-5ab9-4fcb-aacf-3cd443abb12f'],0,,,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bcc84cea-5ab9-4fcb-aacf-3cd443abb12f,4,,,,3901227,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,['83d7369f-ac0a-4bd9-9c53-44182d432faa'],0,,,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c7c2c93a-31b1-4063-8246-4311848d3fca,1784,,,,3901227,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,112,Nantes,144,['fad48519-c7f3-431b-9944-9e10ed194bf6'],0,,,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fad48519-c7f3-431b-9944-9e10ed194bf6,1785,,,,3901227,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,112,Nantes,144,['c7c2c93a-31b1-4063-8246-4311848d3fca'],0,,,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.230708,,,,,,,,,,,,,,92bf7e42-7251-4dfd-ab0b-228034d74e4e,5,,,"[60.0, 40.0]",3901227,0,,,,,-2.4668517,,Right Foot,,,,"[59.5, 39.6]",,Ground Pass,,0.64031243,,,,,Emiliano Sala,3114.0,,,,,Kick Off,1,From Kick Off,Yacine Bammou,3319.0,Center Attacking Midfield,2,Nantes,144,['b79a4161-1ffb-4b30-9c9e-54ac33eee956'],0,,,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.943,Pass,
,,,,,,,,,,,,,,,,,,2.378546,,,,,,,,,,,,,,52ed53d7-c955-488e-b799-7d4969a1fba5,8,,,"[61.1, 38.9]",3901227,0,,,,,0.5649353,,Right Foot,,,,"[93.6, 59.5]",,High Pass,,38.478695,,,Incomplete,,Birama Touré,7350.0,,,,,,1,From Kick Off,Emiliano Sala,3114.0,Center Forward,2,Nantes,144,"['4fecf61f-dc74-4ea7-a750-1c5f7a3458ec', 'f4ec5879-3601-4b87-aedf-48591843dacf']",2,,,,,,,,,,,,,,,,,,,Nantes,144,00:00:02.075,Pass,
,,,,,,,,,,,,,,,,,,2.671559,,,,,,,,,,,,,,f4ec5879-3601-4b87-aedf-48591843dacf,10,,,"[26.5, 20.6]",3901227,0,,,,,2.9933114,,Head,,,,"[2.4, 24.2]",,Low Pass,,24.367395,,,,,Steve Mandanda,3543.0,,,,,Recovery,1,Regular Play,Benjamin Mendy,3261.0,Left Back,3,Marseille,147,"['0381a31c-5b07-4cee-8964-c37a62c97ec6', '52ed53d7-c955-488e-b799-7d4969a1fba5']",4,,,,,,,,,,,,,,,,,,,Marseille,147,00:00:04.453,Pass,
,,,,,,,,,,,,,,,,,,2.250173,,,,,,,,,,,,,,8cae35d6-11c4-44a2-b9a8-35354047ca9e,13,,,"[9.1, 42.8]",3901227,0,,,,,0.8960554,,Keeper Arm,,,,"[21.9, 58.8]",,Ground Pass,,20.489998,,,,,Nicolas Alexis Julio N'Koulou Ndoubena,7472.0,,,,,,1,Regular Play,Steve Mandanda,3543.0,Goalkeeper,3,Marseille,147,['949ad1d0-6e4d-45a9-ba96-0e06d8b60002'],13,,,,,,,,,,,,,,,,,,,Marseille,147,00:00:13.714,Pass,
