bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c8a44313-5e0c-4b1e-b67f-e88d0c13665e,1,,,3829440,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lorient,165,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3008, 'name': 'Benjamin Lecomte'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 6335, 'name': 'Lamine Gassama'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 13286, 'name': 'Lamine Koné'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3769, 'name': 'Wesley Lautoa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 7199, 'name': 'Vincent Le Goff'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 22587, 'name': 'Didier Ndong Ibrahim'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 3140, 'name': 'François Bellugou'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 7190, 'name': 'Denis Bouanga'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 33178, 'name': 'Benjamin Moukandjo Bilé'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 12}, {'player': {'id': 7766, 'name': 'Walid Mesloub'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Lorient,165,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,838ec4f8-f659-4e2f-9765-2c6d2a5f9cce,2,,,3829440,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lorient,165,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4259, 'name': 'Stéphane Ruffier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 3413, 'name': 'Kévin Théophile-Catherine'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 401468, 'name': 'Moustapha Bayal Sall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 4802, 'name': 'Florentin Pogba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 7347, 'name': 'Pierre-Yves Polomat'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 7200, 'name': 'Fabien Lemoine'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 7442, 'name': 'Jérémy Clément'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 4260, 'name': 'Romain Hamouma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 4254, 'name': 'Valentin Eysseric'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 4431, 'name': 'Kévin Monnet-Paquet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 3179, 'name': 'Nolan Roux'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Saint-Étienne,135,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,89bf9263-db59-4f14-a58a-537665c405a6,3,,,3829440,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lorient,165,['7fdf0f0b-2664-4f4e-ab21-a2b552ae201b'],0,,,,,,,,,,,,,,,,Lorient,165,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7fdf0f0b-2664-4f4e-ab21-a2b552ae201b,4,,,3829440,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lorient,165,['89bf9263-db59-4f14-a58a-537665c405a6'],0,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,99523bdb-7ad7-4637-a7ef-096b5fa91400,1795,,,3829440,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,101,Saint-Étienne,135,['382448dd-cbf9-468a-b65e-a1b7cbd70d98'],0,,,,,,,,,,,,,,,,Lorient,165,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,382448dd-cbf9-468a-b65e-a1b7cbd70d98,1796,,,3829440,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,101,Saint-Étienne,135,['99523bdb-7ad7-4637-a7ef-096b5fa91400'],0,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.713615,,,,,,,,,,,,,6a990361-d7b1-46d0-a935-6f41977162b5,5,,"[61.0, 40.1]",3829440,0,,,,,3.0362153,,Right Foot,,,"[50.6, 41.2]",,Ground Pass,,10.458012,,,Jérémy Clément,7442.0,,,,,Kick Off,1,From Kick Off,Valentin Eysseric,4254.0,Center Attacking Midfield,2,Saint-Étienne,135,['da988907-1e35-4773-9922-981d92411852'],0,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.778,Pass,
,,,,,,,,,,,,,,,,,2.013328,,,,,,,,,,,,,8e5c2110-879e-4f47-aa04-70d9e0415805,8,,"[50.6, 42.4]",3829440,0,,,,,1.6128136,,Left Foot,,,"[49.2, 75.7]",,Ground Pass,,33.32942,,,Kévin Théophile-Catherine,3413.0,,,,,,1,From Kick Off,Jérémy Clément,7442.0,Left Defensive Midfield,2,Saint-Étienne,135,['80da2a86-d2c7-4768-9521-a8e556f99583'],2,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:02.334,Pass,
,,,,,,,,,,,,,,,,,0.945375,,,,,,,,,,,,,c0623937-9b53-4821-bbe7-89adf61b442d,11,,"[48.8, 75.3]",3829440,0,,,,,-1.2440953,,Right Foot,,,"[52.9, 63.2]",,Ground Pass,,12.775759,,,Fabien Lemoine,7200.0,,,,,,1,From Kick Off,Kévin Théophile-Catherine,3413.0,Right Back,2,Saint-Étienne,135,['3908dcdc-48a1-417f-8217-4831a86b8be8'],5,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:05.225,Pass,
,,,,,,,,,,,,,,,,,0.91985,,,,,,,,,,,,,f3b98f12-e883-4287-a349-9d96545c4192,14,,"[52.9, 63.2]",3829440,0,,,,,0.5654143,,Right Foot,,,"[72.6, 75.7]",,High Pass,,23.331095,,,Romain Hamouma,4260.0,,,,,,1,From Kick Off,Fabien Lemoine,7200.0,Right Defensive Midfield,2,Saint-Étienne,135,['1a02b5f4-67e9-45e1-959a-07c8c008d06c'],6,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:06.170,Pass,
