50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[33.3, 47.1]",,,,,,,,,,,,0.33539,,,,,,,,,,,,,d44e33cc-da61-430e-ad64-d6538461f7d3,897,,"[33.3, 47.1]",3900629,15,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Thiago Motta,4325.0,Center Defensive Midfield,31,Paris Saint-Germain,131,"['3db853a9-8ba0-4cfd-85c2-cb3735e6b101', 'ac7b2018-213b-4314-abe5-a7f40d5f5691']",16,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:15:16.578,Carry,
,,,,,,"[27.7, 65.4]",,,,,,,,,,,,0.159999,,,,,,,,,,,,,6e24b867-e131-4e04-a2a9-260077c47872,900,,"[28.4, 60.2]",3900629,15,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Thiago Emiliano da Silva,3295.0,Right Center Back,31,Paris Saint-Germain,131,"['3d4b4cde-2e52-4e25-bb99-a575a999d01e', 'ffcaa29d-ae4b-4d26-bd48-c5c477e92186']",18,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:15:18.181,Carry,
,,,,,,"[44.2, 67.6]",,,,,,,,,,,,0.943393,,,,,,,,,,,,,7ae36e1c-39eb-43fd-84c3-ba47a3d8687e,903,,"[37.7, 67.6]",3900629,15,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Adrien Rabiot,3026.0,Right Center Midfield,31,Paris Saint-Germain,131,"['4865a62c-11be-4d95-8035-d8837fe3784d', 'f1ea9a9f-5636-4281-a7c0-b5fde8188c4d']",20,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:15:20.216,Carry,
,,,,,,"[73.8, 55.8]",,,,,,,,,,,,2.252209,,,,,,,,,,,,,c5888a72-f42f-48eb-a293-cea640a800b1,906,,"[68.3, 61.2]",3900629,15,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lucas Rodrigues Moura da Silva,3745.0,Left Wing,31,Paris Saint-Germain,131,"['009af608-1eb8-463c-9a6e-b59db18b96ea', '67e27671-7e92-4a50-9d2b-3c0733d3e813', '7eba00ff-61a8-4c3e-87e3-a29de4585d51']",22,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:15:22.296,Carry,True
,,,,,,"[35.9, 33.0]",,,,,,,,,,,,1.182934,,,,,,,,,,,,,98d228dd-d7a2-4a20-9f11-a2d5a7278ec8,911,,"[35.9, 31.4]",3900629,15,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Nicolas Alexis Julio N'Koulou Ndoubena,7472.0,Right Center Back,32,Marseille,147,"['94761ffa-17cf-40b8-b560-61536e20e007', 'd900e14a-ee06-4a75-97d5-985bc6400971']",25,,,,,,,,,,,,,,,,,,,Marseille,147,00:15:25.643,Carry,
,,,,,,"[76.8, 54.6]",,,,,,,,,,,,4.291608,,,,,,,,,,,,,dd10d392-84fb-4f05-9f6f-9b5cb3f3859d,916,,"[39.1, 34.4]",3900629,15,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mauricio Aníbal Isla Isla,18874.0,Right Defensive Midfield,32,Marseille,147,"['479b661f-de04-4cf1-90fe-dd55d90bd4d3', '8306b675-6d8d-4e70-bdde-c8b028bf41dc']",28,,,,,,,,,,,,,,,,,,,Marseille,147,00:15:28.324,Carry,
,,,,,,"[92.6, 38.0]",,,,,,,,,,,,2.769845,,,,,,,,,,,,,6b0e1808-0fdf-4aa3-b10c-74ea36a83e08,919,,"[78.5, 34.7]",3900629,15,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Rémy Cabella,3420.0,Center Attacking Midfield,32,Marseille,147,"['46d83298-3e48-4727-a350-11cee2fe3fc4', '4c7df49f-b395-4d9e-a797-0051edf3a44f']",33,,,,,,,,,,,,,,,,,,,Marseille,147,00:15:33.310,Carry,
,,,,,,"[23.1, 28.8]",,,,,,,,,,,,0.437121,,,,,,,,,,,,,d271575b-7ead-4204-8788-dbd1aa0924b1,926,,"[23.1, 28.8]",3900629,15,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,David Luiz Moreira Marinho,3956.0,Left Center Back,34,Paris Saint-Germain,131,"['08daa5b3-a661-4143-bf8e-1375e44d1841', '95b9586f-4168-4780-bbd4-c518c7396a0e']",52,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:15:52.788,Carry,
,,,,,,"[32.8, 42.7]",,,,,,,,,,,,1.884319,,,,,,,,,,,,,93976cd7-4e78-4387-b754-e4afff26bd3e,929,,"[32.8, 42.7]",3900629,15,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Thiago Motta,4325.0,Center Defensive Midfield,34,Paris Saint-Germain,131,"['9f94b7bb-2480-4393-bd3d-9d7c53a6607a', 'bf3f1051-0a23-43c2-a3f0-fe22dedb9682']",54,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:15:54.326,Carry,
,,,,,,"[57.8, 38.0]",,,,,,,,,,,,3.495896,,,,,,,,,,,,,a6463616-c216-48f3-b8a6-db0895858743,932,,"[58.0, 40.4]",3900629,15,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Ángel Fabián Di María Hernández,2995.0,Right Wing,34,Paris Saint-Germain,131,"['b94a3f95-af2b-458f-a9d5-1395f634c8d9', 'e97c9beb-a03c-4aba-b964-6fae66b2ca35']",57,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:15:57.327,Carry,
