50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,79541eb4-3ca7-4d5c-a05d-043a7e0bfd23,1,,,3900514,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3322, 'name': 'Jonas Lössl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20199, 'name': 'Lars Christian Jacobsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 2936, 'name': 'Christophe Kerbrat'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 29}, {'player': {'id': 3124, 'name': 'Jérémy Sorbon'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 30182, 'name': 'Dorian Lévêque'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 3121, 'name': 'Moustapha Elhadji Diallo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 3348, 'name': 'Younousse Sankharé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 3363, 'name': 'Marcus Coco'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 24}, {'player': {'id': 3122, 'name': 'Yannis Salibur'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 3213, 'name': 'Jimmy Briand'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 4799, 'name': 'Sloan Privat'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Guingamp,142,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2822fdec-6a21-47a1-81dc-24a5c65b0551,2,,,3900514,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 41385, 'name': 'Ali Nadhoim Ahamada'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 3030, 'name': 'Wergiton do Rosário Calmon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 30447, 'name': 'Jean-Armel Kana-Biyik'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8677, 'name': 'Marcel Tisserand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 44065, 'name': 'William Matheus da Silva'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 2961, 'name': 'Yann Bodiger'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 31174, 'name': 'Jean-Daniel Akpa Akpro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 3032, 'name': 'Zinédine Machach'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 11540, 'name': 'Óscar Guido Trejo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 18}, {'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Toulouse,130,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1829e65e-af94-42db-bd35-eb728a18968b,3,,,3900514,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,['57f0cf17-eb73-4454-9992-e06aee60f564'],0,,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,57f0cf17-eb73-4454-9992-e06aee60f564,4,,,3900514,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,['1829e65e-af94-42db-bd35-eb728a18968b'],0,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a56b50d6-9a7f-4f4a-84af-684e9251af04,1558,,,3900514,45,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,83,Guingamp,142,['b4296012-8df7-4f27-abb1-a4a67b0b0b46'],0,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b4296012-8df7-4f27-abb1-a4a67b0b0b46,1559,,,3900514,45,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,83,Guingamp,142,['a56b50d6-9a7f-4f4a-84af-684e9251af04'],0,,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.528842,,,,,,,,,,,,,,,76f4268b-0e7c-414a-a0ea-1257259e1576,5,,"[61.0, 40.1]",3900514,0,,,,1.1133214,,Right Foot,,"[64.2, 46.6]",,Ground Pass,,7.2449985,,,Wissam Ben Yedder,6723.0,,,,,Kick Off,1,From Kick Off,Martin Braithwaite Christensen,4447.0,Left Center Forward,2,Toulouse,130,['19737d30-0da5-48d8-be7d-6a286c46eec2'],1,,,,,,,,,,,,,,,,,Toulouse,130,00:00:01.010,Pass,
,,,,,,,,,,,,,,,,,,1.540254,,,,,,,,,,,,,,,070b68f8-b481-4df9-badc-250c6c2036e9,7,,"[63.8, 44.9]",3900514,0,True,,,-2.9786663,,Right Foot,,"[49.2, 42.5]",,Ground Pass,,14.795945,,,Yann Bodiger,2961.0,,,,,,1,From Kick Off,Wissam Ben Yedder,6723.0,Right Center Forward,2,Toulouse,130,['59288778-17d2-49c9-8a48-a5e85e05ce7f'],1,,,,,,,,,,,,,,,,,Toulouse,130,00:00:01.539,Pass,
,,,,,,,,,,,,,,,,,,0.551002,,,,,,,,,,,,,,,61d6e89f-4972-4f29-bd8a-c5cd71aa1e37,10,,"[53.7, 42.7]",3900514,0,,,,-0.5754247,,Left Foot,,"[68.5, 33.1]",,Ground Pass,,17.640862,,,Martin Braithwaite Christensen,4447.0,,,,,,1,From Kick Off,Yann Bodiger,2961.0,Center Defensive Midfield,2,Toulouse,130,['264f9af7-f754-442a-beb5-9f9b5619cafe'],4,,,,,,,,,,,,,,,,,Toulouse,130,00:00:04.128,Pass,
,,,,,,,,,,,,,,,,,,1.046795,,,,,,,,,,,,,,,6893fa86-55a9-4fd2-8d79-4e7744526353,13,,"[68.5, 33.1]",3900514,0,,,,-2.4218893,,Right Foot,,"[60.4, 26.0]",,Ground Pass,,10.771258,,,Zinédine Machach,3032.0,,,,,,1,From Kick Off,Martin Braithwaite Christensen,4447.0,Left Center Forward,2,Toulouse,130,['e1f93141-4085-4d16-abe9-bd47b8db6dd8'],5,,,,,,,,,,,,,,,,,Toulouse,130,00:00:05.807,Pass,
