50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,"[99.7, 6.9]",,,,,,,,,,,,1.610936,,,,,,,,,,,,c7790bb2-b093-43de-8dcc-5e9e68b73526,426,,"[82.6, 7.8]",3900536,8,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Issiaga Sylla,4352.0,Left Back,23,Gazélec Ajaccio,160,"['372fca98-d3e8-4a84-a07e-98b6b8a529ce', 'cf93d13a-8eae-45d1-b5cf-d3875446da79']",34,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:08:34.570,Carry,
,,,,"[35.6, 2.3]",,,,,,,,,,,,5.381473,,,,,,,,,,,,aed6a73c-17b3-410a-a5ac-ab6fb2ba03fe,430,,"[16.4, 7.9]",3900536,8,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jérôme Roussillon,3676.0,Left Back,24,Montpellier,139,"['516703a8-3dd0-4991-8c36-f22b1cb8d427', 'ee22d4ed-768f-4169-8a3d-8eeb166b2d4d']",41,,,,,,,,,,,,,,,,,Montpellier,139,00:08:41.444,Carry,
,,,,"[51.2, 29.5]",,,,,,,,,,,,1.832592,,,,,,,,,,,,f214f760-f4ed-4853-a868-0198ab03495f,433,,"[50.9, 23.4]",3900536,8,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ryad Boudebouz,6661.0,Right Wing,24,Montpellier,139,"['92d637d7-b481-4276-94ec-3815a0600c6d', 'ec8d762b-9a4e-41ef-9880-c6030260a5c1']",48,,,,,,,,,,,,,,,,,Montpellier,139,00:08:48.407,Carry,
,,,,"[81.0, 65.1]",,,,,,,,,,,,3.932217,,,,,,,,,,,,31e96220-5433-4d1f-bb25-8991f021049c,436,,"[51.7, 64.1]",3900536,8,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bryan Dabo,3421.0,Right Back,24,Montpellier,139,"['079daf7f-4a8d-4a6d-af40-7e3989900e84', '2566d471-ffca-434e-b03f-3ca5e2cb55c5']",52,,,,,,,,,,,,,,,,,Montpellier,139,00:08:52.630,Carry,
,,,,"[91.5, 46.5]",,,,,,,,,,,,3.083385,,,,,,,,,,,,d0d8d69e-3c4f-4323-b848-1272182fdb90,439,,"[80.0, 51.1]",3900536,8,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ryad Boudebouz,6661.0,Right Wing,24,Montpellier,139,"['444564f8-2bd9-40bd-aba7-3d1d10749dd6', '79b07210-6b45-46c6-9665-3d00565e35c7', 'c96fce08-15b0-42c9-91b6-a4a42a476fd5']",57,,,,,,,,,,,,,,,,,Montpellier,139,00:08:57.685,Carry,True
,,,,"[63.3, 79.3]",,,,,,,,,,,,2.629646,,,,,,,,,,,,172661da-67a2-4044-afe9-3fd696ffca40,450,,"[57.9, 72.5]",3900536,9,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alexandre Coeff,7428.0,Right Back,25,Gazélec Ajaccio,160,"['3ae3b645-c69a-46b2-8ad8-088b2906f762', '57d75d0c-731b-4b0a-9223-29bcc41f5e1c']",10,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:09:10.107,Carry,
,,,,"[14.8, 68.1]",,,,,,,,,,,,2.845218,,,,,,,,,,,,7cd9fe08-fcff-4e67-817e-6deb1663b98b,459,,"[16.6, 73.2]",3900536,9,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jules Goda,7515.0,Goalkeeper,27,Gazélec Ajaccio,160,"['befc3cbf-9f9f-4bb2-830f-38e02c159184', 'f990e3e2-8e6b-47ec-83a2-4c41d687acae']",36,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:09:36.058,Carry,
,,,,"[33.8, 56.4]",,,,,,,,,,,,1.90275,,,,,,,,,,,,5926a58e-58ca-438f-898f-ee1e059e01c5,462,,"[32.9, 56.4]",3900536,9,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Roderic Filippi,7808.0,Right Center Back,27,Gazélec Ajaccio,160,"['32c9657f-4c73-4743-87c9-9d9bfc482470', '439bf985-727d-4ae7-88ba-074e3969fb65']",40,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:09:40.771,Carry,
,,,,"[40.6, 22.8]",,,,,,,,,,,,3.256754,,,,,,,,,,,,3b324c94-e7e0-47fc-8cad-e1f579975a00,465,,"[29.8, 36.5]",3900536,9,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Abdou Kader Mangane,2953.0,Left Center Back,27,Gazélec Ajaccio,160,"['1c9b4107-a920-48be-8431-5be8b4925d8a', 'a9219b0d-b809-4829-9c25-65350b540b28']",44,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:09:44.913,Carry,
,,,,"[18.5, 39.1]",,,,,,,,,,,,0.96498,,,,,,,,,,,,c9a8ab5f-dd8a-4ef0-b732-5dfd582ab0a4,468,,"[18.5, 38.9]",3900536,9,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jules Goda,7515.0,Goalkeeper,27,Gazélec Ajaccio,160,"['40522ee4-a14c-46bb-af4c-3c7add602dd8', '902ce425-591f-4bd8-b782-1447feae15cc']",50,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:09:50.620,Carry,
