50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,51636f5b-489d-46af-8f72-75db84890fae,1,,,,3900535,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 40484, 'name': 'Vincent Enyeama'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6716, 'name': 'Sébastien Corchia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 23203, 'name': 'Stopilla Sunzu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 3677, 'name': 'Bakary Adama Soumaoro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 3446, 'name': 'Djibril Sidibé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 40522, 'name': 'Rio Antonio Zoba Mavuba'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 3211, 'name': 'Florent Balmont'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 7441, 'name': 'Marvin Martin'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 3673, 'name': 'Yassine Benzia'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 40486, 'name': 'Éric Bauthéac'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 10330, 'name': 'Gadji Celi Carmen Junior Tallo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Lille,143,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d35289f9-82c7-4c54-931b-7999b4e6593c,2,,,,3900535,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4259, 'name': 'Stéphane Ruffier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 7707, 'name': 'François Clerc'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 4263, 'name': 'Loïc Perrin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 4802, 'name': 'Florentin Pogba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 3047, 'name': 'Benoît Assou-Ekotto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 32}, {'player': {'id': 3414, 'name': 'Vincent Pajot'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 7442, 'name': 'Jérémy Clément'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 4256, 'name': 'Jonathan Bamba'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 4254, 'name': 'Valentin Eysseric'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 4431, 'name': 'Kévin Monnet-Paquet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 3179, 'name': 'Nolan Roux'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Saint-Étienne,135,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7e6354e5-62a0-4c67-bc2f-e5a9e61cf823,3,,,,3900535,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,['8e10de59-e865-40fd-a8f0-f833d3f613a9'],0,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8e10de59-e865-40fd-a8f0-f833d3f613a9,4,,,,3900535,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,['7e6354e5-62a0-4c67-bc2f-e5a9e61cf823'],0,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a45b86dc-5f70-41ff-a8a9-b955846275a3,1558,,,,3900535,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,101,Saint-Étienne,135,['fb78e16d-b27d-442b-a941-868077666139'],0,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fb78e16d-b27d-442b-a941-868077666139,1559,,,,3900535,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,101,Saint-Étienne,135,['a45b86dc-5f70-41ff-a8a9-b955846275a3'],0,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.326118,,,,,,,,,,,,,7ba4e2f0-0d82-4a6a-833e-a02f795e706b,5,,,"[61.0, 40.1]",3900535,0,,,,,1.1071488,,Left Foot,,,"[62.5, 43.1]",,Ground Pass,,3.354102,,,Nolan Roux,3179.0,,,,,Kick Off,1,From Kick Off,Valentin Eysseric,4254.0,Center Attacking Midfield,2,Saint-Étienne,135,['42f2a92a-d76c-4853-b93d-bc41be827a7d'],0,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.681,Pass,
,,,,,,,,,,,,,,,,,,,1.154827,,,,,,,,,,,,,59535ab3-6c76-4d8a-8d6a-10a058339b7b,8,,,"[61.8, 44.2]",3900535,0,,,,,-2.7784457,,Right Foot,,,"[46.8, 38.5]",,Ground Pass,,16.046495,,,Jérémy Clément,7442.0,,,,,,1,From Kick Off,Nolan Roux,3179.0,Center Forward,2,Saint-Étienne,135,['0244e3e7-89e8-4292-b0fc-9c0de4c47491'],1,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:01.067,Pass,
,,,,,,,,,,,,,,,,,,,1.968015,,,,,,,,,,,,,ecdc7596-3659-4bd2-9dfd-df965db00d0e,11,,,"[47.2, 36.9]",3900535,0,,,,,-1.8580778,,Left Foot,,,"[39.4, 10.5]",,Ground Pass,,27.528168,,,Benoît Assou-Ekotto,3047.0,,,,,,1,From Kick Off,Jérémy Clément,7442.0,Left Defensive Midfield,2,Saint-Étienne,135,['d78cd340-8339-4e8d-9bd3-af387c3e9bff'],3,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:03.220,Pass,
,,,,,,,,,,,,,,,,,,,0.6621,,,,,,,,,,,,,d9f0532f-78bd-4c2a-8b20-50e51e55591a,14,,,"[40.1, 10.5]",3900535,0,,,,,0.9896118,,Left Foot,,,"[46.8, 20.7]",,Ground Pass,,12.203688,,,Jérémy Clément,7442.0,,,,,,1,From Kick Off,Benoît Assou-Ekotto,3047.0,Left Back,2,Saint-Étienne,135,['27080a3f-e82e-4fde-8b01-768a3e433169'],7,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:07.562,Pass,
,,,,,,,,,,,,,,,,,,,1.780753,,,,,,,,,,,,,e2325e60-3fb8-4d2d-8953-5c7db4454765,17,,,"[47.6, 21.2]",3900535,0,,,,,-1.9540805,,Left Foot,,,"[42.6, 8.8]",,Ground Pass,,13.370116,,,Benoît Assou-Ekotto,3047.0,,,,,,1,From Kick Off,Jérémy Clément,7442.0,Left Defensive Midfield,2,Saint-Étienne,135,['993a43c3-55b0-4e68-9398-d1209c9c9af0'],8,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:08.408,Pass,
,,,,,,,,,,,,,,,,,,,1.654541,,,,,,,,,,,,,5b0101a3-da19-4fb5-bd1f-932c9e074ae1,20,,,"[42.6, 8.8]",3900535,0,,,,,2.3765078,,Left Foot,,,"[20.0, 30.5]",,Low Pass,,31.331295,,,Florentin Pogba,4802.0,,,,,,1,From Kick Off,Benoît Assou-Ekotto,3047.0,Left Back,2,Saint-Étienne,135,['a8720ad6-94dd-4bdf-85b9-391a6d319b57'],11,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:11.027,Pass,
