50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7932023f-6a1e-40ca-9300-0172c112414b,1,,,3900572,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8277, 'name': 'Wallace Fortuna dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 19047, 'name': 'Fábio Alexandre da Silva Coentrão'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 3406, 'name': 'Jérémy Toulalan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 3168, 'name': 'João Filipe Iria Santos Moutinho'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5727, 'name': 'Nabil Dirar'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3245, 'name': 'Thomas Lemar'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 27}, {'player': {'id': 9931, 'name': 'Hélder Wander Sousa Azevedo Costa'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 3246, 'name': 'Guido Marcelo Carrillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",AS Monaco,129,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ba8b1b59-bd74-4be5-9372-3ae839af7d72,2,,,3900572,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 401508, 'name': 'Clément Maury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7428, 'name': 'Alexandre Coeff'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 2953, 'name': 'Abdou Kader Mangane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 7603, 'name': 'Jérémie Bréchet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4352, 'name': 'Issiaga Sylla'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 401507, 'name': 'Jérôme Le Moigne'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 401509, 'name': 'David Ducourtioux'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 31911, 'name': 'Damjan Đoković'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 10616, 'name': 'Mohamed Larbi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5726, 'name': 'Khalid Boutaïb'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 7721, 'name': 'John Tshibumbu'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 24}]}",Gazélec Ajaccio,160,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,56753bec-083e-479a-bf8d-1a1a80134ff1,3,,,3900572,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,['fa2642f7-09b8-4995-9b9e-d82517f3da88'],0,,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,fa2642f7-09b8-4995-9b9e-d82517f3da88,4,,,3900572,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,['56753bec-083e-479a-bf8d-1a1a80134ff1'],0,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c335ed35-8ae0-448d-abf8-f8b00a3aceb0,1896,,,3900572,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,103,AS Monaco,129,['e4df199d-f7d4-4d4e-8d44-4a8b99744572'],0,,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e4df199d-f7d4-4d4e-8d44-4a8b99744572,1897,,,3900572,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,103,AS Monaco,129,['c335ed35-8ae0-448d-abf8-f8b00a3aceb0'],0,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.50296,,,,,,,,,,,,,,,5e90b7d4-004d-4ea2-92d4-af9d93d58dd6,5,,"[61.0, 40.1]",3900572,0,,,,,1.0679531,,Right Foot,,,"[62.1, 42.1]",,Ground Pass,,2.2825425,,,Khalid Boutaïb,5726.0,,,,,Kick Off,1,From Kick Off,Mohamed Larbi,10616.0,Center Attacking Midfield,2,Gazélec Ajaccio,160,['0d6d9630-94d1-4371-8a50-6906c31ba8a9'],0,,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.770,Pass,
,,,,,,,,,,,,,,,,,,2.426994,,,,,,,,,,,,,,,534d9009-992e-48a8-850f-fb4cc925de45,8,,"[62.1, 41.0]",3900572,0,,,,,-2.950733,,Right Foot,,,"[23.8, 33.6]",,Ground Pass,,39.00833,,,Jérémie Bréchet,7603.0,,,,,,1,From Kick Off,Khalid Boutaïb,5726.0,Right Center Forward,2,Gazélec Ajaccio,160,['11aa8177-1750-4940-bf68-ae5757118493'],1,,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:01.637,Pass,
,,,,,,,,,,,,,,,,,,2.922441,,,,,,,,,,,,,,,659f28e6-c204-4163-99b7-ce94ba38449e,12,,"[27.8, 26.3]",3900572,0,,,,,-0.0075045493,,Left Foot,,,"[81.1, 25.9]",,High Pass,,53.301502,Incomplete,,John Tshibumbu,7721.0,,,,,,1,From Kick Off,Jérémie Bréchet,7603.0,Left Center Back,2,Gazélec Ajaccio,160,"['5f62c142-e521-4d32-a73f-54c069751070', '72b4906c-4934-4190-9ba4-d82143440687', 'e4d0316b-f0a8-486a-ac0f-bf870b411232']",5,,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:05.685,Pass,True
,,,,,,,,,,,,,,,,,,2.214619,,,,,,,,,,,,,,,7e6ad86b-8c60-418f-97ea-7c0367464e23,18,,"[35.2, 72.6]",3900572,0,,,,,-0.3413559,,Right Foot,,,"[65.6, 61.8]",,High Pass,,32.261433,Incomplete,,,,,,,,,1,Regular Play,Wallace Fortuna dos Santos,8277.0,Right Center Back,3,AS Monaco,129,"['44f7fd1b-6754-4aa0-ae6b-8d3334f0a8b5', '65ee93c2-73b6-43b3-9387-b8541d9db75b']",11,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:11.087,Pass,True
