50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,328b88ad-2681-459d-9b78-7c4824ce847f,1,,,,3829428,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 2963, 'name': 'Rémy Vercoutre'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 22111, 'name': 'Dennis Appiah'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 7444, 'name': 'Alaeddine Yahia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4386, 'name': 'Damien Da Silva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 4474, 'name': 'Emmanuel Imorou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 7344, 'name': 'Jordan Adéoti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 7303, 'name': 'Lenny Nangis'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 2979, 'name': 'Jonathan Delaplace'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 2992, 'name': 'Vincent Bessat'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 3038, 'name': 'Andy Delort'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Caen,140,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6e590e43-8ca6-4e49-8504-e7fe82dd8b2f,2,,,,3829428,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,,0,,,,,,,,,,,,,,,,,"{'formation': 4321, 'lineup': [{'player': {'id': 22130, 'name': 'Mauro Daniel Goicoechea Furia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40641, 'name': 'Pavle Ninkov'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 30447, 'name': 'Jean-Armel Kana-Biyik'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 16430, 'name': 'Uroš Spajić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 3024, 'name': 'Jacques François Moubandje'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 3189, 'name': 'Étienne Didot'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 31174, 'name': 'Jean-Daniel Akpa Akpro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 16522, 'name': 'Tongo Hamed Doumbia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 11540, 'name': 'Óscar Guido Trejo'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 18}, {'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Toulouse,130,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,True,2edc75bf-813e-428b-8b85-35e654cbb9da,3,,,,3829428,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,['92b66715-e748-4aeb-9750-2c49362fc129'],0,,,,,,,,,,,,,,,,,,Caen,140,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,True,92b66715-e748-4aeb-9750-2c49362fc129,4,,,,3829428,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,['2edc75bf-813e-428b-8b85-35e654cbb9da'],0,,,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e6ed5157-178f-468c-b0f2-18fd6c5c43de,2077,,,,3829428,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,113,Caen,140,['5b422028-e09b-412b-9293-2c7c486cf815'],0,,,,,,,,,,,,,,,,,,Caen,140,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5b422028-e09b-412b-9293-2c7c486cf815,2078,,,,3829428,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,113,Caen,140,['e6ed5157-178f-468c-b0f2-18fd6c5c43de'],0,,,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.965067,,,,,,,,,,,,,,b654e724-524f-46f9-85f9-a564881683fe,5,,,"[61.0, 40.1]",3829428,0,True,,,1.1760052,,Right Foot,,,,"[61.5, 41.3]",,Ground Pass,,1.3,,,,Emmanuel Imorou,4474.0,,,,,Kick Off,1,From Kick Off,Andy Delort,3038.0,Center Forward,2,Caen,140,['720e80d1-20d1-4440-83a7-8ad56a60c2e4'],1,,,,,,,,,,,,,,,,,,Caen,140,00:00:01.601,Pass,
,,,,,,,,,,,,,,,,,,0.720784,,,,,,,,,,,,,,9711f35d-4b07-4062-8052-6846cdc1f5e5,7,,,"[69.3, 6.5]",3829428,0,True,,,0.35662013,,Left Foot,,,,"[79.5, 10.3]",,Ground Pass,,10.884851,,,,Vincent Bessat,2992.0,,,,,,1,From Kick Off,Emmanuel Imorou,4474.0,Left Back,2,Caen,140,['d37ace21-067f-4bbb-9590-a8b6c555fe97'],2,,,,,,,,,,,,,,,,,,Caen,140,00:00:02.735,Pass,
,,,,,,,,,,,,,,,,,,1.845213,,,,,,,,,,,,,,c1bebd77-45c0-4527-ba83-342d3c0db006,12,,,"[75.0, 10.6]",3829428,0,,,,3.0931876,,Left Foot,,,,"[46.1, 12.0]",,Ground Pass,,28.93389,,,,Damien Da Silva,4386.0,,,,,,1,From Kick Off,Vincent Bessat,2992.0,Left Midfield,2,Caen,140,['331c85d3-10f6-4040-9260-53132dfd05d7'],6,,,,,,,,,,,,,,,,,,Caen,140,00:00:06.127,Pass,
,,,,,,,,,,,,,,,,,,2.123366,,,,,,,,,,,,,,1686ade1-6a74-4900-83ee-c1018dfe0c4e,15,,,"[42.0, 15.6]",3829428,0,,,,2.443112,,Right Foot,,,,"[15.8, 37.6]",,Ground Pass,,34.211693,,,,Rémy Vercoutre,2963.0,,,,,,1,From Kick Off,Damien Da Silva,4386.0,Left Center Back,2,Caen,140,['9b5f0062-b92e-499f-b032-b4c85b779bf3'],9,,,,,,,,,,,,,,,,,,Caen,140,00:00:09.586,Pass,
,,,,,,,,,,,,,,,,,,1.793274,,,,,,,,,,,,,,d9b80020-169b-483b-8534-183253681a8c,18,,,"[18.6, 42.2]",3829428,0,,,,1.095305,,Right Foot,,,,"[30.7, 65.7]",,Ground Pass,,26.432177,,,,Alaeddine Yahia,7444.0,,,,,,1,From Kick Off,Rémy Vercoutre,2963.0,Goalkeeper,2,Caen,140,['6c4cfcbd-4656-47a4-b9e3-3c1c3361f5cd'],14,,,,,,,,,,,,,,,,,,Caen,140,00:00:14.508,Pass,
