50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9505662a-3a1e-4f96-84aa-9e191f1bf5e4,1,,,3901255,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3432, 'name': 'Alexandre Letellier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 401482, 'name': 'Gaël Angoula'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 4906, 'name': 'Arnold Bouka Moutou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 7230, 'name': 'Grégory Bourillon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 3071, 'name': 'Pierrick Capelle'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4441, 'name': 'Billy Ketkeophomphone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 7337, 'name': 'Mohamed Lamine Yattara'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Angers,145,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d57a6851-7d45-4bb6-9abe-5f5a61d27142,2,,,3901255,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 2981, 'name': 'Alban Lafont'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 3035, 'name': 'Steeve Yago'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 4349, 'name': 'Issa Diop'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8677, 'name': 'Marcel Tisserand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 3024, 'name': 'Jacques François Moubandje'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 3189, 'name': 'Étienne Didot'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 30447, 'name': 'Jean-Armel Kana-Biyik'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 3}, {'player': {'id': 16418, 'name': 'Adrien Regattin'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 3030, 'name': 'Wergiton do Rosário Calmon'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Toulouse,130,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,dcaf553b-5c9d-4c2d-a168-fe866394da61,3,,,3901255,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,['8eba11e9-9b35-4559-aac5-734238d3f2ac'],0,,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8eba11e9-9b35-4559-aac5-734238d3f2ac,4,,,3901255,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,['dcaf553b-5c9d-4c2d-a168-fe866394da61'],0,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fba6c704-88c2-4342-a918-f4e01e2a2196,1358,,,3901255,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,109,Angers,145,['3d60a134-e907-4401-b52a-e4e5bcf3f388'],0,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3d60a134-e907-4401-b52a-e4e5bcf3f388,1359,,,3901255,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,109,Angers,145,['fba6c704-88c2-4342-a918-f4e01e2a2196'],0,,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.541195,,,,,,,,,,,,,,02c71975-1879-4b9a-81b1-6682c18dbc96,5,,"[61.0, 40.1]",3901255,0,,,,,-1.5707964,,Left Foot,,,"[61.0, 38.1]",,Ground Pass,,2.0,,,Wissam Ben Yedder,6723.0,,,,,Kick Off,1,From Kick Off,Wergiton do Rosário Calmon,3030.0,Center Attacking Midfield,2,Toulouse,130,['aaa2cfc7-471f-429b-8dfd-6d7e351174df'],0,,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.482,Pass,
,,,,,,,,,,,,,,,,,1.196297,,,,,,,,,,,,,,5be4151f-4f09-46ba-819d-53d32d7a6e9d,7,,"[60.1, 40.4]",3901255,0,,,,,2.8753407,,Left Foot,,,"[56.8, 41.3]",,Ground Pass,,3.4205263,,,Étienne Didot,3189.0,,,,,,1,From Kick Off,Wissam Ben Yedder,6723.0,Center Forward,2,Toulouse,130,['c9d72212-5abb-46b1-b1bd-1b4a97103870'],1,,,,,,,,,,,,,,,,,Toulouse,130,00:00:01.023,Pass,
,,,,,,,,,,,,,,,,,3.208255,,,,,,,,,,,,,,b5c38813-d9be-4e42-81d7-ac199b2b6670,10,,"[55.9, 41.6]",3901255,0,,,,,-0.5447021,,Right Foot,,,"[97.0, 16.7]",,High Pass,,48.054344,Incomplete,,Martin Braithwaite Christensen,4447.0,,,,,,1,From Kick Off,Étienne Didot,3189.0,Right Defensive Midfield,2,Toulouse,130,"['21527546-a910-4ae5-85a8-489b0ad3e796', '29ec7252-99da-4183-acef-7d12d292c590']",2,,,,,,,,,,,,,,,,,Toulouse,130,00:00:02.226,Pass,
,,,,,,,,,,,,,,,,,1.338899,,,,,,,,,,,,,,87d9a0a6-0209-4adc-be01-12a6b9227e30,13,,"[49.0, 0.1]",3901255,0,,,,,0.40024066,,,,,"[75.0, 11.1]",,High Pass,,28.231188,,,Martin Braithwaite Christensen,4447.0,,,,,Throw-in,1,From Throw In,Jacques François Moubandje,3024.0,Left Back,3,Toulouse,130,['a9f51f53-368e-4f5b-8f6c-4199fe45939f'],15,,,,,,,,,,,,,,,,,Toulouse,130,00:00:15.513,Pass,
