50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b056f88a-aaf7-4172-8a65-4c7877813a8a,1,,,,3900615,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25377, 'name': 'Rémy Riou'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 401478, 'name': 'Rémi Gomis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3004, 'name': 'Oswaldo Augusto Vizcarrondo Araújo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 10746, 'name': 'Ermir Lenjani'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4380, 'name': 'Guillaume Gillet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 7350, 'name': 'Birama Touré'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 3375, 'name': 'Adrien Thomasson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 12351, 'name': 'Alejandro Bedoya'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 31687, 'name': 'Adryan Oliveira Tavares'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 3114, 'name': 'Emiliano Sala'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Nantes,144,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2db7dd6b-94a1-4b4a-b780-9cc192482a32,2,,,,3900615,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 401508, 'name': 'Clément Maury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7428, 'name': 'Alexandre Coeff'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 2953, 'name': 'Abdou Kader Mangane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 7603, 'name': 'Jérémie Bréchet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3207, 'name': 'Pablo Jean Antoine Martínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 401507, 'name': 'Jérôme Le Moigne'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 7389, 'name': 'Amos Youga'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 401509, 'name': 'David Ducourtioux'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 6}, {'player': {'id': 7430, 'name': 'Kévin Mayi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 10616, 'name': 'Mohamed Larbi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 401505, 'name': 'Jacques Zoua Daogari'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Gazélec Ajaccio,160,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c7aacbc9-3889-4b81-a238-b16a26928d9e,3,,,,3900615,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,['859bfbca-9a69-4171-9467-9d22cff31db3'],0,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,859bfbca-9a69-4171-9467-9d22cff31db3,4,,,,3900615,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,['c7aacbc9-3889-4b81-a238-b16a26928d9e'],0,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,45c65ad3-8225-426b-b7fd-32d57efa28f7,1562,,,,3900615,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,104,Gazélec Ajaccio,160,['c3a67dd0-5f14-447f-b243-bd590f297256'],0,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c3a67dd0-5f14-447f-b243-bd590f297256,1563,,,,3900615,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,104,Gazélec Ajaccio,160,['45c65ad3-8225-426b-b7fd-32d57efa28f7'],0,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,2.035669,,,,,,,,,,,1c444568-fa5d-4e75-a2a6-b50ff775be42,5,,,"[60.0, 40.0]",3900615,0,,True,,,-2.6536338,,Right Foot,,,"[47.0, 33.1]",,Ground Pass,,14.717676,,,Birama Touré,7350.0,,,,,Kick Off,1,From Kick Off,Alejandro Bedoya,12351.0,Center Attacking Midfield,2,Nantes,144,['b930aa07-d6b4-4a35-9bd3-08bb480e062a'],0,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.730,Pass,
,,,,,,,,,,,,,,,,,,1.975021,,,,,,,,,,,ad9c1c15-d020-497b-81af-e7b468c48bb2,7,,,"[43.9, 30.3]",3900615,0,,,,,-1.6250067,,Right Foot,,,"[42.5, 4.5]",,Ground Pass,,25.837957,,,Ermir Lenjani,10746.0,,,,,,1,From Kick Off,Birama Touré,7350.0,Left Defensive Midfield,2,Nantes,144,['9b098b14-2159-4595-b445-221422e563d1'],3,,,,,,,,,,,,,,,,,Nantes,144,00:00:03.102,Pass,
,,,,,,,,,,,,,,,,,,1.764915,,,,,,,,,,,566acef3-0814-47c1-b666-1e243bca0113,10,,,"[42.5, 4.4]",3900615,0,,,,,2.2822554,,Left Foot,,,"[30.0, 18.9]",,Ground Pass,,19.14419,,,Oswaldo Augusto Vizcarrondo Araújo,3004.0,,,,,,1,From Kick Off,Ermir Lenjani,10746.0,Left Back,2,Nantes,144,['9737442e-4046-462d-a563-37ac8776e27c'],5,,,,,,,,,,,,,,,,,Nantes,144,00:00:05.572,Pass,
,,,,,,,,,,,,,,,,,,1.42072,,,,,,,,,,,56343f4e-b0ff-459b-bb4b-b033c96b8f3a,13,,,"[30.0, 18.9]",3900615,0,,,,,1.6604431,,Right Foot,,,"[27.6, 45.6]",,Ground Pass,,26.807648,,,Rémi Gomis,401478.0,,,,,,1,From Kick Off,Oswaldo Augusto Vizcarrondo Araújo,3004.0,Left Center Back,2,Nantes,144,['a4d076b9-89b3-46e4-9b2e-aaf249129561'],8,,,,,,,,,,,,,,,,,Nantes,144,00:00:08.431,Pass,
,,,,,,,,,,,,,,,,,,1.649827,,,,,,,,,,,7e7cef17-1428-447f-b917-6e6c9eb4db87,16,,,"[32.9, 51.3]",3900615,0,,,,,-1.7772963,,Right Foot,,,"[27.6, 26.0]",,Ground Pass,,25.849178,,,Oswaldo Augusto Vizcarrondo Araújo,3004.0,,,,,,1,From Kick Off,Rémi Gomis,401478.0,Right Center Back,2,Nantes,144,['3fac6c30-f61f-45fa-894f-32e5aeac6e01'],12,,,,,,,,,,,,,,,,,Nantes,144,00:00:12.551,Pass,
,,,,,,,,,,,,,,,,,,0.919362,,,,,,,,,,,2d896bbe-925e-4ab5-b7a3-76493f598087,19,,,"[30.3, 23.8]",3900615,0,,,,,-0.56137455,,Right Foot,,,"[40.0, 17.7]",,Ground Pass,,11.458621,,,Birama Touré,7350.0,,,,,,1,From Kick Off,Oswaldo Augusto Vizcarrondo Araújo,3004.0,Left Center Back,2,Nantes,144,['723b1527-1e38-44e6-90c7-5c88e764a8ec'],15,,,,,,,,,,,,,,,,,Nantes,144,00:00:15.793,Pass,
,,,,,,,,,,,,,,,,,,0.991959,,,,,,,,,,,9f8ca9de-e6c5-4344-8ecb-ba3c9088c7f3,21,,,"[40.0, 17.7]",3900615,0,,,,,2.640925,,Right Foot,,,"[34.7, 20.6]",,Ground Pass,,6.041523,,,Oswaldo Augusto Vizcarrondo Araújo,3004.0,,,,,,1,From Kick Off,Birama Touré,7350.0,Left Defensive Midfield,2,Nantes,144,['726cd246-a33f-4603-9e6d-b6201326424c'],16,,,,,,,,,,,,,,,,,Nantes,144,00:00:16.712,Pass,
