50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6ff008f3-e487-4235-a86b-c8f9905242e1,1,,,3901245,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bordeaux,146,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4509, 'name': 'Jérôme Prior'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 4428, 'name': 'Mathieu Debuchy'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 2946, 'name': 'Frédéric Guilbert'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 3256, 'name': 'Nicolas Pallois'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4628, 'name': 'Diego Armando Valentin Contento'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 7552, 'name': 'Clément Chantôme'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 3150, 'name': 'Jaroslav Plašil'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 3356, 'name': 'Valentín Vada'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 3109, 'name': 'Malcom Filipe Silva de Oliveira'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 6739, 'name': 'Diego Alejandro Rolan Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 7130, 'name': 'Cheick Tidiane Diabaté'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Bordeaux,146,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8af233da-0583-4942-84f7-31ad3f3f45e6,2,,,3901245,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bordeaux,146,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3008, 'name': 'Benjamin Lecomte'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 6335, 'name': 'Lamine Gassama'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 45688, 'name': 'Hamadou Karamoko'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 3769, 'name': 'Wesley Lautoa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 7392, 'name': 'Pape Abdou Paye'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 22587, 'name': 'Didier Ndong Ibrahim'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 3140, 'name': 'François Bellugou'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 7336, 'name': 'Jimmy Cabot'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 27}, {'player': {'id': 7567, 'name': 'Maxime Barthelmé'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 28}, {'player': {'id': 33178, 'name': 'Benjamin Moukandjo Bilé'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 12}, {'player': {'id': 3552, 'name': 'Benjamin Jeannot'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]}",Lorient,165,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,78a321d1-3c6b-43ed-887d-3e5873e4b5cb,3,,,3901245,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bordeaux,146,['5b61e0a5-a775-4d87-b2a5-c151ce992c54'],0,,,,,,,,,,,,,,,,Lorient,165,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5b61e0a5-a775-4d87-b2a5-c151ce992c54,4,,,3901245,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bordeaux,146,['78a321d1-3c6b-43ed-887d-3e5873e4b5cb'],0,,,,,,,,,,,,,,,,Bordeaux,146,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c30a95e7-8644-41f2-8423-75ba8845e3d0,1872,,,3901245,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,93,Bordeaux,146,['dff7fa1e-1179-4b7a-9c30-ec060c5dec35'],0,,,,,,,,,,,,,,,,Lorient,165,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dff7fa1e-1179-4b7a-9c30-ec060c5dec35,1873,,,3901245,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,93,Bordeaux,146,['c30a95e7-8644-41f2-8423-75ba8845e3d0'],0,,,,,,,,,,,,,,,,Bordeaux,146,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.660257,,,,,,,,,,,,a2fafaa7-647f-4b0d-b1d2-fc6bfdf7ce47,5,,"[61.0, 40.1]",3901245,0,,,,,-2.2974386,,Right Foot,,,,"[60.2, 39.2]",,Ground Pass,,1.2041595,,,Diego Alejandro Rolan Silva,6739.0,,,,,Kick Off,1,From Kick Off,Cheick Tidiane Diabaté,7130.0,Center Forward,2,Bordeaux,146,['1ed27a97-df1a-4567-942a-eaf7afb7db0e'],0,,,,,,,,,,,,,,,,Bordeaux,146,00:00:00.744,Pass,
,,,,,,,,,,,,,,,,1.143517,,,,,,,,,,,,9166bd33-3064-42a0-b935-76641558cf9f,8,,"[58.5, 39.2]",3901245,0,,,,,2.8642573,,Right Foot,,,,"[44.8, 43.1]",,Ground Pass,,14.244297,,,Clément Chantôme,7552.0,,,,,,1,From Kick Off,Diego Alejandro Rolan Silva,6739.0,Left Wing,2,Bordeaux,146,['8bfcb551-82dd-47a0-a6ac-54de5b2b9cd2'],1,,,,,,,,,,,,,,,,Bordeaux,146,00:00:01.605,Pass,
,,,,,,,,,,,,,,,,1.561252,,,,,,,,,,,,321a0695-80ff-40dd-b468-f24756a89c0d,11,,"[44.6, 44.8]",3901245,0,,,,,1.7126933,,Right Foot,,,,"[41.0, 70.0]",,Ground Pass,,25.455845,,,Mathieu Debuchy,4428.0,,,,,,1,From Kick Off,Clément Chantôme,7552.0,Center Defensive Midfield,2,Bordeaux,146,['df82ac18-b59a-4f5d-88fc-ba895b757cf2'],3,,,,,,,,,,,,,,,,Bordeaux,146,00:00:03.901,Pass,
,,,,,,,,,,,,,,,,1.552283,,,,,,,,,,,,9b2a934c-36f6-434f-917e-12d2c64f115a,14,,"[42.7, 67.9]",3901245,0,,,,,-2.2201114,,Right Foot,,,,"[32.3, 54.2]",,Ground Pass,,17.20029,,,Frédéric Guilbert,2946.0,,,,,,1,From Kick Off,Mathieu Debuchy,4428.0,Right Back,2,Bordeaux,146,['64a79a7b-fd6e-45b8-9b53-26c90dbdadf0'],6,,,,,,,,,,,,,,,,Bordeaux,146,00:00:06.058,Pass,
