50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c7a3ca5b-0d7b-46b8-b3c0-4f30be652812,1,,,,3901154,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,,0,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 36553, 'name': 'Matthieu Dreyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7301, 'name': 'Lossémy Karaboué'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 401479, 'name': 'Calvin Anele Ngcongca'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 31}, {'player': {'id': 42422, 'name': 'Dušan Veškovac'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 32}, {'player': {'id': 26752, 'name': 'Mouhamadou Dabo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 35}, {'player': {'id': 2969, 'name': 'Karim Azamoum'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 7415, 'name': 'Jessy Pi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 2993, 'name': 'Stéphane Darbion'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 401470, 'name': 'Fabien Camus'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 3161, 'name': 'Chaouki Ben Saada'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 18}, {'player': {'id': 15796, 'name': 'Babacar Gueye'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Troyes,133,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,09eb36e1-69d1-43ee-8915-520e6e65e62b,2,,,,3901154,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3008, 'name': 'Benjamin Lecomte'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 7392, 'name': 'Pape Abdou Paye'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 7346, 'name': 'Lindsay Rose'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 7211, 'name': 'Zargo Touré'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 7766, 'name': 'Walid Mesloub'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 3140, 'name': 'François Bellugou'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 7336, 'name': 'Jimmy Cabot'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 27}, {'player': {'id': 7567, 'name': 'Maxime Barthelmé'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 28}, {'player': {'id': 7615, 'name': 'Abdul Majeed Waris'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 3552, 'name': 'Benjamin Jeannot'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]}",Lorient,165,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,308a9126-07e1-4852-ad1c-933109a3d23b,3,,,,3901154,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,['15f3529e-6358-4e3b-b8a5-8efacbe3f8c0'],0,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,15f3529e-6358-4e3b-b8a5-8efacbe3f8c0,4,,,,3901154,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,['308a9126-07e1-4852-ad1c-933109a3d23b'],0,,,,,,,,,,,,,,,,Lorient,165,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,65a062ef-6e32-40a3-bb10-be6c68104485,2002,,,,3901154,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,109,Troyes,133,['bd5f165f-6c69-4974-a809-c8b271dc764f'],0,,,,,,,,,,,,,,,,Lorient,165,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bd5f165f-6c69-4974-a809-c8b271dc764f,2003,,,,3901154,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,109,Troyes,133,['65a062ef-6e32-40a3-bb10-be6c68104485'],0,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.455674,,,,,,,,,,,,9ad5ed62-134c-4faf-8b70-68df55ef8898,5,,,"[61.0, 40.1]",3901154,0,,,,,-2.1293957,,Right Foot,,,"[60.0, 38.5]",,Ground Pass,,1.8867962,,,Chaouki Ben Saada,3161.0,,,,,Kick Off,1,From Kick Off,Babacar Gueye,15796.0,Center Forward,2,Troyes,133,['7bf7fbea-8af7-48f6-b177-bf474050f2ee'],0,,,,,,,,,,,,,,,,Troyes,133,00:00:00.028,Pass,
,,,,,,,,,,,,,,,,,0.805957,,,,,,,,,,,,165699a9-bedd-4cde-a81b-0bb3447d45c2,8,,,"[60.4, 38.7]",3901154,0,,,,,2.8331747,,Left Foot,,,"[49.1, 42.3]",,Ground Pass,,11.859595,,,Jessy Pi,7415.0,,,,,,1,From Kick Off,Chaouki Ben Saada,3161.0,Center Attacking Midfield,2,Troyes,133,['fa2b9df1-0cb6-487d-be48-7f3a47d2d588'],0,,,,,,,,,,,,,,,,Troyes,133,00:00:00.587,Pass,
,,,,,,,,,,,,,,,,,1.789242,,,,,,,,,,,,ccb62309-7de2-44e8-8805-3d63cd5b0441,11,,,"[48.9, 42.3]",3901154,0,,,,,2.0572536,,Right Foot,,,"[37.9, 63.1]",,Ground Pass,,23.529556,,,Lossémy Karaboué,7301.0,,,,,,1,From Kick Off,Jessy Pi,7415.0,Left Defensive Midfield,2,Troyes,133,['45e3eb54-c5b0-4e6b-8e0c-9e55d80f8289'],2,,,,,,,,,,,,,,,,Troyes,133,00:00:02.496,Pass,
,,,,,,,,,,,,,,,,,0.891533,,,,,,,,,,,,99786842-1703-43df-bab2-f1b6d72e0dda,14,,,"[38.1, 62.9]",3901154,0,,,,,-0.6267429,,Right Foot,,,"[46.8, 56.6]",,Ground Pass,,10.7415085,,,Karim Azamoum,2969.0,,,,,,1,From Kick Off,Lossémy Karaboué,7301.0,Right Back,2,Troyes,133,['5d57f327-dcc8-49f2-867c-0e1bb81caa39'],4,,,,,,,,,,,,,,,,Troyes,133,00:00:04.435,Pass,
