50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,08910ce6-b499-43fd-b6f4-556dde5601d1,1,,,3900516,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,,0,,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4259, 'name': 'Stéphane Ruffier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 7707, 'name': 'François Clerc'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 4263, 'name': 'Loïc Perrin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 7347, 'name': 'Pierre-Yves Polomat'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3047, 'name': 'Benoît Assou-Ekotto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 32}, {'player': {'id': 3200, 'name': 'Renaud Cohade'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 3414, 'name': 'Vincent Pajot'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 3179, 'name': 'Nolan Roux'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 4254, 'name': 'Valentin Eysseric'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 4431, 'name': 'Kévin Monnet-Paquet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 4260, 'name': 'Romain Hamouma'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Saint-Étienne,135,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2896ea03-37b0-45dd-84ab-719f9b28f946,2,,,3900516,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,,0,,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3543, 'name': 'Steve Mandanda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 7857, 'name': 'Brice Dja Djédjé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8572, 'name': 'Karim Rekik'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3075, 'name': 'Javier Manquillo Gaitán'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 18874, 'name': 'Mauricio Aníbal Isla Isla'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3181, 'name': 'Lassana Diarra'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 4345, 'name': 'Lucas Ariel Ocampos'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3420, 'name': 'Rémy Cabella'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 13}, {'player': {'id': 3639, 'name': 'Georges-Kévin Nkoudou Mbida'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 3457, 'name': 'Michy Batshuayi Tunga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Marseille,147,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e2c22967-3414-4006-ac9e-5692f86b76d0,3,,,3900516,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,['c41a9fc5-4b64-43b2-9666-c5fe4aa72c4d'],0,,,,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c41a9fc5-4b64-43b2-9666-c5fe4aa72c4d,4,,,3900516,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,['e2c22967-3414-4006-ac9e-5692f86b76d0'],0,,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e57edc6b-a71c-452f-b6cd-d5953d6fc90f,2147,,,3900516,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,96,Saint-Étienne,135,['774d6b89-2786-4d0e-aa3c-7d9606277d0a'],0,,,,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,774d6b89-2786-4d0e-aa3c-7d9606277d0a,2148,,,3900516,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,96,Saint-Étienne,135,['e57edc6b-a71c-452f-b6cd-d5953d6fc90f'],0,,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.59715,,,,,,,,,,,,,,41a7ebed-6bac-4b4e-bf78-de5f99c0ac19,5,,"[61.0, 40.1]",3900516,0,,,,,1.7321714,,Right Foot,,"[60.3, 44.4]",,Ground Pass,,4.356604,,,,,Michy Batshuayi Tunga,3457.0,,,,,Kick Off,1,From Kick Off,Rémy Cabella,3420.0,Center Attacking Midfield,2,Marseille,147,['4cc8e508-b64a-41dd-8539-6c5afb9b1a7d'],0,,,,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.463,Pass,
,,,,,,,,,,,,,,,,,,0.20615,,,,,,,,,,,,,,412bcdd7-d953-4aa7-af5b-df46cd5ef316,7,,"[60.3, 44.6]",3900516,0,,,,,-1.5475447,,Right Foot,,"[60.4, 40.3]",,Ground Pass,,4.3011627,,,,,Rémy Cabella,3420.0,,,,,,1,From Kick Off,Michy Batshuayi Tunga,3457.0,Center Forward,2,Marseille,147,['0d8bbaff-2368-4adf-a2ba-dee09e9c166c'],1,,,,,,,,,,,,,,,,,,,,Marseille,147,00:00:01.060,Pass,
,,,,,,,,,,,,,,,,,,0.19001,,,,,,,,,,,,,,a1daf50c-b8ba-41e5-bfe2-88266e5d9c74,10,,"[60.3, 40.2]",3900516,0,,,,,1.7016237,,Right Foot,,"[59.8, 44.0]",,Ground Pass,,3.8327537,,,,,Michy Batshuayi Tunga,3457.0,,,,,,1,From Kick Off,Rémy Cabella,3420.0,Center Attacking Midfield,2,Marseille,147,['c138d75a-fb24-491d-8761-cea1d12031f9'],1,,,,,,,,,,,,,,,,,,,,Marseille,147,00:00:01.493,Pass,
,,,,,,,,,,,,,,,,,,0.985462,,,,,,,,,,,,,,77d261d7-c151-4e3d-aeea-5be96e2f9a8e,13,,"[60.0, 44.3]",3900516,0,,,,,-2.4798841,,Right Foot,,"[49.6, 36.2]",,Ground Pass,,13.182185,,,,,Lassana Diarra,3181.0,,,,,,1,From Kick Off,Michy Batshuayi Tunga,3457.0,Center Forward,2,Marseille,147,['a74adf36-1770-4711-9d55-c01eecc47b38'],1,,,,,,,,,,,,,,,,,,,,Marseille,147,00:00:01.763,Pass,
