50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7a8bd147-d9c5-4493-b92b-f2ade2432a9a,1,,,,3900555,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25377, 'name': 'Rémy Riou'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3144, 'name': 'Léo Dubois'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 3174, 'name': 'Lévy Koffi Djidji'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 3004, 'name': 'Oswaldo Augusto Vizcarrondo Araújo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 2943, 'name': 'Lucas Deaux'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3375, 'name': 'Adrien Thomasson'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 12351, 'name': 'Alejandro Bedoya'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 401477, 'name': 'Johan Audel'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 31687, 'name': 'Adryan Oliveira Tavares'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 3114, 'name': 'Emiliano Sala'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Nantes,144,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9201832d-8117-49f3-b68d-5f3bb4ee88ae,2,,,,3900555,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 2981, 'name': 'Alban Lafont'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 3030, 'name': 'Wergiton do Rosário Calmon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 4349, 'name': 'Issa Diop'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 16430, 'name': 'Uroš Spajić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 44065, 'name': 'William Matheus da Silva'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 2961, 'name': 'Yann Bodiger'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 31174, 'name': 'Jean-Daniel Akpa Akpro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 16522, 'name': 'Tongo Hamed Doumbia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 11540, 'name': 'Óscar Guido Trejo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 18}, {'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 40431, 'name': 'Aleksandar Pešić'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Toulouse,130,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cd5f82a7-8942-4cc6-b993-63f19eb08fda,3,,,,3900555,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,['eef64e41-5245-47b5-9708-fa3f001046ec'],0,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,eef64e41-5245-47b5-9708-fa3f001046ec,4,,,,3900555,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,['cd5f82a7-8942-4cc6-b993-63f19eb08fda'],0,,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,21134419-af2f-4323-a247-d9cfa94f2bb0,1808,,,,3900555,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,87,Nantes,144,['9a879524-b449-4ec7-84e2-99289916a908'],0,,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9a879524-b449-4ec7-84e2-99289916a908,1809,,,,3900555,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,87,Nantes,144,['21134419-af2f-4323-a247-d9cfa94f2bb0'],0,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.427182,,,,,,,,,,,,,265bcba0-e3d3-4a5a-b966-5261b4ba8596,5,,,"[61.0, 40.1]",3900555,0,True,,,-1.5707964,,Right Foot,,,,"[61.0, 37.7]",,Ground Pass,,2.4,,,Adrien Thomasson,3375.0,,,,,Kick Off,1,From Kick Off,Emiliano Sala,3114.0,Center Forward,2,Nantes,144,['4e2be85b-ed0e-4330-8d12-68206c21f116'],1,,,,,,,,,,,,,,,,,Nantes,144,00:00:01.341,Pass,
,,,,,,,,,,,,,,,,,,,,1.092256,,,,,,,,,,,,,1aa09ca4-99f6-463a-9c21-708a205a6a83,7,,,"[57.8, 33.5]",3900555,0,True,,,2.6885266,,Right Foot,,,,"[42.6, 40.9]",,Ground Pass,,16.90562,,,Lucas Deaux,2943.0,,,,,,1,From Kick Off,Adrien Thomasson,3375.0,Left Defensive Midfield,2,Nantes,144,['17388180-f2a1-4a81-8fcb-aab837e72442'],2,,,,,,,,,,,,,,,,,Nantes,144,00:00:02.446,Pass,
,,,,,,,,,,,,,,,,,,,,2.002197,,,,,,,,,,,,,507493b0-aecf-4d54-95cc-df02ea44cde7,9,,,"[43.0, 39.6]",3900555,0,,,,-1.4293524,,Right Foot,,,,"[47.4, 8.7]",,Ground Pass,,31.211697,,,Youssouf Sabaly,3404.0,,,,,,1,From Kick Off,Lucas Deaux,2943.0,Right Defensive Midfield,2,Nantes,144,['4cfc9cbd-8cff-44f9-bdd0-7050afb0d472'],4,,,,,,,,,,,,,,,,,Nantes,144,00:00:04.281,Pass,
,,,,,,,,,,,,,,,,,,,,1.369128,,,,,,,,,,,,,3514f462-1787-448f-8f11-31002d75dd62,12,,,"[57.4, 9.5]",3900555,0,,,,0.2617135,,Left Foot,,,,"[79.8, 15.5]",,Ground Pass,,23.189653,,,Emiliano Sala,3114.0,,,,,,1,From Kick Off,Youssouf Sabaly,3404.0,Left Back,2,Nantes,144,['4b2dadaa-ce66-46f8-b838-dcc10467d816'],7,,,,,,,,,,,,,,,,,Nantes,144,00:00:07.704,Pass,
