50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,a1df2523-1897-495d-b23e-e730ae2a74fe,1515,,"[105.3, 1.6]",3829460,39,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Paul-Georges Ntep de Madiba,4900.0,Left Center Forward,91,Rennes,134,['4dbad5a1-a034-4f0b-af00-413231347cab'],6,,,,,,,,,,,,,,,,,Rennes,134,00:39:06.203,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,8ebae9ca-f3a7-482f-b3ca-2fababe588d4,1520,,"[103.4, 24.7]",3829460,39,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Abdoulaye Doucouré,3292.0,Center Attacking Midfield,91,Rennes,134,['87011759-8378-437d-9ea9-43c639ceb76f'],12,,,,,,,,,,,,,,,,,Rennes,134,00:39:12.929,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,bac79255-58ed-4e75-a129-e19ffee49031,1528,,"[21.9, 67.7]",3829460,39,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Pedro Filipe Teodósio Mendes,3753.0,Right Center Back,92,Rennes,134,['4f4bd1e2-99d1-48ab-a259-b873b6f69885'],31,,,,,,,,,,,,,,,,,Rennes,134,00:39:31.182,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,55fca3f6-8da5-498c-b033-0bae3a1cb8ad,1534,,"[30.0, 23.9]",3829460,39,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lorik Agim Cana,10936.0,Left Center Back,93,Nantes,144,['55550f99-75c7-443c-96bd-88dcafe64ef0'],43,,,,,,,,,,,,,,,,,Nantes,144,00:39:43.461,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2dada0e3-d348-4696-8e60-9962c3583f8b,1537,,"[44.3, 8.9]",3829460,39,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Valentin Rongier,3365.0,Left Center Midfield,93,Nantes,144,['c7046bc4-fa2c-4b1e-8996-3b7763061257'],45,,,,,,,,,,,,,,,,,Nantes,144,00:39:45.535,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,6919382c-e8aa-45f4-85b4-52509fcf0917,1540,,"[98.4, 21.6]",3829460,39,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kolbeinn Sigþórsson,6284.0,Right Center Forward,93,Nantes,144,['03e1d849-e97c-4759-a845-bfca648cf421'],49,,,,,,,,,,,,,,,,,Nantes,144,00:39:49.892,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,abc1ac3f-00f0-499f-8819-16bb844fc28e,1544,,"[87.1, 5.3]",3829460,39,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Valentin Rongier,3365.0,Left Center Midfield,94,Nantes,144,"['1805900a-2295-46bb-9ab4-2f826357879d', 'af9f3eb6-053f-4807-84d9-3b76f437ee1f']",58,,,,,,,,,,,,,,,,,Nantes,144,00:39:58.480,Ball Receipt*,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0deab526-9316-42e4-a51f-c380935bb444,1548,,"[94.4, 3.2]",3829460,39,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Youssouf Sabaly,3404.0,Left Back,94,Nantes,144,"['37e1499e-5a60-4b68-bb57-67f4d46994d5', '911aaa7b-5574-4f19-98d4-2456f8be0cad']",59,,,,,,,,,,,,,,,,,Nantes,144,00:39:59.278,Ball Receipt*,True
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,29f93deb-2fc7-45b9-bacd-7e3f6f2aaa48,1551,,"[102.3, 7.2]",3829460,39,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Kolbeinn Sigþórsson,6284.0,Right Center Forward,94,Nantes,144,"['37e1499e-5a60-4b68-bb57-67f4d46994d5', '8b2a04c6-2bb3-4647-95b6-783ab4352071']",59,,,,,,,,,,,,,,,,,Nantes,144,00:39:59.578,Ball Receipt*,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,f5fc5ace-5b99-45f0-891e-d31937fff5f7,1554,,"[101.0, 17.1]",3829460,40,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Emiliano Sala,3114.0,Left Center Forward,95,Nantes,144,['8cd8e13c-257e-408b-a87f-a5d5d22284a4'],13,,,,,,,,,,,,,,,,,Nantes,144,00:40:13.268,Ball Receipt*,
