50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1d64b254-66fd-49b5-a19d-1b289e977c7c,1,,,,3829434,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 24469, 'name': 'Jesper Hansen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 2989, 'name': 'Alexander Djiku'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 26481, 'name': 'Sébastien Squillaci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 401194, 'name': 'François Modesto'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 40528, 'name': 'Florian Marange'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 4350, 'name': 'Yannick Cahuzac'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 7791, 'name': 'Seko Fofana'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3405, 'name': 'François Kamano'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 7349, 'name': 'Gaël Danic'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 4508, 'name': 'Julian Palmieri'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 15689, 'name': 'Floyd Ayité'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Bastia,2736,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7c3d304e-5a7c-4d2d-9688-c327f9585ab9,2,,,,3829434,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3322, 'name': 'Jonas Lössl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 401524, 'name': 'Maxime Baca'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 2936, 'name': 'Christophe Kerbrat'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 29}, {'player': {'id': 3124, 'name': 'Jérémy Sorbon'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 30182, 'name': 'Dorian Lévêque'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 3121, 'name': 'Moustapha Elhadji Diallo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 3348, 'name': 'Younousse Sankharé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 3122, 'name': 'Yannis Salibur'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 4434, 'name': 'Thibault Giresse'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 26}, {'player': {'id': 3213, 'name': 'Jimmy Briand'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 7483, 'name': 'Mana Dembélé'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Guingamp,142,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1094b2b4-8ef1-49ae-9eed-395fbae65cf2,3,,,,3829434,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,['319264d0-2d2a-4968-81b0-e1e457a8d456'],0,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,319264d0-2d2a-4968-81b0-e1e457a8d456,4,,,,3829434,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,['1094b2b4-8ef1-49ae-9eed-395fbae65cf2'],0,,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cbccdc2b-0a84-43ba-ae1b-4b1bcee5ca4c,1608,,,,3829434,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,Guingamp,142,['7c25fa8f-f9f4-4843-a1f3-08f9e1442a22'],0,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7c25fa8f-f9f4-4843-a1f3-08f9e1442a22,1609,,,,3829434,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,Guingamp,142,['cbccdc2b-0a84-43ba-ae1b-4b1bcee5ca4c'],0,,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.000,Half Start,
,,,,,,,,,,,,,,2.803975,,,,,,,,,,,,,3acf346f-c65b-40cb-8ba2-9f342c6f835c,5,,,"[61.0, 40.1]",3829434,0,,True,,,1.5707964,,Right Foot,,,"[61.0, 44.5]",,Ground Pass,,4.4,,,François Modesto,401194.0,,,,,,Kick Off,1,From Kick Off,Floyd Ayité,15689.0,Center Forward,2,Bastia,2736,['01c17903-f308-4c78-a7f7-6afafa99633c'],0,,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.203,Pass,
,,,,,,,,,,,,,,1.812862,,,,,,,,,,,,,3b5b51d7-9bf4-42e8-9c42-3ff0d04e45eb,7,,,"[31.8, 35.1]",3829434,0,,,,,-1.19029,,Left Foot,,,"[40.0, 14.6]",,Ground Pass,,22.079176,,,Florian Marange,40528.0,,,,,,,1,From Kick Off,François Modesto,401194.0,Left Center Back,2,Bastia,2736,['f4b5a074-3267-4c46-9d2e-accaa9559f98'],6,,,,,,,,,,,,,,,,,Bastia,2736,00:00:06.870,Pass,
,,,,,,,,,,,,,,2.885998,,,,,,,,,,,,,c324ba1f-9542-4b88-9ea4-629c28adc38e,10,,,"[39.7, 14.3]",3829434,0,,,,,0.1592518,,Left Foot,,,"[92.0, 22.7]",,High Pass,,52.970276,Incomplete,,Julian Palmieri,4508.0,,,,,,,1,From Kick Off,Florian Marange,40528.0,Left Back,2,Bastia,2736,"['01b3c423-2f08-4a0a-b764-70e2a3654f4c', 'fe9e91de-b7dd-479c-a008-b39f8da57a28']",9,,,,,,,,,,,,,,,,,Bastia,2736,00:00:09.341,Pass,
,,,,,,,,,,,,,,1.155773,,,,,,,,,,,,,590a6937-e3b1-4116-afdd-aa2ed2f52d61,13,,,"[84.1, 0.1]",3829434,0,,,,,1.5116549,,,,,"[85.0, 15.3]",,Low Pass,,15.226622,,,Gaël Danic,7349.0,,,,,,Throw-in,1,From Throw In,Florian Marange,40528.0,Left Back,3,Bastia,2736,['e52829a5-3ba0-4453-880b-7bbfd74699d8'],19,,,,,,,,,,,,,,,,,Bastia,2736,00:00:19.643,Pass,
,,,,,,,,,,,,,,1.092177,,,,,,,,,,,,,7be9c50e-bfe1-4598-b5e0-933220d949fb,16,,,"[85.0, 15.3]",3829434,0,,,,,0.5880026,,Left Foot,,,"[91.3, 19.5]",,Ground Pass,,7.5716577,,,Julian Palmieri,4508.0,,,,,,,1,From Throw In,Gaël Danic,7349.0,Center Attacking Midfield,3,Bastia,2736,['80332886-cafc-4473-8ec0-da0f0a62ad1c'],20,,,,,,,,,,,,,,,,,Bastia,2736,00:00:20.840,Pass,
