50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.061263,,,,,,,,,,27f0abe5-bb96-4ab5-b872-cbecd34dc686,869,,,"[50.4, 0.1]",3893824,21,,True,,,0.76060987,,,,,,"[69.0, 17.8]",High Pass,,25.675863,,Incomplete,,,,,,,,Throw-in,1,From Throw In,Ashleigh Plumptre,135755.0,Left Back,42,Nigeria Women's,1213,['b23a3129-c7a7-4b69-85ec-61d46116730c'],51,,,,,,,,,,,,,,,,,,Nigeria Women's,1213,00:21:51.726,Pass,
,,,,,,,,,,,,,,,,,,2.018335,,,,,,,,,,2392cfdf-1317-4aeb-9ff1-5c71c5ae4736,871,,,"[46.9, 58.2]",3893824,21,,,,,-1.7351763,,Right Foot,,,,"[43.4, 37.1]",Ground Pass,,21.388315,,,,Ruesha Littlejohn,35406.0,,,,,,1,Regular Play,Lily Agg,327715.0,Right Defensive Midfield,43,Republic of Ireland Women's,16768,['9e18474f-7501-4307-a977-10049d30d48c'],53,,,,,,,,,,,,,,,,,,Republic of Ireland Women's,16768,00:21:53.793,Pass,
,,,,,,,,,,,,,,,,,,1.583299,,,,,,,,,,bfd71f96-0e5a-4e52-b50e-bf6c0898a91d,873,,,"[43.0, 37.4]",3893824,21,,,,,-1.5707964,,Right Foot,,,,"[43.0, 15.4]",Ground Pass,,22.0,,,,Katie McCabe,15620.0,,,,,,1,Regular Play,Ruesha Littlejohn,35406.0,Left Defensive Midfield,43,Republic of Ireland Women's,16768,['6302e2ab-076a-42a4-a890-5f460f040aa2'],55,,,,,,,,,,,,,,,,,,Republic of Ireland Women's,16768,00:21:55.811,Pass,
,,,,,,,,,,,,,,,,,,1.392127,,,,,,,,,,252767cb-5578-4a9e-b3aa-db502585a59e,876,,,"[50.4, 14.3]",3893824,22,,,,,2.6135182,,Left Foot,,,,"[39.6, 20.6]",Ground Pass,,12.5032,,,,Megan Connolly,23413.0,,,,,,1,Regular Play,Katie McCabe,15620.0,Left Wing Back,43,Republic of Ireland Women's,16768,['cff61278-7df8-46b8-8d3c-59ebb541c6ab'],1,,,,,,,,,,,,,,,,,,Republic of Ireland Women's,16768,00:22:01.738,Pass,
,,,,,,,,,,,,,,,,,,1.918106,,,,,,,,,,2953a3b3-148e-4581-98bd-c443865b8ba5,879,,,"[38.1, 21.1]",3893824,22,,,,,1.3858668,,Right Foot,,,,"[46.2, 64.4]",Ground Pass,,44.051105,,,,Niamh Fahey,19777.0,,True,,,,1,Regular Play,Megan Connolly,23413.0,Left Center Back,43,Republic of Ireland Women's,16768,['b4426c59-e62d-459e-ad5c-91b37068df91'],4,,,,,,,,,,,,,,,,,,Republic of Ireland Women's,16768,00:22:04.542,Pass,
,,,,,,,,,,,,,,,,,,1.364862,,,,,,,,,,45548fa0-2b3c-4f2c-bd8b-073158ec31d8,882,,,"[68.0, 59.9]",3893824,22,,,,,-2.513461,,Right Foot,,,,"[50.1, 46.9]",Ground Pass,,22.122612,,,,Louise Quinn,15621.0,,,,,,1,Regular Play,Niamh Fahey,19777.0,Right Center Back,43,Republic of Ireland Women's,16768,['5216597a-2bc9-4a4f-bfc9-5fb0cd945919'],11,,,,,,,,,,,,,,,,,,Republic of Ireland Women's,16768,00:22:11.693,Pass,
,,,,,,,,,,,,,,,,,,1.857595,,,,,,,,,,978136cf-aa31-44b2-9ba8-ba8fa8879f91,885,,,"[48.7, 46.9]",3893824,22,,,,,-1.487051,,Right Foot,,,,"[51.0, 19.5]",Ground Pass,,27.496363,,,,Megan Connolly,23413.0,,,,,,1,Regular Play,Louise Quinn,15621.0,Center Back,43,Republic of Ireland Women's,16768,['24db3628-31b0-4b6b-bc1f-0e3e9b582996'],14,,,,,,,,,,,,,,,,,,Republic of Ireland Women's,16768,00:22:14.191,Pass,
,,,,,,,,,,,,,,,,,,1.462298,,,,,,,,,,4314ab68-61cb-4a68-b0b8-1e48c0a8a6a0,888,,,"[68.3, 13.6]",3893824,22,,,,,-0.5633163,,Right Foot,,,,"[87.3, 1.6]",Ground Pass,,22.472204,,,,Katie McCabe,15620.0,,,,,,1,Regular Play,Megan Connolly,23413.0,Left Center Back,43,Republic of Ireland Women's,16768,['a11275df-4c8a-4117-9dbb-fc4a4a87c1c1'],19,,,,,,,,,,,,,,,,,,Republic of Ireland Women's,16768,00:22:19.163,Pass,
,,,,,,,,,,,,,,,,,,0.748789,,,,,,,,,,4a49b67c-46fb-4cba-8867-86ce981df26b,891,,,"[86.5, 19.7]",3893824,22,,,,,2.0548491,,Left Foot,,,,"[81.4, 29.4]",Ground Pass,,10.959015,,Incomplete,,Lily Agg,327715.0,,,,,,1,Regular Play,Katie McCabe,15620.0,Left Wing Back,43,Republic of Ireland Women's,16768,"['73f144fa-d009-40e2-af86-904d07686e49', 'b126e6c2-359f-4573-bb72-71f334b44f04']",25,,,,,,,,,,,,,,,,,,Republic of Ireland Women's,16768,00:22:25.873,Pass,
,,,,,,,,,,,,,,,,,,0.607452,,,,,,,,,,01c388ae-10d5-44af-87a2-aa2bb26cd26d,896,,,"[37.8, 49.0]",3893824,22,,,,,1.4152015,,Right Foot,,,,"[39.4, 59.2]",Ground Pass,,10.324728,,,,Antionette Oyedupe Payne,50020.0,,,,,,1,Regular Play,Asisat Lamina Oshoala,24881.0,Center Forward,44,Nigeria Women's,1213,"['64a1102a-82bf-4b93-aef1-2096fc1ba0cc', '8dd78372-56fa-4584-872b-b5a0f3021fef']",27,,,,,,,,,,,,,,,,,,Nigeria Women's,1213,00:22:27.594,Pass,True
,,,,,,,,,,,,,,,,,,1.115856,,,,,,,,,,b488f8af-d529-40b6-80aa-cf9e21f4c40d,903,,,"[37.7, 59.6]",3893824,22,,,,,1.5623219,,Right Foot,,,,"[37.8, 71.4]",Ground Pass,,11.800424,,,,Michelle Alozie,106836.0,,,,,,1,Regular Play,Antionette Oyedupe Payne,50020.0,Center Attacking Midfield,44,Nigeria Women's,1213,['72311613-a1e9-4895-a96d-d23a7f0d22ef'],36,,,,,,,,,,,,,,,,,,Nigeria Women's,1213,00:22:36.909,Pass,
,,,,,,,,,,,,,,,,,,1.174376,,,,,,,,,,f6a6451f-5b03-4ec3-b197-05928bbdcc39,906,,,"[34.6, 72.2]",3893824,22,,,,,-2.4682236,,Right Foot,,,,"[25.7, 65.1]",Ground Pass,,11.385077,,,,Osinachi Marvis Ohale,25470.0,,,,,,1,Regular Play,Michelle Alozie,106836.0,Right Back,44,Nigeria Women's,1213,['ee565fca-1359-41bb-a464-f4538d379630'],38,,,,,,,,,,,,,,,,,,Nigeria Women's,1213,00:22:38.959,Pass,
,,,,,,,,,,,,,,,,,,2.556707,,,,,,,,,,aaf27683-8f17-4b06-827a-7cfa3997dd0c,909,,,"[38.9, 53.9]",3893824,22,,,,,-1.2749766,,Right Foot,,,,"[51.7, 11.9]",High Pass,,43.907173,,,,Ashleigh Plumptre,135755.0,,True,,,,1,Regular Play,Osinachi Marvis Ohale,25470.0,Right Center Back,44,Nigeria Women's,1213,['d9630d98-4dcd-4af0-bd0b-0401c6d510c5'],45,,,,,,,,,,,,,,,,,,Nigeria Women's,1213,00:22:45.404,Pass,
