50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2d30fa05-a899-4dda-bbf2-26f35af9c956,1,,,3901796,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands Women's,851,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 32339, 'name': 'Daphne van Domselaar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10645, 'name': 'Sherida Spitse'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 10647, 'name': 'Stephanie van der Gragt'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 10666, 'name': 'Dominique Johanna Anna Petrone Janssen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 63788, 'name': 'Victoria Pelova'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 17}, {'player': {'id': 62962, 'name': 'Esmee Brugts'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 22}, {'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 10650, 'name': 'Jill Roord'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 10656, 'name': 'Lineth Beerensteyn'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 10649, 'name': 'Lieke Martens'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Netherlands Women's,851,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,09233588-6842-4f0f-929d-f659a96e94a3,2,,,3901796,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands Women's,851,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25746, 'name': 'Kaylin Swart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25520, 'name': 'Lebogang Ramalepe'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 25747, 'name': 'Bambanani Nolufefe Mbane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 25514, 'name': 'Noko Matlou'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 402118, 'name': 'Karabo Dhlamini'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 402119, 'name': 'Bongeka Gamede'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 3}, {'player': {'id': 25521, 'name': 'Kholosa Biyana'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 25511, 'name': 'Jermaine Seoposenwe'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 402126, 'name': 'Hildah Tholakele Magaia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 5052, 'name': 'Thembi Kgatlana'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",South Africa Women's,1216,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,bfd51e55-bdf0-4f83-aaf2-396c6bec9c97,3,,,3901796,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands Women's,851,['0fa067e3-905d-45d8-8c02-556f93f6ed62'],0,,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0fa067e3-905d-45d8-8c02-556f93f6ed62,4,,,3901796,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands Women's,851,['bfd51e55-bdf0-4f83-aaf2-396c6bec9c97'],0,,,,,,,,,,,,,,,,,,South Africa Women's,1216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,e1eb73f6-9c77-48e1-9ed1-57f1d7bfce44,1935,,,3901796,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,South Africa Women's,1216,['8c2c9848-9c75-4e56-81d6-da7db75a39f1'],0,,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,8c2c9848-9c75-4e56-81d6-da7db75a39f1,1936,,,3901796,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,South Africa Women's,1216,['e1eb73f6-9c77-48e1-9ed1-57f1d7bfce44'],0,,,,,,,,,,,,,,,,,,South Africa Women's,1216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.262637,,,,,,,,,,8f084a35-c42a-4b5c-be8f-644cb77cdc72,5,,"[60.0, 40.0]",3901796,0,,,,-3.0713565,,Right Foot,,,"[40.1, 38.6]",,Ground Pass,,19.949186,,,Stephanie van der Gragt,10647.0,,,,,,Kick Off,1,From Kick Off,Jackie Groenen,10654.0,Center Defensive Midfield,2,Netherlands Women's,851,['935f103d-578c-4628-943f-8e2d212ff300'],0,,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:00.387,Pass,
,,,,,,,,,,,,,,,,,3.203988,,,,,,,,,,0137c6dd-19eb-48ee-bd9f-554f10e007fe,8,,"[39.7, 44.3]",3901796,0,,,,0.20665082,,Right Foot,,,"[87.4, 54.3]",,High Pass,,48.736946,Incomplete,,,,,,,,,,1,From Kick Off,Stephanie van der Gragt,10647.0,Center Back,2,Netherlands Women's,851,['2e0d7e8d-ed1a-40ea-a160-02eb394cce11'],3,,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:03.068,Pass,
,,,,,,,,,,,,,,,,,1.759972,,,,,,,,,,2e0d7e8d-ed1a-40ea-a160-02eb394cce11,9,,"[32.7, 25.8]",3901796,0,,,,0.14867452,,Head,,,"[55.4, 29.2]",,High Pass,,22.953213,Incomplete,,,,,,,,,Recovery,1,From Kick Off,Bambanani Nolufefe Mbane,25747.0,Right Center Back,2,Netherlands Women's,851,"['0137c6dd-19eb-48ee-bd9f-554f10e007fe', '81678419-aaaa-4ad3-9b92-fc88ef8447f3']",6,,,,,,,,,,,,,,,,,,South Africa Women's,1216,00:00:06.272,Pass,
,,,,,,,,,,,,,,,,,2.649473,,,,,,,,,,092a2464-fe5d-4839-b629-3bd4e4f95af9,12,,"[64.5, 53.6]",3901796,0,,,,1.010202,,Right Foot,,,"[75.8, 71.6]",,Ground Pass,,21.253,,,Victoria Pelova,63788.0,,,,,,,1,From Kick Off,Jackie Groenen,10654.0,Center Defensive Midfield,2,Netherlands Women's,851,['4c37825a-8375-408f-8b02-b2176d3f45d7'],8,,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:08.944,Pass,
