50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,368d3ad2-5642-49c6-9d41-e46f34064bb1,1,,,,3893829,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Panama Women's,16803,,0,,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 402781, 'name': 'Yenith Elizabett Bailey de la Cruz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 402794, 'name': 'Hilary Stacy Jaén Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 402792, 'name': 'Wendy Yisbel Natis Bárcenas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 402786, 'name': 'Yomira Tibisay Pinzón Ríos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 402784, 'name': 'Carina Alicia Baltrip-Reyes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 402798, 'name': 'Deysiré Mayte Salazar Biscaino'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 402788, 'name': 'Emily Masiel Cedeño Coba'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 359388, 'name': 'Aldrith Ivana Quintero Humphries'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 402790, 'name': 'Carmen Milagros Montenegro Martínez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 395287, 'name': 'Riley Tanner Rintala'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 13}, {'player': {'id': 361339, 'name': 'Marta Alexandra Cox Villarreal'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Panama Women's,16803,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9789e17e-5660-4a16-951c-0e65b4bb34be,2,,,,3893829,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Panama Women's,16803,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 15615, 'name': 'Pauline Peyraud Magnin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 10418, 'name': 'Eve Perisset'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 31784, 'name': 'Maëlle Lakrar'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 30969, 'name': 'Elisa De Almeida'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 31783, 'name': 'Estelle Cascarino'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 31529, 'name': 'Léa Le Garrec'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 10272, 'name': 'Onema Grace Geyoro'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 49233, 'name': 'Vicki Becho'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 23}, {'player': {'id': 15471, 'name': 'Selma Bacha'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 13}, {'player': {'id': 31636, 'name': 'Clara Mateo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 12}, {'player': {'id': 10137, 'name': 'Kadidiatou Diani'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",France Women's,861,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ef7d79fa-2b4b-4d99-9fd9-ea6d8157057b,3,,,,3893829,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Panama Women's,16803,['4b32d497-34c2-4aa4-ae9b-fdaedc4c8471'],0,,,,,,,,,,,,,,,,,,Panama Women's,16803,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4b32d497-34c2-4aa4-ae9b-fdaedc4c8471,4,,,,3893829,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Panama Women's,16803,['ef7d79fa-2b4b-4d99-9fd9-ea6d8157057b'],0,,,,,,,,,,,,,,,,,,France Women's,861,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,52d5a263-e6f0-4f52-a2f8-037243b024c0,1598,,,,3893829,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,France Women's,861,['c434de0e-0b22-4bb3-8eac-74bb5147be1c'],0,,,,,,,,,,,,,,,,,,France Women's,861,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c434de0e-0b22-4bb3-8eac-74bb5147be1c,1599,,,,3893829,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,France Women's,861,['52d5a263-e6f0-4f52-a2f8-037243b024c0'],0,,,,,,,,,,,,,,,,,,Panama Women's,16803,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.811495,,,,,,,,,,,,,,083bafc6-d457-4f62-9803-f922ce84f807,5,,,"[60.0, 40.0]",3893829,0,,,,,3.1027017,,Right Foot,,,,"[34.3, 41.0]",,Ground Pass,,25.719448,,,Wendy Yisbel Natis Bárcenas,402792.0,,,,,,Kick Off,1,From Kick Off,Marta Alexandra Cox Villarreal,361339.0,Center Forward,2,Panama Women's,16803,['e3a8974b-d8f1-4d39-93d7-0d38af51aaf0'],0,,,,,,,,,,,,,,,,,,Panama Women's,16803,00:00:00.172,Pass,
,,,,,,,,,,,,,,,,2.783742,,,,,,,,,,,,,,c4458627-2855-499b-bfad-4b08ed042600,8,,,"[34.5, 41.4]",3893829,0,,,,,-0.31656924,,Right Foot,,,,"[80.9, 26.2]",,High Pass,,48.82622,Incomplete,,Riley Tanner Rintala,395287.0,,,,,,,1,From Kick Off,Wendy Yisbel Natis Bárcenas,402792.0,Right Center Back,2,Panama Women's,16803,"['92c60a78-4df0-4162-a1fd-dd931cacd4bf', 'fb6700df-c930-4aa8-81ef-061d625f4c1d']",2,,,,,,,,,,,,,,,,,,Panama Women's,16803,00:00:02.023,Pass,
,,,,,,,,,,,,,,,,2.069853,,,,,,,,,,,,,,fb6700df-c930-4aa8-81ef-061d625f4c1d,10,,,"[39.2, 53.9]",3893829,0,,,,,-0.38528645,,Head,,,,"[57.2, 46.6]",,High Pass,,19.423954,,,Onema Grace Geyoro,10272.0,,,,,,Recovery,1,Regular Play,Maëlle Lakrar,31784.0,Right Center Back,3,France Women's,861,"['08e97e5a-aeb3-467b-80be-51be1f0a9d7d', 'c4458627-2855-499b-bfad-4b08ed042600']",4,,,,,,,,,,,,,,,,,,France Women's,861,00:00:04.807,Pass,
,,,,,,,,,,,,,,,,1.510644,,,,,,,,,,,,,,417b76c4-9b2b-40fd-b8bb-14da795744d3,14,,,"[56.9, 47.2]",3893829,0,,,,,1.4885646,,Other,,,,"[58.4, 65.4]",,Low Pass,,18.26171,,,Vicki Becho,49233.0,,,,,,,1,Regular Play,Onema Grace Geyoro,10272.0,Left Defensive Midfield,3,France Women's,861,"['45d15c3f-2c60-4db5-a019-e575f92eff90', '77a63fa3-4eb8-4a42-8f23-370b1aa10e56']",6,,,,,,,,,,,,,,,,,,France Women's,861,00:00:06.892,Pass,True
