50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,22a36f18-7f4a-4c76-8261-0576a931f740,1,,,,3893791,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain Women's,863,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 49830, 'name': 'María Isabel Rodríguez Rivero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 46639, 'name': 'Ona Batlle Pascual'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 10165, 'name': 'Irene Paredes Hernandez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 49831, 'name': 'Ivana Andrés Sanz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 49836, 'name': 'Olga  Carmona García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 49835, 'name': 'Teresa Abelleira Dueñas'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 3}, {'player': {'id': 15284, 'name': 'Aitana Bonmati Conca'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 10151, 'name': 'Jennifer Hermoso Fuentes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 49913, 'name': 'Athenea del Castillo Belvide'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 222682, 'name': 'Salma Paralluelo Ayingono'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 50146, 'name': 'Esther Gonzalez Rodríguez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Spain Women's,863,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,91f9ba00-b980-4a60-bd0c-8c3adce56d33,2,,,,3893791,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain Women's,863,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 401802, 'name': 'Daniela Solera Vega'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 401808, 'name': 'Fabiola Villalobos Morales'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 34477, 'name': 'Mariana De Los Angeles Benavidez'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 361135, 'name': 'Valeria del Campo Gutiérrez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 401803, 'name': 'María Paula Coto González'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 294448, 'name': 'María Paula Elizondo'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 12}, {'player': {'id': 34486, 'name': 'Gloriana Jesus Villalobos Vega'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 34480, 'name': 'Katherine Maria Alvarado Aguilar'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 30958, 'name': 'Melissa Herrera Monge'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 34483, 'name': 'Priscila Chinchilla'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 34478, 'name': 'María Paula Salas'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Costa Rica Women's,1832,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,97d0ebbb-1445-4844-a4cb-51d1f95c86ee,3,,,,3893791,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain Women's,863,['dcd40955-0500-4262-8c78-fdfb71a866f6'],0,,,,,,,,,,,,,,,,,Spain Women's,863,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,dcd40955-0500-4262-8c78-fdfb71a866f6,4,,,,3893791,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain Women's,863,['97d0ebbb-1445-4844-a4cb-51d1f95c86ee'],0,,,,,,,,,,,,,,,,,Costa Rica Women's,1832,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,3e16b4f2-0189-46e1-9537-175e55d2c5e1,1700,,,,3893791,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,76,Spain Women's,863,['701884d6-cddf-4bf5-b27b-eb92fce13102'],0,,,,,,,,,,,,,,,,,Costa Rica Women's,1832,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,701884d6-cddf-4bf5-b27b-eb92fce13102,1701,,,,3893791,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,76,Spain Women's,863,['3e16b4f2-0189-46e1-9537-175e55d2c5e1'],0,,,,,,,,,,,,,,,,,Spain Women's,863,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.04403,,,,,,,,,,,550ee9c4-8961-4260-b0c7-603c8f8939f2,5,,,"[61.0, 40.1]",3893791,0,,,,,3.1258044,,Right Foot,,,,"[42.0, 40.4]",,Ground Pass,,19.002369,,,Teresa Abelleira Dueñas,49835.0,,,,,Kick Off,1,From Kick Off,Esther Gonzalez Rodríguez,50146.0,Center Forward,2,Spain Women's,863,['ba4a237e-11e3-4f0d-80da-abbb0a05d04a'],1,,,,,,,,,,,,,,,,,Spain Women's,863,00:00:01.094,Pass,
,,,,,,,,,,,,,,,,,0.970148,,,,,,,,,,,7c5dc277-7a84-4c5e-b2b8-bebaefe874c4,8,,,"[44.3, 40.5]",3893791,0,,,,,1.2760662,,Left Foot,,,,"[47.7, 51.7]",,Ground Pass,,11.7046995,,,Aitana Bonmati Conca,15284.0,,,,,,1,From Kick Off,Teresa Abelleira Dueñas,49835.0,Center Defensive Midfield,2,Spain Women's,863,['943aca2a-96d8-4c54-9dc9-d01b9c868f1e'],2,,,,,,,,,,,,,,,,,Spain Women's,863,00:00:02.877,Pass,
,,,,,,,,,,,,,,,,,1.765546,,,,,,,,,,,4a34b16e-e971-4355-ab0b-f7a741bfa759,11,,,"[52.6, 55.7]",3893791,0,,,,,1.536911,,Left Foot,,,,"[53.0, 67.5]",,Ground Pass,,11.806778,,,Ona Batlle Pascual,46639.0,,,,,,1,From Kick Off,Aitana Bonmati Conca,15284.0,Right Center Midfield,2,Spain Women's,863,['5d3b3608-7cf4-4c4b-895a-abf2ccae2aa0'],5,,,,,,,,,,,,,,,,,Spain Women's,863,00:00:05.366,Pass,
,,,,,,,,,,,,,,,,,1.806024,,,,,,,,,,,da12c87a-2290-4d8a-bb6c-4445e482e0f9,14,,,"[53.9, 68.1]",3893791,0,,,,,-1.58642,,Right Foot,,,,"[53.5, 42.5]",,Ground Pass,,25.603125,,,Teresa Abelleira Dueñas,49835.0,,,,,,1,From Kick Off,Ona Batlle Pascual,46639.0,Right Back,2,Spain Women's,863,['c151cbe3-021c-4190-8ef3-07944fbd5eed'],8,,,,,,,,,,,,,,,,,Spain Women's,863,00:00:08.054,Pass,
