50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0ee1f425-df51-4d4b-bf46-f0d943842f9c,1,,,3893795,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark Women's,853,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 276442, 'name': 'Lene Christensen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15789, 'name': 'Rikke Læntver Sevecke'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 87185, 'name': 'Stine Ballisager Pedersen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10111, 'name': 'Simone Boye-Sørensen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 10088, 'name': 'Katrine Veje'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 32230, 'name': 'Karen Holmgaard'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 32699, 'name': 'Josefine Hasbo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 2}, {'player': {'id': 276443, 'name': 'Kathrine Møller Kühl'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 87195, 'name': 'Janni Thomsen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 10274, 'name': 'Nicoline Sørensen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 10108, 'name': 'Pernille Mosegaard Harder'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Denmark Women's,853,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,667532a0-c952-4e73-bec5-c2151708c7eb,2,,,3893795,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark Women's,853,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 402016, 'name': 'Huan Xu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 131575, 'name': 'Mengwen Li'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 25485, 'name': 'Shanshan Wang'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 11}, {'player': {'id': 25484, 'name': 'Yao Wei'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 8}, {'player': {'id': 131583, 'name': 'Qiaozhu Chen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 25490, 'name': 'Rui Zhang'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 131579, 'name': 'Lina Yang'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 131580, 'name': 'Xin Zhang'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 6}, {'player': {'id': 402025, 'name': 'Linyan Zhang'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 402019, 'name': 'Chengshu Wu'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 25482, 'name': 'Jiahui Lou'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",China PR Women's,1207,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,f802444d-3fff-4ca0-beca-d58670d063fe,3,,,3893795,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark Women's,853,['a882b973-bb80-4912-9412-af7f133cd8bb'],0,,,,,,,,,,,,,,,,China PR Women's,1207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,a882b973-bb80-4912-9412-af7f133cd8bb,4,,,3893795,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark Women's,853,['f802444d-3fff-4ca0-beca-d58670d063fe'],0,,,,,,,,,,,,,,,,Denmark Women's,853,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,62d0545c-2d87-4ee3-af87-c2e5448ea925,1943,,,3893795,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,97,Denmark Women's,853,['35956f47-d71b-44c8-b4e5-3567a755891a'],0,,,,,,,,,,,,,,,,Denmark Women's,853,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,35956f47-d71b-44c8-b4e5-3567a755891a,1944,,,3893795,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,97,Denmark Women's,853,['62d0545c-2d87-4ee3-af87-c2e5448ea925'],0,,,,,,,,,,,,,,,,China PR Women's,1207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.4662,,,,,,,,,6a62a071-5b31-4c6f-9cb4-e89e0379d6b7,5,,"[60.0, 40.0]",3893795,0,,,,,2.5871272,,Right Foot,,,,"[38.2, 53.5]",,Ground Pass,,25.641567,,Stine Ballisager Pedersen,87185.0,,,,,Kick Off,1,From Kick Off,Kathrine Møller Kühl,276443.0,Left Center Midfield,2,Denmark Women's,853,['fdfd6612-353b-4347-9c38-a50cd814ca72'],0,,,,,,,,,,,,,,,,Denmark Women's,853,00:00:00.703,Pass,
,,,,,,,,,,,,,,,,,,2.931287,,,,,,,,,ffee6c25-ec0b-4886-89b6-31604b2a615f,8,,"[41.5, 55.3]",3893795,0,,,,,0.14425415,,Right Foot,,,,"[89.0, 62.2]",,High Pass,,47.998543,,Janni Thomsen,87195.0,,,,,,1,From Kick Off,Stine Ballisager Pedersen,87185.0,Right Center Back,2,Denmark Women's,853,['1b3af1b0-f205-441d-b2c2-bfd7b34cd931'],4,,,,,,,,,,,,,,,,Denmark Women's,853,00:00:04.077,Pass,
,,,,,,,,,,,,,,,,,,0.799358,,,,,,,,,23bdde33-31fb-44c9-b518-d8bbaeae573b,11,,"[89.0, 62.2]",3893795,0,,,,True,0.10530013,,,,,,"[101.3, 63.5]",,Low Pass,,12.368508,,Pernille Mosegaard Harder,10108.0,,,,,,1,From Kick Off,Janni Thomsen,87195.0,Right Wing,2,Denmark Women's,853,"['567a5319-d9f5-4792-872b-b1354ec133cf', 'beb7c3f9-2c2b-488f-b656-08c23c540fd3']",7,,,,,,,,,,,,,,,,Denmark Women's,853,00:00:07.048,Pass,True
,,,,,,,,,,,,,,,,,,1.670997,,,,,,,,,b03dca85-d485-432a-bc92-6692f6bb937a,18,,"[113.8, 80.0]",3893795,0,,,,,-1.5707964,,,,,,"[113.8, 54.4]",,High Pass,,25.6,,Karen Holmgaard,32230.0,,,,,Throw-in,1,From Throw In,Rikke Læntver Sevecke,15789.0,Right Back,3,Denmark Women's,853,['d38a1eec-d9e9-4f27-859d-0e387991a797'],31,,,,,,,,,,,,,,,,Denmark Women's,853,00:00:31.493,Pass,
