50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,4.030983,,,,,,,,,,,,,,,916f4526-9e03-4c89-8c71-a924685bedf5,23,,"[35.7, 74.4]",3893823,0,,,,,0.0491831,,Right Foot,,"[74.3, 76.3]",,Ground Pass,,38.646732,Incomplete,,Sheika Daleicha Scott Richardson,401801.0,,,,,Recovery,1,From Throw In,Melissa Herrera Monge,30958.0,Right Wing,3,Zambia Women's,6045,"['22aed33b-4ad3-430d-aa72-339e436d6622', '23130275-6c36-495d-b0e8-d64ee6ad5e10', 'b9d33964-ba02-455e-992d-395997483bcb']",21,,,,,,,,,,,,,,,,,,Costa Rica Women's,1832,00:00:21.370,Pass,True
,,,,,,,,,,,,,,,,,2.000363,,,,,,,,,,,,,,,2324a735-82e2-4dbf-84f8-445cc6f7562c,27,,"[45.9, 3.0]",3893823,0,,,,,1.8251644,,Right Foot,,"[36.8, 38.0]",,Ground Pass,,36.163654,,,Agness Musase,131623.0,,,,,,1,From Throw In,Lushomo Mweemba,131624.0,Left Center Back,3,Zambia Women's,6045,['6bd595e6-0632-4f42-86a3-153e83ba088f'],26,,,,,,,,,,,,,,,,,,Zambia Women's,6045,00:00:26.255,Pass,
,,,,,,,,,,,,,,,,,2.999612,,,,,,,,,,,,,,,1f02ac82-1b18-414f-b50f-8c199eb292ab,30,,"[36.8, 38.0]",3893823,0,,,,,1.167443,,Right Foot,,"[50.2, 69.4]",,Ground Pass,,34.139713,,,Avell Chitundu,131625.0,,,,,,1,From Throw In,Agness Musase,131623.0,Right Center Back,3,Zambia Women's,6045,['b2c3786e-0112-4283-8fbc-6ed7f5e94d63'],29,,,,,,,,,,,,,,,,,,Zambia Women's,6045,00:00:29.925,Pass,
,,,,,,,,,,,,,,,,,1.200127,,,,,,,,,,,,,,,22cb1f0a-19a6-49dd-92db-303e7ce97b6e,33,,"[56.7, 77.3]",3893823,0,,,,,-1.9119447,,Right Foot,,"[50.7, 60.4]",,Ground Pass,,17.933489,,,Susan Banda,401939.0,,,,,,1,From Throw In,Avell Chitundu,131625.0,Right Midfield,3,Zambia Women's,6045,['742f50b5-e140-40d9-b77e-c47a133526e1'],34,,,,,,,,,,,,,,,,,,Zambia Women's,6045,00:00:34.050,Pass,
,,,,,,,,,,,,,,,,,1.400714,,,,,,,,,,,,,,,37915d18-f100-4ce6-ad44-760b1393ea95,37,,"[48.6, 65.8]",3893823,0,,,,,2.4655826,,Left Foot,,"[39.0, 73.5]",,Ground Pass,,12.306502,,,Margaret Belemu,131616.0,,,,,,1,From Throw In,Susan Banda,401939.0,Center Defensive Midfield,3,Zambia Women's,6045,"['b700cf70-e127-470b-9d08-8cbcc60857ea', 'de77004a-49ee-4a21-a96b-0bd1bd4f117c']",36,,,,,,,,,,,,,,,,,,Zambia Women's,6045,00:00:36.818,Pass,True
,,,,,,,,,,,,,,,,,1.398069,,,,,,,,,,,,,,,37d98b8d-5b49-472d-81c4-d39ea9ebdbf5,40,,"[38.2, 74.0]",3893823,0,,,,,0.31204212,,Right Foot,,"[47.5, 77.0]",,Low Pass,,9.771898,,,Avell Chitundu,131625.0,,,,,,1,From Throw In,Margaret Belemu,131616.0,Right Back,3,Zambia Women's,6045,['d878712e-2b3a-4c65-9016-dfdb0d0797b9'],38,,,,,,,,,,,,,,,,,,Zambia Women's,6045,00:00:38.402,Pass,
,,,,,,,,,,,,,,,,,0.243513,,,,,,,,,,,,,,,f01aee91-fdcb-4873-85c5-7c9cda06ca5b,44,,"[47.5, 77.0]",3893823,0,,,,,-0.28805545,,Left Foot,,"[50.2, 76.2]",,Low Pass,,2.8160255,Incomplete,,Susan Banda,401939.0,,,,,,1,From Throw In,Avell Chitundu,131625.0,Right Midfield,3,Zambia Women's,6045,"['2a26552a-40fc-471c-9aa5-3c4c6c734829', '6a465ec1-e5d8-482e-88d1-71afecca15cd', '7abc7d0b-2dad-43bb-a62c-122b2d00b96f']",40,,,,,,,,,,,,,,,,,,Zambia Women's,6045,00:00:40.383,Pass,True
,,,,,,,,,,,,,,,,,1.031331,,,,,,,,,,,,,,,2fa696bf-ce28-4d30-9dfa-7c42921f7b88,50,,"[45.9, 69.1]",3893823,0,,,,,-2.6464593,,Right Foot,,"[40.9, 66.4]",,Ground Pass,,5.682429,,,Margaret Belemu,131616.0,,,,,,1,From Throw In,Avell Chitundu,131625.0,Right Midfield,3,Zambia Women's,6045,"['ca80f828-2aa3-4157-a07e-2985688f5eb7', 'dc32b756-fa00-4553-87cf-272f7087d3db']",42,,,,,,,,,,,,,,,,,,Zambia Women's,6045,00:00:42.631,Pass,True
,,,,,,,,,,,,,,,,,2.194697,,,,,,,,,,,,,,,f53b5d24-c82b-4d15-89bb-45d937971054,54,,"[36.8, 65.3]",3893823,0,,,,,-1.7423224,,Right Foot,,"[32.4, 39.9]",,Ground Pass,,25.778286,,,Lushomo Mweemba,131624.0,,,,,,1,From Throw In,Margaret Belemu,131616.0,Right Back,3,Zambia Women's,6045,"['808c7fbf-ef6c-412e-8bc1-4858268c5b6d', '8c955c10-147f-4025-8ce6-67dc39e1d137']",43,,,,,,,,,,,,,,,,,,Zambia Women's,6045,00:00:43.983,Pass,True
,,,,,,,,,,,,,,,,,1.03974,,,,,,,,,,,,,,,8706dd37-0b08-41f5-b10d-98847d8c1154,58,,"[31.4, 50.6]",3893823,0,,,,,0.7413091,,Right Foot,,"[38.5, 57.1]",,Ground Pass,,9.626006,,,Susan Banda,401939.0,,,,,,1,From Throw In,Lushomo Mweemba,131624.0,Left Center Back,3,Zambia Women's,6045,"['62ae9773-0d24-4bea-aad4-030eb006d184', '6590abf3-9a49-4258-bf3e-44f6d3cf6c00']",47,,,,,,,,,,,,,,,,,,Zambia Women's,6045,00:00:47.793,Pass,True
