bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_offensive,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,a568bb08-80ff-47c5-b23b-8c7792924674,1,,,,3893810,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal Women's,864,,0,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 10145, 'name': 'Patricia Isabel Sousa Barros Morais'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 10141, 'name': 'Ana Borges'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 9}, {'player': {'id': 10162, 'name': 'Carole da Silva Costa'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 15}, {'player': {'id': 62910, 'name': 'Ana Rita Silva Seiça'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 142944, 'name': 'Lúcia Catarina Sousa Alves'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 45144, 'name': 'Joana Filipa Gaspar Silva Marchão'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 5}, {'player': {'id': 327442, 'name': 'Andreia de Jesus Jacinto'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 10167, 'name': 'Tatiana Vanessa Ferreira Pinto'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 62913, 'name': 'Francisca Ramos Ribeiro Nazareth Sousa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 32054, 'name': 'Jéssica da Silva'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 276577, 'name': 'Telma Raquel Velosa Encarnação'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 23}]}",Portugal Women's,864,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,8e109545-4376-4558-87ba-551eca0ad68f,2,,,,3893810,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal Women's,864,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 401880, 'name': 'Kim Thanh Trần Thị'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 14}, {'player': {'id': 401875, 'name': 'Thu Thương Lương Thị'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 401872, 'name': 'Thị Diễm My Lê'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 13}, {'player': {'id': 401874, 'name': 'Thu Trần Thị'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 401877, 'name': 'Thu Thảo Trần Thị'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 17}, {'player': {'id': 401883, 'name': 'Loan Hoàng Thị'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 5}, {'player': {'id': 401884, 'name': 'Thị Vân Dương'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 401879, 'name': 'Thị Thảo Thái'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 401878, 'name': 'Bích Thùy Nguyễn Thị'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 401885, 'name': 'Thị Thanh Nhã Nguyễn'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 401889, 'name': 'Như Huỳnh'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Vietnam Women's,16769,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,ed4b85a6-057a-405b-ba25-59382e6187fe,3,,,,3893810,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal Women's,864,['a37ff15b-0f0d-49a4-ab39-cd4d02485a51'],0,,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,a37ff15b-0f0d-49a4-ab39-cd4d02485a51,4,,,,3893810,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal Women's,864,['ed4b85a6-057a-405b-ba25-59382e6187fe'],0,,,,,,,,,,,,,,,,,Vietnam Women's,16769,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,ca7f1d6f-9a0a-4e1d-9031-982405fc4b25,1645,,,,3893810,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,101,Portugal Women's,864,['cb6111dc-e240-44f2-b372-54cd1cbc1600'],0,,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,cb6111dc-e240-44f2-b372-54cd1cbc1600,1646,,,,3893810,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,101,Portugal Women's,864,['ca7f1d6f-9a0a-4e1d-9031-982405fc4b25'],0,,,,,,,,,,,,,,,,,Vietnam Women's,16769,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.848799,,,,,,,,,,694110cc-e138-4b4b-ae38-fe4d184d268d,5,,,"[61.0, 40.1]",3893810,0,,,,2.9958446,,Left Foot,,,,"[50.1, 41.7]",,Ground Pass,,11.016806,,,Thị Vân Dương,401884.0,,,,,,Kick Off,1,From Kick Off,Như Huỳnh,401889.0,Center Forward,2,Vietnam Women's,16769,['db66c1bb-5da5-4a3f-abf6-b5a90033bf2e'],0,,,,,,,,,,,,,,,,,Vietnam Women's,16769,00:00:00.572,Pass,
,,,,,,,,,,,,,,,,,,3.019674,,,,,,,,,,39cab0e4-1ef9-4e0f-a51a-3f68b6e50105,8,,,"[50.1, 41.7]",3893810,0,,,,-0.36776498,,Right Foot,,,,"[84.1, 28.6]",,High Pass,,36.436382,,Incomplete,Như Huỳnh,401889.0,,,,,,,1,From Kick Off,Thị Vân Dương,401884.0,Right Defensive Midfield,2,Vietnam Women's,16769,"['75d4a2cc-2519-4073-9559-01d3f841fc9f', 'a9a5a846-9405-4bc9-a449-bb997416afc6']",1,,,,,,,,,,,,,,,,,Vietnam Women's,16769,00:00:01.642,Pass,
,,,,,,,,,,,,,,,,,,1.616834,,,,,,,,,,1868c93f-c37e-46f8-a9b8-d983cc68fd1b,16,,,"[38.4, 45.5]",3893810,0,,,,2.0542433,,Right Foot,,,,"[34.2, 53.5]",,High Pass,,9.035485,,,Andreia de Jesus Jacinto,327442.0,,,,,,Recovery,1,Regular Play,Tatiana Vanessa Ferreira Pinto,10167.0,Left Defensive Midfield,3,Portugal Women's,864,['20735d73-ebe5-4c26-b6ab-6b70f1bebe9e'],8,,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:08.131,Pass,
,,,,,,,,,,,,,,,,,,1.353594,,,,,,,,,,bbb03d37-f026-4aba-bec5-222198242dab,18,,,"[34.5, 53.5]",3893810,0,,,,-0.14189705,,Head,,,,"[41.5, 52.5]",,High Pass,,7.071068,,,Francisca Ramos Ribeiro Nazareth Sousa,62913.0,,,,,,,1,Regular Play,Andreia de Jesus Jacinto,327442.0,Right Defensive Midfield,3,Portugal Women's,864,['fa52bb26-24d7-4986-9727-ed2340f70201'],9,,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:09.747,Pass,
