50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,298450b7-0d63-499e-a685-3031a750c669,1,,,,3893830,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina Women's,1204,,0,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 25611, 'name': 'Vanina Noemí Correa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 402465, 'name': 'Julieta Micaela Cruz Navarrete'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 25768, 'name': 'Adriana María Sachs'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 25634, 'name': 'Aldana Cometti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 25633, 'name': 'Eliana Noemí Stábile'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 370851, 'name': 'Sophie Wais Braun'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 402467, 'name': 'Romina Stefania Núñez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 402466, 'name': 'Camila Gómez Ares'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 25640, 'name': 'María Florencia Bonsegundo'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 15}, {'player': {'id': 25602, 'name': 'Mariana Valeria Larroquette'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Argentina Women's,1204,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c347ebd3-9637-4bf6-80e0-7c139666b902,2,,,,3893830,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina Women's,1204,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 62667, 'name': 'Jennifer Miley Falk'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 224842, 'name': 'Stina Olivia Lennartsson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 26092, 'name': 'Amanda Ilestedt'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 225182, 'name': 'Anna Sandberg'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 34499, 'name': 'Hanna Ulrika Bennison'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 10224, 'name': 'Sara Caroline Seger'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 13881, 'name': 'Eva Sofia Jakobsson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 25696, 'name': 'Madelen Fatimma Maria Janogy'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 10205, 'name': 'Olivia Alma Charlotta Schough'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 32405, 'name': 'Rebecka Blomqvist'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Sweden Women's,858,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1b1599e2-61c5-48a1-92c5-eb5b05b3efd5,3,,,,3893830,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina Women's,1204,['3f0854bc-7d2f-4355-93a7-67e103a98712'],0,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3f0854bc-7d2f-4355-93a7-67e103a98712,4,,,,3893830,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina Women's,1204,['1b1599e2-61c5-48a1-92c5-eb5b05b3efd5'],0,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e55eadae-9282-47b1-ad63-6e7392574e0c,1447,,,,3893830,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Argentina Women's,1204,['0e8b9e4d-aadc-4248-9220-94ba118b6493'],0,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0e8b9e4d-aadc-4248-9220-94ba118b6493,1448,,,,3893830,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Argentina Women's,1204,['e55eadae-9282-47b1-ad63-6e7392574e0c'],0,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.232294,,,,,,,,,,,,,,,b0b466d5-111e-49e8-8f5b-7ae3a3b48055,5,,,"[61.0, 40.1]",3893830,0,,,,,2.9379342,,Right Foot,,,"[42.6, 43.9]",,Ground Pass,,18.788294,,Amanda Ilestedt,26092.0,,,,,Kick Off,1,From Kick Off,Rebecka Blomqvist,32405.0,Center Forward,2,Sweden Women's,858,['44f1c4cf-4f49-4930-92c6-2fab158f3201'],0,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.551,Pass,
,,,,,,,,,,,,,,,,,,2.477464,,,,,,,,,,,,,,,8f0e9bda-406a-40ad-9896-cdd930796a92,8,,,"[45.2, 45.2]",3893830,0,,,,,-0.41342533,,Right Foot,,,"[91.7, 24.8]",,High Pass,,50.778046,Incomplete,Olivia Alma Charlotta Schough,10205.0,,,,,,1,From Kick Off,Amanda Ilestedt,26092.0,Right Center Back,2,Sweden Women's,858,"['313308a5-4eea-479e-aad1-27ca4f181044', 'e7b6f235-8694-4742-859f-078dd8975ee0']",3,,,,,,,,,,,,,,,Sweden Women's,858,00:00:03.289,Pass,
,,,,,,,,,,,,,,,,,,1.409707,,,,,,,,,,,,,,,313308a5-4eea-479e-aad1-27ca4f181044,10,,,"[28.4, 55.3]",3893830,0,,,,,-2.3352184,,Right Foot,,,"[21.4, 48.0]",,Ground Pass,,10.113852,,Adriana María Sachs,25768.0,,,,,Recovery,1,Regular Play,Romina Stefania Núñez,402467.0,Right Midfield,3,Argentina Women's,1204,"['120c1415-171e-421e-a140-ba11be80ceac', '8f0e9bda-406a-40ad-9896-cdd930796a92']",5,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:05.766,Pass,
,,,,,,,,,,,,,,,,,,0.871684,,,,,,,,,,,,,,,411450ef-681b-46ce-98b5-8801bf6e27eb,12,,,"[21.7, 48.3]",3893830,0,,,,,0.13188308,,Right Foot,,,"[31.5, 49.6]",,Low Pass,,9.885848,,Sophie Wais Braun,370851.0,,,,,,1,Regular Play,Adriana María Sachs,25768.0,Right Center Back,3,Argentina Women's,1204,['f005cafb-d2e2-4239-ba09-00c3806d7c1f'],7,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:07.176,Pass,
