50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,6ccef61d-e7fc-48df-97fb-75f8dec8b68b,1,,,3893796,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden Women's,858,,0,,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 62713, 'name': 'Zecira Musovic'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26093, 'name': 'Gun Nathalie Björn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 26092, 'name': 'Amanda Ilestedt'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 13}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 62710, 'name': 'Johanna Rytting-Kaneryd'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 19}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 2}, {'player': {'id': 62666, 'name': 'Ingrid Filippa Angeldal'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 10221, 'name': 'Elin Ingrid Johanna Rubensson'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 10220, 'name': 'Kosovare Asllani'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 10215, 'name': 'Fridolina Rolfö'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 18}, {'player': {'id': 10229, 'name': 'Emma Stina Blackstenius'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Sweden Women's,858,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,dfc4661e-fee5-423a-85f9-ccde855f8649,2,,,3893796,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden Women's,858,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 25746, 'name': 'Kaylin Swart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25520, 'name': 'Lebogang Ramalepe'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 25747, 'name': 'Bambanani Nolufefe Mbane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 402119, 'name': 'Bongeka Gamede'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 25745, 'name': 'Sibulele Cecilia Holweni'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 25516, 'name': 'Refiloe Jane'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 25521, 'name': 'Kholosa Biyana'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 25511, 'name': 'Jermaine Seoposenwe'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 12}, {'player': {'id': 402126, 'name': 'Hildah Tholakele Magaia'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 5052, 'name': 'Thembi Kgatlana'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",South Africa Women's,1216,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,09a96b54-9a40-4e5a-b6a5-76895a68b57e,3,,,3893796,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden Women's,858,['fa49a618-b03f-447a-b21e-ffaeb87d278c'],0,,,,,,,,,,,,,,,,,,,South Africa Women's,1216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,fa49a618-b03f-447a-b21e-ffaeb87d278c,4,,,3893796,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden Women's,858,['09a96b54-9a40-4e5a-b6a5-76895a68b57e'],0,,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,6eb6e03b-5cd9-4b80-8624-6930b1ea6a5b,1669,,,3893796,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,92,South Africa Women's,1216,['cd8151e3-2043-4d11-be47-2fe2ce9c4915'],0,,,,,,,,,,,,,,,,,,,South Africa Women's,1216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,cd8151e3-2043-4d11-be47-2fe2ce9c4915,1670,,,3893796,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,92,South Africa Women's,1216,['6eb6e03b-5cd9-4b80-8624-6930b1ea6a5b'],0,,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.956664,,,,,,,,,,de3bb821-3549-4d48-9d7b-0f7c4197e05b,5,,"[60.0, 40.0]",3893796,0,,,,-3.1310668,,Right Foot,,,,"[50.5, 39.9]",,Ground Pass,,9.500526,,Ingrid Filippa Angeldal,62666.0,,,,,,Kick Off,1,From Kick Off,Emma Stina Blackstenius,10229.0,Center Forward,2,Sweden Women's,858,['712caab7-1eea-4fff-becb-5076a8def104'],0,,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.450,Pass,
,,,,,,,,,,,,,,,,,1.241917,,,,,,,,,,f4a5c665-034c-46f6-8ecb-e3811700be22,8,,"[50.5, 38.5]",3893796,0,,,,-1.9222411,,Right Foot,,,,"[43.9, 20.5]",,Ground Pass,,19.171854,,Magdalena Lilly Eriksson,4633.0,,,,,,,1,From Kick Off,Ingrid Filippa Angeldal,62666.0,Right Defensive Midfield,2,Sweden Women's,858,['0f368eca-dec9-4415-94e3-329b7baaae72'],2,,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:02.271,Pass,
,,,,,,,,,,,,,,,,,2.607057,,,,,,,,,,7895b5c7-86d0-4064-8d4b-e0eda9ede877,11,,"[52.3, 20.1]",3893796,0,,,,0.038890887,,Left Foot,,,,"[103.7, 22.1]",,High Pass,,51.438896,Incomplete,Emma Stina Blackstenius,10229.0,,,,,,,1,From Kick Off,Magdalena Lilly Eriksson,4633.0,Left Center Back,2,Sweden Women's,858,"['283e3837-3682-4e2a-94e2-840b2643aa89', 'c5362e23-f261-4886-8a12-decdabaca7d5']",6,,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:06.002,Pass,
,,,,,,,,,,,,,,,,,0.931066,,,,,,,,,,10a72bc7-dcd6-427d-b352-fb7a47c833c7,14,,"[88.0, 0.1]",3893796,0,,,,0.727492,,,,,,"[95.3, 6.6]",,Low Pass,,9.774457,,Kosovare Asllani,10220.0,,,,,,Throw-in,1,From Throw In,Jonna Ann-Charlotte Andersson,10222.0,Left Wing Back,3,Sweden Women's,858,['594499ba-dd22-4e3a-a626-5f3e4011493c'],16,,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:16.254,Pass,
