50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0c922e3f-23af-4c73-9f91-6f37c02203cb,1,,,3893794,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England Women's,865,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 19422, 'name': 'Jessica Carter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 10252, 'name': 'Alex Greenwood'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 47521, 'name': 'Alessia Russo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",England Women's,865,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4d7b26e9-d6b5-4dfa-8e9e-bca866d3a3dd,2,,,3893794,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England Women's,865,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 402008, 'name': 'Kerly Théus'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 402002, 'name': 'Betina Petit-Frère'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 402010, 'name': 'Jennyfer Limage'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 402001, 'name': 'Dougenie Tabita Kerbie Joseph'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 46847, 'name': 'Kethna Louis'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 402012, 'name': 'Sherly Jeudy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 9}, {'player': {'id': 402006, 'name': 'Dayana Pierre-Louis'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 46830, 'name': 'Batcheba Louis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 142735, 'name': 'Melchie Daëlle Dumornay'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 6}, {'player': {'id': 30970, 'name': 'Nérilia Mondesir'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 53993, 'name': 'Roselord Borgella'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Haiti Women's,2355,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,454003fa-1b6e-4a24-9c80-c07944b2b8a8,3,,,3893794,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England Women's,865,['8dc65a1c-baf0-43d1-b10d-b564adbe30b6'],0,,,,,,,,,,,,,,,,,England Women's,865,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8dc65a1c-baf0-43d1-b10d-b564adbe30b6,4,,,3893794,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England Women's,865,['454003fa-1b6e-4a24-9c80-c07944b2b8a8'],0,,,,,,,,,,,,,,,,,Haiti Women's,2355,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,90d99817-59f2-4e54-9fbe-e7ed999d28ae,1727,,,3893794,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Haiti Women's,2355,['a7aec7dc-7442-4016-9e42-929ce9b806c8'],0,,,,,,,,,,,,,,,,,England Women's,865,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a7aec7dc-7442-4016-9e42-929ce9b806c8,1728,,,3893794,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Haiti Women's,2355,['90d99817-59f2-4e54-9fbe-e7ed999d28ae'],0,,,,,,,,,,,,,,,,,Haiti Women's,2355,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.046879,,,,,,,,,,,,,5428f735-afe7-4cbb-a070-6951b629259c,5,,"[60.0, 40.0]",3893794,0,,,,,-2.606319,,Right Foot,,"[51.4, 34.9]",Ground Pass,,9.9985,,,Keira Walsh,4658.0,,,,,,Kick Off,1,From Kick Off,Ella Toone,31534.0,Left Center Midfield,2,England Women's,865,['efeefbc8-35a3-417f-8f1d-b17063dee5bf'],0,,,,,,,,,,,,,,,,,England Women's,865,00:00:00.360,Pass,
,,,,,,,,,,,,,,,,,0.723773,,,,,,,,,,,,,c7a46abf-cd02-41ef-b633-e3bb2f7e035f,8,,"[49.8, 34.9]",3893794,0,,,,,2.0537653,,Right Foot,,"[45.5, 43.1]",Ground Pass,,9.259049,,,Georgia Stanway,4643.0,,,,,,,1,From Kick Off,Keira Walsh,4658.0,Center Defensive Midfield,2,England Women's,865,['5bc3e818-37c3-4a2f-9fd4-ae1e9e60911b'],2,,,,,,,,,,,,,,,,,England Women's,865,00:00:02.114,Pass,
,,,,,,,,,,,,,,,,,1.544314,,,,,,,,,,,,,c106a203-c61b-48a9-9cb8-327493656737,11,,"[45.1, 42.6]",3893794,0,,,,,-1.7115265,,Right Foot,,"[41.7, 18.6]",Ground Pass,,24.239637,,,Jessica Carter,19422.0,,,,,,,1,From Kick Off,Georgia Stanway,4643.0,Right Center Midfield,2,England Women's,865,['5dac396a-c4e1-4588-80df-1d105af6d2de'],5,,,,,,,,,,,,,,,,,England Women's,865,00:00:05.206,Pass,
,,,,,,,,,,,,,,,,,1.276411,,,,,,,,,,,,,134a5934-ee38-4ce4-94b1-25aee827d3d0,14,,"[45.8, 17.5]",3893794,0,,,,,-1.2410138,,Right Foot,,"[50.9, 2.6]",Ground Pass,,15.748651,,,Alex Greenwood,10252.0,,,,,,,1,From Kick Off,Jessica Carter,19422.0,Left Center Back,2,England Women's,865,['56c3eab5-5511-4083-81d6-87b92b3a80b5'],8,,,,,,,,,,,,,,,,,England Women's,865,00:00:08.047,Pass,
