50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ad31000d-ff3e-440c-a78f-d142484b9039,1,,,,3904628,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain Women's,863,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 45295, 'name': 'Catalina Thomas Coll Lluch'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 46639, 'name': 'Ona Batlle Pascual'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 10165, 'name': 'Irene Paredes Hernandez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 32694, 'name': 'Laia Codina Panedas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 49836, 'name': 'Olga  Carmona García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 49835, 'name': 'Teresa Abelleira Dueñas'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 3}, {'player': {'id': 15284, 'name': 'Aitana Bonmati Conca'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 10143, 'name': 'Alexia Putellas Segura'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 50151, 'name': 'Alba María Redondo Ferrer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 10161, 'name': 'María Francesca Caldentey Oliver'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 10151, 'name': 'Jennifer Hermoso Fuentes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Spain Women's,863,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2c7af0a0-3f04-49cd-9c46-fbc33cc91b79,2,,,,3904628,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain Women's,863,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 62713, 'name': 'Zecira Musovic'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26093, 'name': 'Gun Nathalie Björn'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 26092, 'name': 'Amanda Ilestedt'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 62666, 'name': 'Ingrid Filippa Angeldal'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 10221, 'name': 'Elin Ingrid Johanna Rubensson'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 62710, 'name': 'Johanna Rytting-Kaneryd'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 10220, 'name': 'Kosovare Asllani'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 10215, 'name': 'Fridolina Rolfö'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 10229, 'name': 'Emma Stina Blackstenius'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Sweden Women's,858,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7e12ba63-8633-4c1d-827b-0d917e0db125,3,,,,3904628,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain Women's,863,['36624774-0f33-40d3-8d8e-4ebad18ddecf'],0,,,,,,,,,,,,,,,,Spain Women's,863,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,36624774-0f33-40d3-8d8e-4ebad18ddecf,4,,,,3904628,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain Women's,863,['7e12ba63-8633-4c1d-827b-0d917e0db125'],0,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7f342b0a-a2fc-42dc-b3c5-7ae96da6429a,1889,,,,3904628,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,96,Sweden Women's,858,['8d69a2eb-f427-4ece-9085-0d1631810e2c'],0,,,,,,,,,,,,,,,,Spain Women's,863,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8d69a2eb-f427-4ece-9085-0d1631810e2c,1890,,,,3904628,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,96,Sweden Women's,858,['7f342b0a-a2fc-42dc-b3c5-7ae96da6429a'],0,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.345186,,,,,,,,,,,,028bd5d1-848c-4f3b-8db3-7aca19055ca7,5,,,"[61.0, 40.1]",3904628,0,,,,-2.9885437,,Right Foot,,,"[42.2, 37.2]",,Ground Pass,,19.022356,,,,Amanda Ilestedt,26092.0,,,,,,Kick Off,1,From Kick Off,Emma Stina Blackstenius,10229.0,Center Forward,2,Sweden Women's,858,['7b12ebce-7484-4a8a-81d7-2ac617d0fcca'],0,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.496,Pass,
,,,,,,,,,,,,,,,,,1.329641,,,,,,,,,,,,a0be55eb-b635-478c-953b-aa5476ba6599,8,,,"[51.7, 36.0]",3904628,0,,,,-1.8175172,,Right Foot,,,"[48.3, 22.5]",,Ground Pass,,13.921566,,,,Magdalena Lilly Eriksson,4633.0,,,,,,,1,From Kick Off,Amanda Ilestedt,26092.0,Right Center Back,2,Sweden Women's,858,['a2db7d02-b7dc-4280-a6d3-f018a509483b'],3,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:03.898,Pass,
,,,,,,,,,,,,,,,,,2.625136,,,,,,,,,,,,03f6cf69-75ae-4597-84ec-f296b69cc0ee,11,,,"[49.7, 16.0]",3904628,0,,,,-0.046121117,,Left Foot,,,"[95.2, 13.9]",,High Pass,,45.548435,,,Incomplete,Fridolina Rolfö,10215.0,,,,,,,1,From Kick Off,Magdalena Lilly Eriksson,4633.0,Left Center Back,2,Sweden Women's,858,"['2530d263-34cc-4a6c-af6f-8280c2eb85d1', '9906d783-db4c-485f-8575-a3ee20336f0a']",6,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:06.439,Pass,
,,,,,,,,,,,,,,,,,0.784742,,,,,,,,,,,,9906d783-db4c-485f-8575-a3ee20336f0a,13,,,"[24.9, 66.2]",3904628,0,,,,-0.47646743,,Head,,,"[37.3, 59.8]",,High Pass,,13.954211,,,Incomplete,Teresa Abelleira Dueñas,49835.0,,,,,,Recovery,1,From Kick Off,Irene Paredes Hernandez,10165.0,Right Center Back,2,Sweden Women's,858,"['03f6cf69-75ae-4597-84ec-f296b69cc0ee', '7f91b2a8-d244-43c1-bc22-4fdc03c85402', 'f78aa836-efa3-468f-b1fd-d4b0d75ba698']",9,,,,,,,,,,,,,,,,Spain Women's,863,00:00:09.064,Pass,
